Indicator Name,Urban population (% of total population),Rural population growth (annual %),"Population, total",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Urban population,Rural population,"Population ages 15-64, total","Population ages 0-14, total",Rural population (% of total population),"Population ages 65 and above, total",Urban population growth (annual %),Population ages 65 and above (% of total population),Population growth (annual %)
1960,63.272,,93216000,64.70644014,29.49428993,58979628,34236372,60316755,27493397,36.728,5405847,,5.799269927,
1961,64.213,-1.699435273,94055000,65.01131464,29.07622356,60395537,33659463,61146392,27347642,35.787,5560966,2.372311534,5.912461801,0.896033677
1962,65.144,-1.706776703,94933000,65.70786178,28.26756303,61843154,33089846,62378444,26835246,34.856,5719310,2.368619408,6.024575195,0.929166208
1963,66.064,-1.661427423,95900000,66.72703786,27.12152945,63355376,32544624,63991229,26009547,33.936,5899224,2.415835948,6.151432689,1.013460226
1964,66.972,-1.671620999,96903000,67.70024914,26.01111245,64897877,32005123,65603572,25205548,33.028,6093879,2.405514627,6.28863841,1.040449628
1965,67.866,-1.667393717,97952000,68.40098714,25.17917073,66476104,31475896,67000135,24663501,32.134,6288364,2.402763343,6.419842136,1.076708459
1966,68.704,-1.72882715,98851000,68.91232304,24.49917215,67914591,30936409,68120520,24217677,31.296,6512803,2.140835628,6.58850481,0.913610314
1967,69.516,-1.594256372,99879000,69.2290386,23.99460113,69431886,30447114,69145271,23965568,30.484,6768161,2.209531342,6.776360278,1.034578744
1968,70.316,-1.532380342,101011000,69.29226522,23.76932589,71026895,29984105,69992810,24009634,29.684,7008556,2.271239368,6.938408895,1.126996845
1969,71.102,-1.4947622,102219000,69.30506694,23.61784038,72679753,29539247,70842946,24141920,28.898,7234133,2.300423693,7.077092674,1.188814867
1970,71.877,-1.566823917,103403000,69.27001387,23.53228785,74322974,29080026,71627272,24333092,28.123,7442636,2.235726479,7.197698273,1.151640472
1971,72.666,-0.651387324,105697000,69.15799004,23.52235155,76805782,28891218,73097921,24862420,27.334,7736659,3.285981393,7.319658406,2.194253507
1972,73.452,-1.516915057,107188000,68.901703,23.61697395,78731730,28456270,73854357,25314562,26.548,8019081,2.476632701,7.481323058,1.400779181
1973,74.22,-1.528350766,108707000,68.5755464,23.75480354,80682335,28024665,74546419,25823134,25.78,8337446,2.447340337,7.669650062,1.407188741
1974,74.975,-1.642784826,110162000,68.27582551,23.86388446,82593959,27568041,75214015,26288932,25.025,8659053,2.341688809,7.860290037,1.329582019
1975,75.716,-1.733058235,111573000,68.01607837,23.91826094,84478613,27094387,75887579,26686321,24.284,8999100,2.256185948,8.065660691,1.272707553
1976,75.944,0.128235833,112775000,67.81391511,23.90157559,85645846,27129154,76477143,26955002,24.056,9342855,1.372232215,8.284509293,1.07155981
1977,76.002,0.726639122,113872000,67.6586589,23.81520551,86544997,27327003,77044268,27118851,23.998,9708881,1.044375133,8.526135588,0.968032726
1978,76.06,0.668049298,114913000,67.5633196,23.65680068,87402828,27510172,77639037,27184739,23.94,10089223,0.98631639,8.779879721,0.910030976
1979,76.118,0.604049651,115890000,67.53913821,23.41929499,88213150,27676850,78271107,27140621,23.882,10478272,0.922840575,9.041566804,0.846614503
1980,76.175,0.549194895,116807000,67.60463978,23.09663991,88977732,27829268,78966952,26978492,23.825,10861556,0.863009131,9.298720308,0.788153476
1981,76.273,0.316277321,117661000,67.574478,22.87717634,89743575,27917425,79508807,26917514,23.727,11234679,0.857030088,9.548345663,0.728460836
1982,76.383,0.228974411,118480000,67.61183269,22.58570709,90498578,27981422,80106499,26759546,23.617,11613955,0.837770081,9.802460226,0.693656149
1983,76.493,0.22872587,119307000,67.85787334,22.10409772,91261504,28045496,80959193,26371736,23.507,11976071,0.839491787,10.03802894,0.695583303
1984,76.603,0.179276216,120083000,68.09921952,21.63578511,91987180,28095820,81775586,25980900,23.397,12326514,0.792016376,10.26499537,0.648316737
1985,76.712,0.158975526,120837000,68.32607957,21.13254853,92696479,28140521,82563185,25535938,23.288,12737878,0.76812696,10.5413719,0.625935964
1986,76.835,0.002785979,121482000,68.58191301,20.56290961,93340695,28141305,83314680,24980234,23.165,13187087,0.692569728,10.85517738,0.532357366
1987,76.962,-0.067713456,122069000,68.88651434,19.92963337,93946744,28122256,84089079,24327904,23.038,13652017,0.647188214,11.18385229,0.482035497
1988,77.088,-0.13231373,122578000,69.21436369,19.24452066,94492929,28085071,84841583,23589549,22.912,14146869,0.579693778,11.54111566,0.416110342
1989,77.213,-0.147296947,123069000,69.52134246,18.53678549,95025267,28043733,85559221,22813037,22.787,14696743,0.561781835,11.94187205,0.399761165
