都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
青森県,21,64000000,2000㎡以上,共同住宅,60.0,200.0,2006年第４四半期
青森県,15,8000000,600,住宅,60.0,200.0,2006年第４四半期
青森県,30分?60分,27000000,230,住宅,50.0,80.0,2007年第１四半期
青森県,30分?60分,35000000,230,住宅,50.0,80.0,2007年第１四半期
青森県,1H?1H30,12000000,660,住宅,70.0,200.0,2007年第１四半期
青森県,30分?60分,4000000,310,住宅、工場,70.0,200.0,2007年第１四半期
青森県,13,15000000,270,住宅,60.0,200.0,2007年第１四半期
青森県,25,15000000,300,住宅,50.0,80.0,2007年第２四半期
青森県,15,21000000,230,住宅,60.0,200.0,2007年第２四半期
青森県,4,7500000,300,住宅、店舗,60.0,200.0,2007年第２四半期
青森県,23,4000000,450,住宅,60.0,200.0,2007年第２四半期
青森県,25,43000000,1100,共同住宅,60.0,150.0,2007年第２四半期
青森県,30分?60分,13000000,260,住宅,70.0,200.0,2007年第２四半期
青森県,11,4500000,115,住宅,60.0,200.0,2007年第２四半期
青森県,6,8200000,390,住宅,80.0,400.0,2007年第２四半期
青森県,15,25000000,420,住宅,60.0,200.0,2007年第２四半期
青森県,5,11000000,520,共同住宅,60.0,200.0,2007年第２四半期
青森県,30分?60分,7900000,60,住宅,60.0,200.0,2007年第２四半期
青森県,10,8500000,45,住宅,80.0,400.0,2007年第２四半期
青森県,24,17000000,250,住宅,60.0,200.0,2007年第２四半期
青森県,16,5800000,120,住宅,60.0,200.0,2007年第２四半期
青森県,10,7100000,35,住宅,80.0,400.0,2007年第２四半期
青森県,29,5800000,200,住宅,60.0,200.0,2007年第２四半期
青森県,9,13000000,115,住宅,60.0,200.0,2007年第２四半期
青森県,30分?60分,8900000,165,住宅,50.0,80.0,2007年第２四半期
青森県,1H?1H30,23000000,230,住宅,50.0,80.0,2007年第２四半期
青森県,18,2800000,105,住宅,60.0,200.0,2007年第２四半期
青森県,12,13000000,220,住宅,70.0,200.0,2007年第２四半期
青森県,10,7000000,260,住宅,80.0,400.0,2007年第２四半期
青森県,30分?60分,8300000,65,住宅,60.0,150.0,2007年第２四半期
青森県,25,6800000,115,住宅,60.0,150.0,2007年第２四半期
青森県,13,15000000,240,住宅,50.0,80.0,2007年第２四半期
青森県,30分?60分,3100000,1200,住宅,70.0,200.0,2007年第２四半期
青森県,21,14000000,290,住宅,50.0,80.0,2007年第２四半期
青森県,10,15000000,200,住宅、店舗,60.0,200.0,2007年第２四半期
青森県,2H?,5200000,400,住宅,60.0,200.0,2007年第２四半期
青森県,30分?60分,16000000,145,住宅,50.0,80.0,2007年第２四半期
青森県,30分?60分,33000000,155,住宅,50.0,80.0,2007年第２四半期
青森県,30分?60分,7000000,125,住宅,50.0,80.0,2007年第２四半期
