都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
宮城県,30分?60分,33000000,340,住宅,60.0,200.0,2005年第４四半期
宮城県,30分?60分,33000000,220,住宅,60.0,200.0,2005年第４四半期
宮城県,6,17000000,70,住宅,80.0,600.0,2006年第１四半期
宮城県,30分?60分,41000000,220,住宅,40.0,60.0,2006年第１四半期
宮城県,13,22000000,230,住宅,60.0,200.0,2006年第１四半期
宮城県,1H?1H30,24000000,220,住宅,50.0,80.0,2006年第１四半期
宮城県,30分?60分,31000000,260,住宅,40.0,60.0,2006年第１四半期
宮城県,1H?1H30,35000000,220,住宅,40.0,60.0,2006年第１四半期
宮城県,30分?60分,35000000,230,住宅,40.0,60.0,2006年第１四半期
宮城県,19,35000000,195,住宅,60.0,200.0,2006年第１四半期
宮城県,1H?1H30,42000000,300,住宅,40.0,60.0,2006年第１四半期
宮城県,1H?1H30,35000000,230,住宅,40.0,60.0,2006年第１四半期
宮城県,1H?1H30,34000000,240,住宅,40.0,60.0,2006年第１四半期
宮城県,1H?1H30,36000000,250,住宅,40.0,60.0,2006年第１四半期
宮城県,30分?60分,34000000,210,住宅,50.0,80.0,2006年第１四半期
宮城県,20,49000000,230,住宅,60.0,200.0,2006年第１四半期
宮城県,30分?60分,59000000,320,住宅,40.0,60.0,2006年第１四半期
宮城県,6,24000000,180,住宅,60.0,200.0,2006年第１四半期
宮城県,30分?60分,39000000,300,住宅,60.0,200.0,2006年第１四半期
宮城県,9,22000000,165,住宅、店舗,50.0,80.0,2006年第１四半期
宮城県,30分?60分,39000000,240,住宅,40.0,60.0,2006年第１四半期
宮城県,10,42000000,220,住宅,50.0,80.0,2006年第１四半期
宮城県,30分?60分,29000000,240,住宅,40.0,60.0,2006年第１四半期
宮城県,30分?60分,47000000,250,住宅,40.0,60.0,2006年第１四半期
宮城県,23,43000000,240,住宅,60.0,200.0,2006年第１四半期
宮城県,1H?1H30,24000000,220,住宅,50.0,80.0,2006年第１四半期
宮城県,1H?1H30,6500000,55,住宅,60.0,200.0,2006年第２四半期
宮城県,20,15000000,370,共同住宅,60.0,200.0,2006年第２四半期
宮城県,4,34000000,80,住宅,80.0,300.0,2006年第２四半期
宮城県,24,33000000,210,住宅,60.0,200.0,2006年第２四半期
宮城県,9,12000000,200,住宅,60.0,200.0,2006年第２四半期
宮城県,15,7900000,60,住宅,50.0,80.0,2006年第２四半期
宮城県,29,20000000,185,住宅,60.0,200.0,2006年第２四半期
宮城県,5,11000000,50,住宅,80.0,500.0,2006年第２四半期
宮城県,1H?1H30,20000000,240,住宅,40.0,60.0,2006年第２四半期
宮城県,14,5500000,165,住宅,60.0,200.0,2006年第２四半期
宮城県,9,16000000,230,住宅,60.0,200.0,2006年第２四半期
宮城県,2H?,12000000,200,住宅,50.0,60.0,2006年第２四半期
宮城県,2H?,19000000,240,住宅,50.0,60.0,2006年第２四半期
宮城県,2H?,11000000,175,住宅,50.0,60.0,2006年第２四半期
宮城県,5,3500000,15,住宅,80.0,400.0,2006年第２四半期
宮城県,1H?1H30,16000000,185,住宅,40.0,60.0,2006年第２四半期
宮城県,21,33000000,1000,共同住宅、事務所、倉庫,60.0,200.0,2006年第２四半期
宮城県,1H30?2H,25000000,200,住宅,40.0,60.0,2006年第２四半期
宮城県,11,27000000,145,住宅,50.0,80.0,2006年第２四半期
宮城県,1H30?2H,37000000,350,住宅,40.0,60.0,2006年第２四半期
宮城県,25,32000000,500,住宅,60.0,200.0,2006年第２四半期
宮城県,1H30?2H,16000000,250,住宅,40.0,60.0,2006年第２四半期
宮城県,29,12000000,270,住宅,50.0,80.0,2006年第２四半期
宮城県,2H?,14000000,380,住宅、店舗,50.0,60.0,2006年第２四半期
宮城県,12,35000000,190,住宅,60.0,200.0,2006年第２四半期
宮城県,30分?60分,59000000,1400,住宅,50.0,80.0,2006年第２四半期
宮城県,1H?1H30,9500000,480,住宅,50.0,80.0,2006年第２四半期
宮城県,30分?60分,11000000,180,住宅,50.0,80.0,2006年第２四半期
宮城県,4,23000000,210,住宅,50.0,80.0,2006年第２四半期
宮城県,30分?60分,27000000,260,住宅,50.0,80.0,2006年第２四半期
宮城県,30分?60分,22000000,165,住宅,50.0,80.0,2006年第２四半期
宮城県,29,6000000,270,住宅,60.0,200.0,2006年第２四半期
宮城県,30分?60分,8200000,240,住宅,70.0,200.0,2006年第２四半期
宮城県,30分?60分,23000000,145,住宅,50.0,80.0,2006年第２四半期
宮城県,14,6000000,130,住宅,60.0,200.0,2006年第２四半期
宮城県,1,9000000,65,住宅,60.0,200.0,2006年第２四半期
宮城県,30分?60分,12000000,220,共同住宅,60.0,200.0,2006年第２四半期
宮城県,9,22000000,165,住宅,60.0,200.0,2006年第２四半期
宮城県,21,23000000,165,住宅,60.0,200.0,2006年第２四半期
宮城県,5,13000000,60,住宅,60.0,200.0,2006年第２四半期
宮城県,21,26000000,250,住宅,60.0,200.0,2006年第２四半期
宮城県,23,33000000,230,住宅,60.0,200.0,2006年第２四半期
宮城県,27,11000000,195,住宅,50.0,80.0,2006年第２四半期
宮城県,23,29000000,170,住宅,50.0,80.0,2006年第２四半期
宮城県,24,17000000,165,住宅,50.0,80.0,2006年第２四半期
宮城県,6,20000000,230,住宅,60.0,200.0,2006年第２四半期
宮城県,1H?1H30,31000000,280,住宅,60.0,200.0,2006年第２四半期
宮城県,1H?1H30,34000000,230,住宅,40.0,60.0,2006年第２四半期
宮城県,1H?1H30,38000000,320,住宅,40.0,60.0,2006年第２四半期
宮城県,6,13000000,65,住宅,80.0,400.0,2006年第２四半期
宮城県,9,23000000,165,住宅,60.0,200.0,2006年第２四半期
宮城県,1H30?2H,11000000,220,住宅,40.0,60.0,2006年第２四半期
宮城県,1H?1H30,18000000,240,住宅,40.0,60.0,2006年第２四半期
宮城県,5,6800000,50,住宅,80.0,400.0,2006年第２四半期
宮城県,18,34000000,195,住宅,50.0,80.0,2006年第２四半期
宮城県,5,13000000,70,住宅,60.0,200.0,2006年第２四半期
宮城県,30分?60分,13000000,230,住宅,70.0,200.0,2006年第２四半期
宮城県,1H?1H30,15000000,430,住宅,60.0,200.0,2006年第２四半期
宮城県,19,17000000,250,住宅,60.0,200.0,2006年第２四半期
宮城県,9,36000000,130,住宅,60.0,200.0,2006年第２四半期
宮城県,24,16000000,250,住宅,50.0,80.0,2006年第２四半期
宮城県,21,25000000,155,住宅,50.0,80.0,2006年第２四半期
宮城県,30分?60分,25000000,210,共同住宅,60.0,200.0,2006年第２四半期
宮城県,21,12000000,50,住宅,60.0,200.0,2006年第２四半期
宮城県,10,34000000,150,住宅,60.0,200.0,2006年第２四半期
宮城県,30分?60分,39000000,260,住宅,40.0,60.0,2006年第２四半期
宮城県,18,35000000,185,住宅,60.0,200.0,2006年第２四半期
宮城県,1H?1H30,19000000,200,住宅,50.0,80.0,2006年第２四半期
宮城県,30分?60分,20000000,200,住宅,70.0,200.0,2006年第２四半期
宮城県,11,9500000,65,住宅,80.0,400.0,2006年第２四半期
宮城県,9,24000000,75,住宅,60.0,200.0,2006年第２四半期
宮城県,7,13000000,55,住宅,80.0,400.0,2006年第２四半期
宮城県,28,23000000,145,住宅,50.0,80.0,2006年第２四半期
宮城県,26,28000000,145,住宅,60.0,200.0,2006年第２四半期
宮城県,11,16000000,580,共同住宅,60.0,200.0,2006年第２四半期
宮城県,1H?1H30,18000000,210,住宅,50.0,80.0,2006年第２四半期
宮城県,15,45000000,370,共同住宅,50.0,80.0,2006年第２四半期
宮城県,30分?60分,30000000,175,住宅,50.0,80.0,2006年第２四半期
宮城県,4,8800000,65,住宅,60.0,200.0,2006年第２四半期
宮城県,3,170000000,960,共同住宅,60.0,200.0,2006年第２四半期
宮城県,17,8100000,120,住宅,60.0,200.0,2006年第２四半期
