都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
秋田県,19,3500000,155,住宅,80.0,200.0,2006年第４四半期
秋田県,30分?60分,16000000,260,住宅,40.0,60.0,2007年第１四半期
秋田県,30分?60分,7900000,350,住宅,50.0,80.0,2007年第１四半期
秋田県,15,13000000,210,住宅,60.0,200.0,2007年第１四半期
秋田県,6,1500000,250,住宅,50.0,80.0,2007年第１四半期
秋田県,30分?60分,35000000,200,住宅,50.0,80.0,2007年第１四半期
秋田県,30分?60分,10000000,250,住宅,60.0,200.0,2007年第１四半期
秋田県,15,29000000,210,住宅,50.0,80.0,2007年第１四半期
秋田県,29,13000000,490,住宅,60.0,200.0,2007年第１四半期
秋田県,30分?60分,19000000,240,住宅,50.0,80.0,2007年第２四半期
秋田県,30分?60分,21000000,220,住宅,50.0,80.0,2007年第２四半期
秋田県,25,5800000,105,住宅,50.0,80.0,2007年第２四半期
秋田県,10,10000000,145,住宅、店舗,80.0,200.0,2007年第２四半期
秋田県,28,4100000,170,住宅,60.0,200.0,2007年第２四半期
秋田県,11,6300000,135,住宅,60.0,200.0,2007年第２四半期
秋田県,19,10000000,105,住宅,50.0,80.0,2007年第２四半期
秋田県,30分?60分,2200000,360,住宅、作業場、倉庫,60.0,200.0,2007年第２四半期
秋田県,29,8600000,270,住宅,50.0,80.0,2007年第２四半期
秋田県,6,33000000,115,住宅,80.0,200.0,2007年第２四半期
秋田県,23,18000000,165,住宅,60.0,200.0,2007年第２四半期
秋田県,30分?60分,7100000,420,住宅,50.0,80.0,2007年第２四半期
秋田県,15,52000000,330,住宅,80.0,400.0,2007年第２四半期
秋田県,24,7700000,65,住宅,80.0,400.0,2007年第２四半期
秋田県,23,15000000,90,住宅,80.0,400.0,2007年第２四半期
秋田県,24,7800000,260,住宅,50.0,80.0,2007年第２四半期
秋田県,21,3500000,200,住宅、店舗,60.0,200.0,2007年第２四半期
秋田県,16,7100000,160,住宅、店舗,80.0,400.0,2007年第２四半期
秋田県,30分?60分,26000000,180,住宅,60.0,200.0,2007年第２四半期
秋田県,30分?60分,7800000,230,住宅,60.0,200.0,2007年第２四半期
秋田県,29,11000000,210,住宅,50.0,80.0,2007年第２四半期
秋田県,30分?60分,11000000,210,住宅,50.0,80.0,2007年第２四半期
秋田県,30分?60分,4800000,320,住宅,40.0,60.0,2007年第２四半期
秋田県,18,13000000,150,住宅,70.0,200.0,2007年第２四半期
秋田県,30分?60分,7100000,320,住宅,80.0,200.0,2007年第２四半期
秋田県,30分?60分,23000000,110,住宅,60.0,200.0,2007年第２四半期
秋田県,20,2000000,115,住宅,70.0,200.0,2007年第２四半期
秋田県,30分?60分,6300000,390,住宅,70.0,200.0,2007年第２四半期
秋田県,14,14000000,150,住宅,60.0,200.0,2007年第２四半期
秋田県,21,26000000,175,住宅,60.0,200.0,2007年第２四半期
秋田県,3,5000000,250,住宅、店舗,80.0,500.0,2007年第２四半期
秋田県,20,6500000,250,住宅,60.0,200.0,2007年第２四半期
秋田県,15,9500000,130,住宅,60.0,200.0,2007年第２四半期
秋田県,20,10000000,510,住宅,60.0,200.0,2007年第２四半期
秋田県,30分?60分,11000000,330,住宅,70.0,200.0,2007年第２四半期
秋田県,13,16000000,190,住宅,50.0,80.0,2007年第２四半期
秋田県,30分?60分,8700000,280,住宅,30.0,60.0,2007年第２四半期
秋田県,16,1000000,115,住宅,60.0,200.0,2007年第２四半期
秋田県,8,1500000,110,住宅,60.0,200.0,2007年第２四半期
秋田県,28,8600000,210,住宅,50.0,80.0,2007年第２四半期
秋田県,30分?60分,7900000,260,住宅、店舗,50.0,80.0,2007年第２四半期
秋田県,30分?60分,45000000,230,住宅,50.0,80.0,2007年第２四半期
秋田県,21,7500000,250,住宅、店舗,60.0,200.0,2007年第２四半期
秋田県,14,33000000,200,住宅,60.0,200.0,2007年第２四半期
秋田県,16,25000000,180,住宅,60.0,200.0,2007年第２四半期
秋田県,8,9400000,65,住宅,80.0,400.0,2007年第２四半期
秋田県,11,4400000,630,住宅,70.0,200.0,2007年第２四半期
秋田県,30分?60分,6500000,170,住宅,60.0,200.0,2007年第２四半期
秋田県,30分?60分,15000000,260,住宅,60.0,200.0,2007年第２四半期
秋田県,18,28000000,430,共同住宅,60.0,200.0,2007年第２四半期
秋田県,30分?60分,45000000,1000,共同住宅,60.0,200.0,2007年第２四半期
秋田県,28,23000000,260,共同住宅,80.0,200.0,2007年第２四半期
秋田県,13,6000000,200,住宅,60.0,200.0,2007年第２四半期
秋田県,30分?60分,27000000,200,住宅,50.0,80.0,2007年第２四半期
秋田県,30分?60分,12000000,230,住宅,50.0,80.0,2007年第２四半期
秋田県,1H?1H30,14000000,220,住宅,70.0,200.0,2007年第２四半期
秋田県,30分?60分,6900000,150,住宅,60.0,200.0,2007年第２四半期
秋田県,25,9800000,105,住宅,50.0,80.0,2007年第２四半期
秋田県,7,20000000,200,住宅,60.0,200.0,2007年第２四半期
秋田県,1H?1H30,25000000,220,住宅,50.0,80.0,2007年第２四半期
秋田県,30分?60分,25000000,360,住宅,60.0,200.0,2007年第２四半期
秋田県,30分?60分,13000000,710,共同住宅、店舗,80.0,200.0,2007年第２四半期
秋田県,30分?60分,20000000,330,住宅,50.0,80.0,2007年第２四半期
秋田県,16,6300000,165,住宅,60.0,200.0,2007年第２四半期
秋田県,16,6100000,300,住宅,60.0,200.0,2007年第２四半期
秋田県,28,3900000,330,住宅,60.0,200.0,2007年第２四半期
秋田県,29,9800000,145,住宅,60.0,200.0,2007年第２四半期
秋田県,19,13000000,190,住宅,60.0,200.0,2007年第２四半期
秋田県,28,10000000,210,住宅,80.0,200.0,2007年第２四半期
秋田県,1H30?2H,3600000,750,住宅,70.0,400.0,2007年第２四半期
秋田県,20,3700000,145,住宅,60.0,200.0,2007年第２四半期
秋田県,16,12000000,200,住宅,60.0,200.0,2007年第２四半期
秋田県,11,19000000,250,住宅,60.0,200.0,2007年第２四半期
秋田県,11,11000000,270,住宅,60.0,200.0,2007年第２四半期
秋田県,14,6700000,170,住宅、店舗,60.0,200.0,2007年第２四半期
秋田県,30分?60分,18000000,220,住宅,70.0,200.0,2007年第２四半期
秋田県,10,2300000,25,住宅,60.0,200.0,2007年第２四半期
秋田県,30分?60分,4100000,350,住宅,60.0,200.0,2007年第２四半期
秋田県,30分?60分,3200000,195,住宅,60.0,200.0,2007年第２四半期
秋田県,30分?60分,3300000,280,住宅,50.0,80.0,2007年第２四半期
秋田県,30分?60分,8800000,340,住宅,60.0,200.0,2007年第２四半期
秋田県,16,23000000,145,住宅,60.0,200.0,2007年第２四半期
秋田県,25,7600000,230,住宅,50.0,200.0,2007年第２四半期
秋田県,26,25000000,210,共同住宅、事務所,60.0,200.0,2007年第２四半期
秋田県,15,300000,85,住宅,70.0,200.0,2007年第２四半期
秋田県,30分?60分,18000000,320,住宅,60.0,200.0,2007年第２四半期
秋田県,26,39000000,1000,住宅,60.0,200.0,2007年第２四半期
秋田県,30分?60分,2200000,100,住宅,70.0,200.0,2007年第２四半期
秋田県,30分?60分,14000000,75,住宅,60.0,200.0,2007年第２四半期
秋田県,30分?60分,17000000,350,住宅,50.0,80.0,2007年第２四半期
秋田県,30分?60分,18000000,920,住宅,70.0,200.0,2007年第２四半期
秋田県,30分?60分,13000000,135,住宅,60.0,150.0,2007年第２四半期
秋田県,1H?1H30,9000000,140,住宅,50.0,80.0,2007年第２四半期
秋田県,1H?1H30,14000000,210,住宅、事務所,60.0,200.0,2007年第２四半期
秋田県,1H?1H30,8000000,145,住宅,60.0,200.0,2007年第２四半期
秋田県,8,30000000,500,共同住宅,60.0,200.0,2007年第２四半期
