都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
山形県,19,45000000,200,住宅,60.0,200.0,2006年第４四半期
山形県,30分?60分,13000000,250,住宅,70.0,200.0,2007年第１四半期
山形県,15,15000000,360,住宅,60.0,200.0,2007年第１四半期
山形県,30分?60分,35000000,200,住宅,60.0,200.0,2007年第１四半期
山形県,22,7000000,230,住宅,70.0,200.0,2007年第１四半期
山形県,6,18000000,320,住宅,60.0,200.0,2007年第１四半期
山形県,9,1400000,110,住宅、店舗,60.0,200.0,2007年第１四半期
山形県,19,27000000,260,住宅,60.0,200.0,2007年第１四半期
山形県,5,130000000,300,住宅、店舗,80.0,300.0,2007年第１四半期
山形県,20,17000000,480,住宅,60.0,200.0,2007年第２四半期
山形県,18,8400000,320,住宅,60.0,200.0,2007年第２四半期
山形県,16,2200000,280,住宅,70.0,200.0,2007年第２四半期
山形県,20,32000000,380,住宅,60.0,200.0,2007年第２四半期
山形県,11,11000000,330,住宅、店舗,60.0,200.0,2007年第２四半期
山形県,16,6000000,165,住宅,60.0,200.0,2007年第２四半期
山形県,18,25000000,490,住宅,60.0,200.0,2007年第２四半期
山形県,12,25000000,430,共同住宅,60.0,200.0,2007年第２四半期
山形県,30分?60分,3700000,120,住宅,60.0,200.0,2007年第２四半期
山形県,30分?60分,17000000,180,住宅,70.0,200.0,2007年第２四半期
山形県,21,9900000,240,住宅,60.0,200.0,2007年第２四半期
山形県,21,13000000,380,住宅,50.0,80.0,2007年第２四半期
山形県,21,19000000,340,住宅,60.0,200.0,2007年第２四半期
山形県,21,28000000,175,住宅,80.0,200.0,2007年第２四半期
山形県,14,4000000,150,住宅,70.0,200.0,2007年第２四半期
山形県,22,13000000,220,住宅、店舗,80.0,400.0,2007年第２四半期
山形県,7,28000000,230,住宅,60.0,200.0,2007年第２四半期
山形県,29,23000000,260,住宅、店舗,80.0,200.0,2007年第２四半期
山形県,23,9800000,250,住宅,60.0,200.0,2007年第２四半期
山形県,30分?60分,12000000,65,住宅,60.0,200.0,2007年第２四半期
山形県,20,22000000,70,住宅,80.0,500.0,2007年第２四半期
山形県,30分?60分,3500000,95,住宅、工場,70.0,200.0,2007年第２四半期
山形県,1H?1H30,22000000,1500,住宅,70.0,200.0,2007年第２四半期
山形県,23,12000000,200,住宅,60.0,200.0,2007年第２四半期
山形県,13,8900000,65,住宅,80.0,400.0,2007年第２四半期
山形県,10,8000000,230,住宅,70.0,200.0,2007年第２四半期
山形県,26,19000000,95,住宅,60.0,200.0,2007年第２四半期
山形県,10,11000000,270,住宅,60.0,200.0,2007年第２四半期
山形県,30分?60分,19000000,400,住宅,60.0,200.0,2007年第２四半期
山形県,19,40000000,310,住宅,70.0,200.0,2007年第２四半期
山形県,10,1300000,420,住宅,70.0,200.0,2007年第２四半期
山形県,6,10000000,200,住宅,60.0,200.0,2007年第２四半期
山形県,1H?1H30,4900000,135,住宅,60.0,200.0,2007年第２四半期
山形県,30分?60分,3000000,120,住宅,50.0,60.0,2007年第２四半期
山形県,10,5500000,200,住宅,60.0,200.0,2007年第２四半期
山形県,10,8000000,410,住宅、店舗,60.0,200.0,2007年第２四半期
山形県,14,4000000,200,住宅,50.0,60.0,2007年第２四半期
山形県,21,18000000,290,住宅,60.0,150.0,2007年第２四半期
山形県,14,5500000,175,住宅,60.0,200.0,2007年第２四半期
山形県,13,14000000,340,住宅,60.0,200.0,2007年第２四半期
山形県,29,13000000,380,住宅,60.0,200.0,2007年第２四半期
山形県,30分?60分,4500000,260,共同住宅,60.0,200.0,2007年第２四半期
山形県,30分?60分,11000000,300,共同住宅,70.0,200.0,2007年第２四半期
山形県,11,1800000,180,住宅,60.0,200.0,2007年第２四半期
山形県,18,9500000,130,住宅,60.0,200.0,2007年第２四半期
山形県,2H?,3000000,340,住宅,60.0,200.0,2007年第２四半期
山形県,6,2000000,320,住宅,60.0,200.0,2007年第２四半期
山形県,9,20000000,300,住宅,60.0,200.0,2007年第２四半期
山形県,26,34000000,170,住宅,50.0,100.0,2007年第２四半期
山形県,24,22000000,260,住宅,60.0,200.0,2007年第２四半期
山形県,30分?60分,8000000,220,住宅,60.0,200.0,2007年第２四半期
山形県,1H30?2H,3000000,280,住宅,70.0,200.0,2007年第２四半期
山形県,2H?,37000000,2000㎡以上,共同住宅,60.0,200.0,2007年第２四半期
山形県,2H?,4500000,320,住宅,60.0,200.0,2007年第２四半期
山形県,6,3300000,340,住宅,60.0,200.0,2007年第２四半期
山形県,30分?60分,27000000,220,住宅,60.0,150.0,2007年第２四半期
