都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
福島県,26,110000000,260,住宅、店舗,60.0,200.0,2006年第３四半期
福島県,30分?60分,28000000,280,住宅,40.0,60.0,2006年第４四半期
福島県,1H?1H30,23000000,200,住宅,60.0,200.0,2007年第１四半期
福島県,2,35000000,190,住宅,60.0,200.0,2007年第１四半期
福島県,19,43000000,260,住宅,60.0,200.0,2007年第１四半期
福島県,2,35000000,180,住宅,60.0,200.0,2007年第１四半期
福島県,29,120000000,590,共同住宅、店舗,80.0,200.0,2007年第１四半期
福島県,1H30?2H,24000000,200,住宅,60.0,200.0,2007年第１四半期
福島県,1H30?2H,300000,570,住宅,60.0,200.0,2007年第１四半期
福島県,9,18000000,590,住宅、店舗,80.0,200.0,2007年第２四半期
福島県,14,11000000,280,住宅,60.0,200.0,2007年第２四半期
福島県,29,18000000,240,住宅,40.0,60.0,2007年第２四半期
福島県,30分?60分,22000000,240,住宅,60.0,200.0,2007年第２四半期
福島県,1H30?2H,32000000,280,住宅,50.0,80.0,2007年第２四半期
福島県,28,34000000,290,住宅,60.0,200.0,2007年第２四半期
福島県,28,32000000,270,住宅,60.0,200.0,2007年第２四半期
福島県,28,12000000,80,住宅,60.0,200.0,2007年第２四半期
福島県,30分?60分,15000000,1500,住宅,60.0,200.0,2007年第２四半期
福島県,2H?,7800000,175,住宅,60.0,200.0,2007年第２四半期
福島県,30分?60分,25000000,410,住宅,60.0,200.0,2007年第２四半期
福島県,26,8000000,60,住宅,60.0,200.0,2007年第２四半期
福島県,18,2500000,20,住宅,80.0,400.0,2007年第２四半期
福島県,30分?60分,25000000,210,住宅,50.0,100.0,2007年第２四半期
福島県,18,17000000,240,住宅,40.0,60.0,2007年第２四半期
福島県,28,30000000,210,住宅,60.0,200.0,2007年第２四半期
福島県,9,19000000,75,住宅,60.0,200.0,2007年第２四半期
福島県,30分?60分,11000000,340,住宅,60.0,200.0,2007年第２四半期
福島県,2H?,13000000,470,住宅,40.0,100.0,2007年第２四半期
福島県,30分?60分,25000000,220,住宅,60.0,200.0,2007年第２四半期
福島県,30分?60分,8500000,70,住宅,60.0,200.0,2007年第２四半期
福島県,11,2000000,15,住宅,80.0,500.0,2007年第２四半期
福島県,30分?60分,13000000,70,住宅,60.0,200.0,2007年第２四半期
福島県,30分?60分,7500000,50,住宅,60.0,200.0,2007年第２四半期
福島県,3,23000000,1200,住宅、その他,80.0,200.0,2007年第２四半期
福島県,30分?60分,10000000,70,住宅,60.0,200.0,2007年第２四半期
福島県,30分?60分,10000000,310,住宅,50.0,100.0,2007年第２四半期
福島県,11,2500000,20,住宅,80.0,500.0,2007年第２四半期
福島県,30分?60分,21000000,200,住宅,50.0,100.0,2007年第２四半期
福島県,2H?,22000000,240,住宅,60.0,150.0,2007年第２四半期
福島県,19,13000000,165,住宅,60.0,200.0,2007年第２四半期
福島県,1H30?2H,26000000,300,住宅,50.0,80.0,2007年第２四半期
福島県,6,4100000,370,住宅,60.0,200.0,2007年第２四半期
福島県,1H?1H30,31000000,200,住宅,60.0,200.0,2007年第２四半期
福島県,23,14000000,230,住宅,60.0,200.0,2007年第２四半期
福島県,2,16000000,260,住宅,60.0,200.0,2007年第２四半期
福島県,30分?60分,17000000,220,住宅,60.0,200.0,2007年第２四半期
福島県,30分?60分,32000000,170,住宅,60.0,200.0,2007年第２四半期
福島県,30分?60分,11000000,240,住宅,60.0,200.0,2007年第２四半期
福島県,22,75000000,500,共同住宅,60.0,200.0,2007年第２四半期
福島県,13,30000000,380,住宅,50.0,100.0,2007年第２四半期
福島県,30分?60分,7600000,60,住宅,60.0,200.0,2007年第２四半期
福島県,30分?60分,26000000,230,住宅,60.0,200.0,2007年第２四半期
福島県,30分?60分,15000000,310,住宅,60.0,200.0,2007年第２四半期
福島県,30分?60分,4200000,260,住宅,60.0,200.0,2007年第２四半期
福島県,7,9000000,240,住宅,60.0,200.0,2007年第２四半期
福島県,30分?60分,6800000,530,住宅,60.0,200.0,2007年第２四半期
福島県,1H?1H30,11000000,330,住宅,60.0,200.0,2007年第２四半期
福島県,21,27000000,200,住宅,60.0,200.0,2007年第２四半期
福島県,30分?60分,25000000,510,共同住宅,60.0,200.0,2007年第２四半期
福島県,23,24000000,135,住宅,60.0,200.0,2007年第２四半期
福島県,13,6000000,300,住宅,60.0,200.0,2007年第２四半期
福島県,25,37000000,350,共同住宅,60.0,200.0,2007年第２四半期
福島県,1H30?2H,30000000,450,住宅,40.0,60.0,2007年第２四半期
福島県,20,9500000,230,住宅,60.0,200.0,2007年第２四半期
