都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
群馬県,30分?60分,12000000,190,住宅,70.0,200.0,2007年第１四半期
群馬県,30分?60分,12000000,360,住宅,60.0,200.0,2007年第１四半期
群馬県,13,22000000,175,住宅,60.0,200.0,2007年第１四半期
群馬県,28,14000000,1400,住宅,70.0,200.0,2007年第１四半期
群馬県,1H?1H30,34000000,195,住宅,50.0,100.0,2007年第１四半期
群馬県,24,12000000,270,住宅,70.0,200.0,2007年第１四半期
群馬県,26,35000000,190,住宅,40.0,80.0,2007年第１四半期
群馬県,26,39000000,195,住宅,40.0,80.0,2007年第１四半期
群馬県,1H?1H30,2800000,45,住宅,70.0,200.0,2007年第１四半期
群馬県,6,35000000,150,住宅,60.0,200.0,2007年第１四半期
群馬県,30分?60分,8000000,230,住宅,40.0,80.0,2007年第１四半期
群馬県,14,28000000,210,住宅,60.0,200.0,2007年第１四半期
群馬県,1H?1H30,6600000,165,住宅,70.0,200.0,2007年第１四半期
群馬県,27,26000000,165,住宅,60.0,200.0,2007年第１四半期
群馬県,3,36000000,155,住宅,60.0,200.0,2007年第１四半期
群馬県,29,36000000,165,住宅,40.0,80.0,2007年第１四半期
群馬県,17,15000000,210,住宅,60.0,200.0,2007年第２四半期
群馬県,1H?1H30,16000000,470,住宅,70.0,400.0,2007年第２四半期
群馬県,30分?60分,22000000,165,住宅,60.0,200.0,2007年第２四半期
群馬県,5,10000000,350,住宅,60.0,200.0,2007年第２四半期
群馬県,30分?60分,9800000,220,住宅,70.0,200.0,2007年第２四半期
群馬県,8,17000000,260,住宅,60.0,200.0,2007年第２四半期
群馬県,9,16000000,65,住宅,80.0,400.0,2007年第２四半期
群馬県,19,14000000,540,住宅,70.0,200.0,2007年第２四半期
群馬県,30分?60分,22000000,180,住宅,60.0,200.0,2007年第２四半期
群馬県,24,22000000,165,住宅,60.0,200.0,2007年第２四半期
群馬県,1H30?2H,4800000,145,住宅,60.0,200.0,2007年第２四半期
群馬県,1H30?2H,11000000,190,住宅,60.0,200.0,2007年第２四半期
群馬県,13,7700000,280,住宅,70.0,200.0,2007年第２四半期
群馬県,1H?1H30,110000000,280,住宅,60.0,200.0,2007年第２四半期
群馬県,30分?60分,5000000,165,住宅,60.0,200.0,2007年第２四半期
群馬県,18,30000000,155,住宅,60.0,200.0,2007年第２四半期
群馬県,26,5500000,60,住宅,60.0,200.0,2007年第２四半期
群馬県,1H?1H30,5200000,165,住宅,70.0,200.0,2007年第２四半期
群馬県,30分?60分,6800000,160,住宅,70.0,400.0,2007年第２四半期
群馬県,23,9000000,105,住宅,60.0,200.0,2007年第２四半期
群馬県,30分?60分,5000000,105,住宅,60.0,200.0,2007年第２四半期
群馬県,23,14000000,220,住宅,70.0,200.0,2007年第２四半期
群馬県,9,10000000,330,住宅,60.0,200.0,2007年第２四半期
群馬県,1H?1H30,8300000,250,住宅,60.0,200.0,2007年第２四半期
群馬県,1H?1H30,10000000,360,住宅,60.0,200.0,2007年第２四半期
群馬県,18,27000000,400,共同住宅,60.0,200.0,2007年第２四半期
群馬県,1H?1H30,7500000,150,住宅,70.0,200.0,2007年第２四半期
群馬県,18,26000000,400,共同住宅,60.0,200.0,2007年第２四半期
群馬県,1H?1H30,5000000,270,住宅,70.0,400.0,2007年第２四半期
群馬県,1H?1H30,24000000,155,住宅,70.0,200.0,2007年第２四半期
群馬県,1H?1H30,24000000,170,住宅,60.0,200.0,2007年第２四半期
群馬県,14,7500000,300,住宅,60.0,200.0,2007年第２四半期
群馬県,15,25000000,220,住宅,40.0,80.0,2007年第２四半期
群馬県,15,23000000,220,住宅,40.0,80.0,2007年第２四半期
群馬県,16,24000000,165,住宅,60.0,200.0,2007年第２四半期
群馬県,30分?60分,5000000,220,住宅,70.0,200.0,2007年第２四半期
群馬県,12,9000000,220,住宅,60.0,200.0,2007年第２四半期
群馬県,1H?1H30,23000000,155,住宅,60.0,200.0,2007年第２四半期
群馬県,18,31000000,250,住宅,70.0,200.0,2007年第２四半期
群馬県,25,6000000,195,住宅,70.0,200.0,2007年第２四半期
群馬県,1H?1H30,15000000,270,共同住宅,60.0,200.0,2007年第２四半期
群馬県,28,9400000,230,住宅,60.0,200.0,2007年第２四半期
群馬県,30分?60分,23000000,240,住宅,70.0,400.0,2007年第２四半期
群馬県,3,3500000,165,住宅,70.0,200.0,2007年第２四半期
群馬県,3,34000000,170,住宅,60.0,200.0,2007年第２四半期
群馬県,24,7000000,60,住宅,80.0,400.0,2007年第２四半期
群馬県,6,24000000,210,住宅,60.0,200.0,2007年第２四半期
群馬県,15,36000000,155,住宅,60.0,200.0,2007年第２四半期
群馬県,4,4600000,60,住宅,60.0,200.0,2007年第２四半期
群馬県,13,22000000,290,住宅,60.0,200.0,2007年第２四半期
群馬県,30分?60分,7600000,165,住宅,60.0,200.0,2007年第２四半期
群馬県,1H?1H30,6400000,320,住宅,50.0,100.0,2007年第２四半期
群馬県,28,9800000,175,住宅,60.0,200.0,2007年第２四半期
群馬県,28,7200000,60,住宅,60.0,200.0,2007年第２四半期
群馬県,2H?,4500000,210,住宅,70.0,200.0,2007年第２四半期
群馬県,6,10000000,640,住宅,60.0,200.0,2007年第２四半期
群馬県,28,24000000,210,住宅,60.0,200.0,2007年第２四半期
群馬県,30分?60分,8000000,195,住宅,70.0,400.0,2007年第２四半期
群馬県,8,65000000,220,共同住宅、店舗,80.0,400.0,2007年第２四半期
群馬県,30分?60分,10000000,280,住宅,40.0,80.0,2007年第２四半期
群馬県,9,8300000,230,住宅,70.0,400.0,2007年第２四半期
群馬県,30分?60分,9500000,185,住宅,70.0,400.0,2007年第２四半期
群馬県,30分?60分,9300000,210,住宅,70.0,400.0,2007年第２四半期
群馬県,26,29000000,250,住宅,70.0,400.0,2007年第２四半期
群馬県,1H30?2H,5100000,170,住宅,60.0,200.0,2007年第２四半期
群馬県,8,26000000,175,住宅,60.0,200.0,2007年第２四半期
群馬県,10,33000000,530,住宅,80.0,200.0,2007年第２四半期
群馬県,16,3000000,20,住宅,60.0,200.0,2007年第２四半期
群馬県,16,3800000,30,住宅,80.0,400.0,2007年第２四半期
群馬県,30分?60分,11000000,460,住宅,70.0,400.0,2007年第２四半期
群馬県,20,40000000,155,住宅,60.0,200.0,2007年第２四半期
群馬県,9,5300000,130,住宅,60.0,200.0,2007年第２四半期
群馬県,30分?60分,18000000,155,住宅,70.0,200.0,2007年第２四半期
群馬県,1,9500000,55,住宅,80.0,200.0,2007年第２四半期
群馬県,23,7700000,670,住宅,60.0,200.0,2007年第２四半期
群馬県,14,5800000,320,住宅,60.0,200.0,2007年第２四半期
群馬県,30分?60分,28000000,230,住宅,70.0,200.0,2007年第２四半期
群馬県,25,27000000,175,住宅,40.0,80.0,2007年第２四半期
群馬県,1H?1H30,4300000,750,住宅,70.0,200.0,2007年第２四半期
群馬県,1H?1H30,27000000,140,住宅,40.0,80.0,2007年第２四半期
群馬県,29,3200000,150,住宅,60.0,200.0,2007年第２四半期
群馬県,30分?60分,9100000,220,住宅,40.0,80.0,2007年第２四半期
群馬県,30分?60分,20000000,160,住宅,70.0,200.0,2007年第２四半期
群馬県,30分?60分,2500000,240,住宅,70.0,200.0,2007年第２四半期
群馬県,30分?60分,9300000,190,住宅,60.0,200.0,2007年第２四半期
群馬県,30分?60分,13000000,130,住宅,60.0,200.0,2007年第２四半期
群馬県,21,7000000,165,住宅,60.0,200.0,2007年第２四半期
群馬県,30分?60分,17000000,170,住宅,70.0,200.0,2007年第２四半期
群馬県,23,4300000,540,住宅,70.0,200.0,2007年第２四半期
群馬県,18,3700000,100,住宅,60.0,200.0,2007年第２四半期
群馬県,1H?1H30,35000000,200,住宅,60.0,200.0,2007年第２四半期
群馬県,28,22000000,230,住宅,80.0,200.0,2007年第２四半期
群馬県,1H30?2H,6400000,380,住宅,70.0,400.0,2007年第２四半期
群馬県,24,36000000,410,住宅,40.0,80.0,2007年第２四半期
群馬県,30分?60分,40000000,1200,住宅、事務所,60.0,200.0,2007年第２四半期
群馬県,30分?60分,9500000,230,住宅,70.0,200.0,2007年第２四半期
群馬県,15,18000000,180,住宅,60.0,200.0,2007年第２四半期
群馬県,1H?1H30,14000000,300,住宅,70.0,200.0,2007年第２四半期
群馬県,11,21000000,155,住宅,60.0,200.0,2007年第２四半期
群馬県,15,30000000,210,住宅,60.0,200.0,2007年第２四半期
群馬県,1,6500000,45,住宅,80.0,400.0,2007年第２四半期
群馬県,30分?60分,13000000,200,住宅,60.0,200.0,2007年第２四半期
群馬県,30分?60分,20000000,145,住宅,60.0,200.0,2007年第２四半期
群馬県,30分?60分,21000000,175,住宅,60.0,200.0,2007年第２四半期
群馬県,1H?1H30,8000000,60,住宅,70.0,200.0,2007年第２四半期
群馬県,30分?60分,18000000,165,住宅,50.0,100.0,2007年第２四半期
群馬県,30分?60分,12000000,270,住宅,40.0,80.0,2007年第２四半期
群馬県,30分?60分,21000000,200,住宅,50.0,100.0,2007年第２四半期
群馬県,3,85000000,145,住宅、店舗,80.0,600.0,2007年第２四半期
群馬県,30分?60分,9000000,290,住宅,70.0,200.0,2007年第２四半期
群馬県,20,6300000,690,住宅,70.0,200.0,2007年第２四半期
群馬県,10,12000000,330,住宅,60.0,200.0,2007年第２四半期
群馬県,1H?1H30,30000000,230,住宅,60.0,200.0,2007年第２四半期
群馬県,1H30?2H,2600000,260,住宅,70.0,400.0,2007年第２四半期
