都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
新潟県,4,38000000,160,住宅,60.0,200.0,2006年第１四半期
新潟県,3,20000000,165,住宅,60.0,200.0,2006年第１四半期
新潟県,30分?60分,16000000,180,住宅,60.0,200.0,2006年第１四半期
新潟県,15,36000000,155,住宅,60.0,200.0,2006年第１四半期
新潟県,24,32000000,135,住宅,60.0,200.0,2006年第２四半期
新潟県,28,25000000,155,住宅,60.0,200.0,2006年第２四半期
新潟県,25,24000000,145,住宅,60.0,200.0,2006年第３四半期
新潟県,30分?60分,18000000,185,住宅,60.0,150.0,2006年第３四半期
新潟県,24,16000000,160,住宅,60.0,200.0,2006年第３四半期
新潟県,25,7800000,120,住宅,60.0,200.0,2006年第４四半期
新潟県,30分?60分,14000000,330,住宅,60.0,200.0,2006年第４四半期
新潟県,8,8200000,110,住宅,80.0,400.0,2007年第１四半期
新潟県,13,18000000,240,共同住宅,60.0,200.0,2007年第１四半期
新潟県,9,44000000,230,住宅,80.0,400.0,2007年第１四半期
新潟県,1H?1H30,39000000,160,住宅,60.0,200.0,2007年第１四半期
新潟県,12,28000000,165,住宅,50.0,100.0,2007年第１四半期
新潟県,21,13000000,145,住宅、倉庫,60.0,200.0,2007年第１四半期
新潟県,20,15000000,150,住宅,60.0,200.0,2007年第１四半期
新潟県,21,25000000,190,住宅,50.0,100.0,2007年第１四半期
新潟県,18,16000000,320,住宅,60.0,200.0,2007年第１四半期
新潟県,30分?60分,29000000,220,共同住宅,60.0,200.0,2007年第１四半期
新潟県,19,30000000,190,住宅,70.0,200.0,2007年第１四半期
新潟県,19,38000000,165,住宅,60.0,200.0,2007年第１四半期
新潟県,30分?60分,16000000,220,住宅,70.0,200.0,2007年第１四半期
新潟県,19,50000000,110,住宅,80.0,600.0,2007年第１四半期
新潟県,30分?60分,93000000,910,共同住宅,70.0,200.0,2007年第１四半期
新潟県,26,36000000,140,住宅,60.0,200.0,2007年第１四半期
新潟県,26,35000000,140,住宅,60.0,200.0,2007年第１四半期
新潟県,30分?60分,33000000,140,住宅,60.0,200.0,2007年第１四半期
新潟県,25,29000000,145,住宅,60.0,200.0,2007年第１四半期
新潟県,2H?,30000000,270,住宅,50.0,80.0,2007年第１四半期
新潟県,18,6500000,165,住宅,70.0,200.0,2007年第１四半期
新潟県,30分?60分,48000000,240,住宅,60.0,200.0,2007年第１四半期
新潟県,18,53000000,300,住宅,50.0,100.0,2007年第１四半期
新潟県,23,21000000,160,住宅,60.0,200.0,2007年第１四半期
新潟県,4,6800000,155,住宅,60.0,200.0,2007年第１四半期
新潟県,14,16000000,360,共同住宅,80.0,500.0,2007年第１四半期
新潟県,3,8500000,40,住宅,80.0,500.0,2007年第１四半期
