都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
富山県,18,200000000,2000㎡以上,住宅、店舗,60.0,200.0,2007年第１四半期
富山県,9,33000000,600,住宅,60.0,200.0,2007年第１四半期
富山県,13,20000000,100,住宅、店舗,80.0,500.0,2007年第２四半期
富山県,30分?60分,21000000,250,住宅,60.0,200.0,2007年第２四半期
富山県,30分?60分,2700000,320,住宅,60.0,200.0,2007年第２四半期
富山県,5,14000000,230,住宅,60.0,200.0,2007年第２四半期
富山県,24,12000000,280,住宅,60.0,200.0,2007年第２四半期
富山県,30分?60分,2800000,85,住宅,60.0,200.0,2007年第２四半期
富山県,27,14000000,60,住宅,60.0,200.0,2007年第２四半期
富山県,6,8100000,440,住宅,60.0,200.0,2007年第２四半期
富山県,24,23000000,190,住宅,60.0,200.0,2007年第２四半期
富山県,25,25000000,190,住宅,60.0,200.0,2007年第２四半期
富山県,16,5600000,175,住宅,80.0,300.0,2007年第２四半期
富山県,15,7000000,300,住宅,60.0,200.0,2007年第２四半期
富山県,1H?1H30,46000000,800,住宅,60.0,200.0,2007年第２四半期
富山県,22,10000000,95,住宅,80.0,200.0,2007年第２四半期
富山県,14,8500000,230,住宅,50.0,80.0,2007年第２四半期
富山県,6,7000000,440,住宅,60.0,200.0,2007年第２四半期
富山県,30分?60分,8200000,270,住宅,60.0,200.0,2007年第２四半期
富山県,6,16000000,310,住宅,60.0,200.0,2007年第２四半期
富山県,13,11000000,85,住宅,60.0,200.0,2007年第２四半期
富山県,19,18000000,260,住宅,60.0,200.0,2007年第２四半期
富山県,9,6300000,170,住宅,80.0,300.0,2007年第２四半期
富山県,15,4300000,80,住宅,80.0,400.0,2007年第２四半期
富山県,28,4500000,200,住宅,60.0,200.0,2007年第２四半期
富山県,25,16000000,95,住宅,80.0,400.0,2007年第２四半期
富山県,1H?1H30,13000000,210,住宅,60.0,200.0,2007年第２四半期
富山県,29,4000000,175,住宅、店舗,50.0,80.0,2007年第２四半期
富山県,30分?60分,15000000,2000㎡以上,住宅,60.0,200.0,2007年第２四半期
富山県,18,11000000,175,住宅,60.0,200.0,2007年第２四半期
富山県,1H?1H30,25000000,260,共同住宅,60.0,200.0,2007年第２四半期
富山県,30分?60分,14000000,280,住宅,60.0,200.0,2007年第２四半期
富山県,30分?60分,27000000,260,住宅,60.0,200.0,2007年第２四半期
富山県,20,23000000,350,住宅,60.0,200.0,2007年第２四半期
富山県,30分?60分,26000000,600,住宅,60.0,200.0,2007年第２四半期
富山県,13,8200000,260,住宅,60.0,200.0,2007年第２四半期
富山県,25,24000000,220,住宅,60.0,200.0,2007年第２四半期
富山県,8,29000000,185,住宅,60.0,200.0,2007年第２四半期
