都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
石川県,30分?60分,40000000,460,共同住宅,60.0,200.0,2006年第４四半期
石川県,18,15000000,85,住宅,60.0,200.0,2007年第１四半期
石川県,8,31000000,85,住宅,80.0,600.0,2007年第１四半期
石川県,10,3500000,165,住宅,60.0,200.0,2007年第１四半期
石川県,30分?60分,5800000,75,住宅,60.0,200.0,2007年第１四半期
石川県,1H?1H30,31000000,200,住宅,60.0,200.0,2007年第１四半期
石川県,1H?1H30,29000000,200,住宅,60.0,200.0,2007年第１四半期
石川県,25,25000000,50,住宅,60.0,200.0,2007年第１四半期
石川県,30分?60分,28000000,270,住宅,60.0,200.0,2007年第１四半期
石川県,2H?,4300000,390,住宅,60.0,200.0,2007年第２四半期
石川県,14,10000000,105,住宅,60.0,200.0,2007年第２四半期
石川県,1H30?2H,15000000,250,住宅,60.0,200.0,2007年第２四半期
石川県,16,7200000,165,住宅,60.0,200.0,2007年第２四半期
石川県,9,14000000,210,住宅,60.0,200.0,2007年第２四半期
石川県,8,5200000,190,住宅,60.0,200.0,2007年第２四半期
石川県,15,5700000,115,住宅,60.0,200.0,2007年第２四半期
石川県,1H?1H30,3500000,180,住宅,60.0,200.0,2007年第２四半期
石川県,30分?60分,13000000,140,住宅,60.0,200.0,2007年第２四半期
石川県,2H?,3500000,120,住宅,70.0,400.0,2007年第２四半期
石川県,30分?60分,10000000,195,住宅,60.0,200.0,2007年第２四半期
石川県,1H?1H30,3500000,195,住宅,60.0,200.0,2007年第２四半期
石川県,2H?,13000000,270,住宅,70.0,400.0,2007年第２四半期
石川県,2H?,1700000,110,住宅,70.0,400.0,2007年第２四半期
石川県,6,20000000,165,住宅,50.0,80.0,2007年第２四半期
石川県,30分?60分,18000000,410,住宅,60.0,200.0,2007年第２四半期
石川県,25,19000000,150,住宅,60.0,200.0,2007年第２四半期
石川県,15,15000000,65,住宅,80.0,500.0,2007年第２四半期
石川県,6,6500000,170,住宅,60.0,200.0,2007年第２四半期
石川県,15,9000000,100,住宅,60.0,200.0,2007年第２四半期
石川県,1H?1H30,30000000,980,住宅,60.0,200.0,2007年第２四半期
石川県,30分?60分,4600000,110,住宅,60.0,200.0,2007年第２四半期
石川県,1H30?2H,11000000,135,住宅,60.0,200.0,2007年第２四半期
石川県,30分?60分,6000000,60,住宅,60.0,200.0,2007年第２四半期
石川県,2H?,10000000,120,住宅、倉庫,70.0,400.0,2007年第２四半期
石川県,30分?60分,51000000,1100,共同住宅,60.0,200.0,2007年第２四半期
石川県,30分?60分,9500000,290,住宅,60.0,200.0,2007年第２四半期
石川県,20,53000000,1000,共同住宅,60.0,200.0,2007年第２四半期
石川県,30分?60分,11000000,105,住宅,60.0,200.0,2007年第２四半期
石川県,1H30?2H,22000000,115,住宅,60.0,200.0,2007年第２四半期
石川県,1H30?2H,11000000,360,住宅,60.0,200.0,2007年第２四半期
石川県,30分?60分,31000000,240,住宅,50.0,80.0,2007年第２四半期
石川県,21,17000000,175,住宅,60.0,200.0,2007年第２四半期
