都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
福井県,30分?60分,5000000,300,住宅,70.0,200.0,2007年第１四半期
福井県,9,4300000,110,住宅,60.0,200.0,2007年第２四半期
福井県,30分?60分,28000000,570,住宅,60.0,200.0,2007年第２四半期
福井県,26,8000000,110,住宅,60.0,200.0,2007年第２四半期
福井県,9,8300000,70,住宅,60.0,200.0,2007年第２四半期
福井県,3,9900000,180,住宅,60.0,100.0,2007年第２四半期
福井県,3,9900000,180,住宅,60.0,200.0,2007年第２四半期
福井県,30分?60分,6700000,140,住宅,60.0,200.0,2007年第２四半期
福井県,30分?60分,18000000,85,住宅,60.0,100.0,2007年第２四半期
福井県,1H?1H30,10000000,230,住宅,70.0,200.0,2007年第２四半期
福井県,16,7400000,190,住宅,60.0,200.0,2007年第２四半期
福井県,11,8000000,175,住宅,60.0,200.0,2007年第２四半期
福井県,1H?1H30,13000000,200,住宅,60.0,200.0,2007年第２四半期
福井県,7,11000000,190,住宅,60.0,200.0,2007年第２四半期
福井県,30分?60分,22000000,220,住宅,60.0,200.0,2007年第２四半期
福井県,30分?60分,16000000,240,住宅,60.0,200.0,2007年第２四半期
福井県,14,10000000,175,住宅,60.0,200.0,2007年第２四半期
福井県,30分?60分,7600000,110,住宅,60.0,100.0,2007年第２四半期
福井県,30分?60分,30000000,125,住宅,60.0,200.0,2007年第２四半期
福井県,30分?60分,41000000,180,住宅,60.0,200.0,2007年第２四半期
福井県,16,12000000,70,住宅,60.0,200.0,2007年第２四半期
福井県,6,25000000,230,住宅,60.0,200.0,2007年第２四半期
福井県,8,19000000,95,住宅、事務所,80.0,600.0,2007年第２四半期
福井県,13,8700000,120,住宅、店舗,80.0,400.0,2007年第２四半期
福井県,16,21000000,170,共同住宅、倉庫,80.0,400.0,2007年第２四半期
福井県,18,23000000,380,住宅,60.0,200.0,2007年第２四半期
福井県,16,7800000,190,住宅,60.0,200.0,2007年第２四半期
福井県,30分?60分,4600000,80,住宅,80.0,200.0,2007年第２四半期
福井県,11,5000000,85,住宅,60.0,200.0,2007年第２四半期
福井県,29,12000000,290,住宅,60.0,200.0,2007年第２四半期
福井県,20,24000000,120,住宅,60.0,200.0,2007年第２四半期
福井県,30分?60分,4800000,180,住宅,60.0,200.0,2007年第２四半期
福井県,5,36000000,175,住宅,80.0,300.0,2007年第２四半期
福井県,3,8100000,110,住宅,60.0,200.0,2007年第２四半期
