都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
山梨県,30分?60分,65000000,450,住宅、事務所,60.0,200.0,2006年第４四半期
山梨県,25,49000000,350,住宅,50.0,80.0,2006年第４四半期
山梨県,28,42000000,340,住宅,50.0,80.0,2007年第１四半期
山梨県,23,42000000,640,住宅、店舗,80.0,400.0,2007年第１四半期
山梨県,30分?60分,15000000,195,住宅,70.0,200.0,2007年第１四半期
山梨県,30分?60分,64000000,2000㎡以上,住宅,70.0,200.0,2007年第１四半期
山梨県,26,7000000,210,住宅,70.0,400.0,2007年第１四半期
山梨県,30分?60分,12000000,210,住宅,70.0,200.0,2007年第１四半期
山梨県,30分?60分,26000000,175,住宅,60.0,200.0,2007年第２四半期
山梨県,30分?60分,7700000,200,住宅,60.0,200.0,2007年第２四半期
山梨県,30分?60分,21000000,170,住宅,60.0,200.0,2007年第２四半期
山梨県,26,30000000,190,住宅,60.0,200.0,2007年第２四半期
山梨県,20,21000000,270,住宅,60.0,200.0,2007年第２四半期
山梨県,23,23000000,210,住宅,60.0,200.0,2007年第２四半期
山梨県,6,6000000,70,住宅,60.0,200.0,2007年第２四半期
山梨県,4,1500000,135,住宅,60.0,200.0,2007年第２四半期
山梨県,6,6200000,135,住宅,60.0,200.0,2007年第２四半期
山梨県,30分?60分,29000000,180,住宅,60.0,200.0,2007年第２四半期
山梨県,30分?60分,8200000,370,住宅,60.0,200.0,2007年第２四半期
山梨県,17,34000000,220,住宅,60.0,200.0,2007年第２四半期
山梨県,30分?60分,28000000,370,住宅、店舗,60.0,200.0,2007年第２四半期
山梨県,30分?60分,8000000,55,住宅,60.0,200.0,2007年第２四半期
山梨県,13,34000000,720,共同住宅,60.0,200.0,2007年第２四半期
山梨県,24,11000000,65,住宅,60.0,200.0,2007年第２四半期
山梨県,18,23000000,170,住宅,50.0,80.0,2007年第２四半期
山梨県,16,15000000,210,住宅,60.0,200.0,2007年第２四半期
山梨県,30分?60分,47000000,230,住宅、店舗,60.0,200.0,2007年第２四半期
山梨県,28,60000000,2000㎡以上,共同住宅,60.0,200.0,2007年第２四半期
山梨県,30分?60分,37000000,310,住宅,50.0,80.0,2007年第２四半期
山梨県,30分?60分,48000000,360,共同住宅,60.0,200.0,2007年第２四半期
山梨県,30分?60分,2500000,440,住宅,80.0,200.0,2007年第２四半期
山梨県,2,6600000,210,住宅,70.0,200.0,2007年第２四半期
山梨県,4,6300000,210,住宅,60.0,200.0,2007年第２四半期
山梨県,9,7200000,260,住宅,60.0,200.0,2007年第２四半期
山梨県,30分?60分,27000000,185,住宅,50.0,80.0,2007年第２四半期
山梨県,28,13000000,220,住宅,50.0,80.0,2007年第２四半期
山梨県,8,14000000,240,住宅,60.0,200.0,2007年第２四半期
山梨県,15,9400000,185,住宅,60.0,200.0,2007年第２四半期
山梨県,20,13000000,175,住宅,60.0,200.0,2007年第２四半期
山梨県,10,16000000,270,住宅,60.0,200.0,2007年第２四半期
山梨県,15,33000000,520,共同住宅,60.0,200.0,2007年第２四半期
山梨県,30分?60分,15000000,320,住宅、店舗,70.0,200.0,2007年第２四半期
