都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
長野県,30分?60分,18000000,200,住宅,60.0,200.0,2006年第３四半期
長野県,23,15000000,230,住宅,40.0,60.0,2006年第３四半期
長野県,19,42000000,700,共同住宅、工場,60.0,200.0,2006年第３四半期
長野県,30分?60分,86000000,470,共同住宅,60.0,200.0,2006年第３四半期
長野県,25,20000000,185,住宅、倉庫,60.0,200.0,2006年第４四半期
長野県,30分?60分,23000000,300,住宅,60.0,100.0,2006年第４四半期
長野県,29,26000000,280,住宅,60.0,200.0,2006年第４四半期
長野県,23,58000000,710,住宅、事務所,60.0,100.0,2006年第４四半期
長野県,9,33000000,320,住宅,60.0,200.0,2007年第１四半期
長野県,16,34000000,440,住宅,60.0,200.0,2007年第１四半期
長野県,6,10000000,220,住宅,60.0,200.0,2007年第１四半期
長野県,8,5000000,80,住宅,80.0,300.0,2007年第１四半期
長野県,5,4800000,80,住宅、店舗,80.0,400.0,2007年第１四半期
長野県,25,60000000,800,住宅,60.0,200.0,2007年第１四半期
長野県,7,11000000,260,住宅,60.0,200.0,2007年第１四半期
長野県,18,4000000,730,住宅,60.0,200.0,2007年第１四半期
長野県,30分?60分,37000000,430,住宅,60.0,200.0,2007年第１四半期
長野県,25,28000000,210,住宅,60.0,200.0,2007年第１四半期
長野県,4,12000000,260,住宅,80.0,200.0,2007年第１四半期
長野県,9,13000000,400,住宅,60.0,200.0,2007年第１四半期
長野県,30分?60分,500000,870,住宅,30.0,50.0,2007年第１四半期
長野県,30分?60分,34000000,210,住宅,60.0,200.0,2007年第１四半期
長野県,10,23000000,270,住宅,60.0,200.0,2007年第１四半期
長野県,6,140000000,490,共同住宅,60.0,200.0,2007年第１四半期
長野県,1H?1H30,30000000,400,住宅,60.0,200.0,2007年第１四半期
長野県,30分?60分,8500000,680,住宅,30.0,50.0,2007年第１四半期
長野県,30分?60分,10000000,890,住宅,60.0,200.0,2007年第１四半期
長野県,30分?60分,10000000,340,住宅,50.0,80.0,2007年第１四半期
長野県,1H?1H30,18000000,250,住宅,60.0,200.0,2007年第１四半期
長野県,1H30?2H,3000000,90,住宅,70.0,300.0,2007年第１四半期
長野県,5,20000000,650,住宅,80.0,200.0,2007年第１四半期
長野県,30分?60分,13000000,230,住宅,60.0,200.0,2007年第２四半期
長野県,30分?60分,36000000,150,住宅,60.0,200.0,2007年第２四半期
長野県,16,31000000,250,住宅,60.0,200.0,2007年第２四半期
長野県,30分?60分,28000000,155,住宅,60.0,200.0,2007年第２四半期
長野県,14,9300000,270,住宅,60.0,200.0,2007年第２四半期
長野県,5,10000000,190,住宅,60.0,200.0,2007年第２四半期
長野県,19,20000000,310,住宅,60.0,200.0,2007年第２四半期
長野県,28,7000000,250,住宅,60.0,200.0,2007年第２四半期
長野県,22,4300000,230,住宅,60.0,200.0,2007年第２四半期
長野県,8,13000000,290,住宅,60.0,200.0,2007年第２四半期
長野県,23,7100000,280,住宅,50.0,80.0,2007年第２四半期
長野県,7,21000000,195,共同住宅、店舗,80.0,400.0,2007年第２四半期
長野県,2H?,15000000,1000,住宅,40.0,80.0,2007年第２四半期
長野県,16,6500000,260,住宅,60.0,200.0,2007年第２四半期
長野県,21,34000000,220,住宅,60.0,200.0,2007年第２四半期
