都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
岐阜県,24,14000000,270,住宅,50.0,80.0,2005年第３四半期
岐阜県,30分?60分,64000000,550,住宅、倉庫,60.0,200.0,2005年第３四半期
岐阜県,24,10000000,80,住宅,60.0,300.0,2005年第３四半期
岐阜県,1H30?2H,37000000,370,住宅,60.0,200.0,2005年第３四半期
岐阜県,1H?1H30,6800000,115,住宅,60.0,200.0,2005年第３四半期
岐阜県,6,270000000,2000㎡以上,共同住宅、事務所、その他,60.0,200.0,2005年第３四半期
岐阜県,2H?,17000000,220,住宅,50.0,80.0,2005年第３四半期
岐阜県,30分?60分,7800000,160,住宅,60.0,200.0,2005年第３四半期
岐阜県,2H?,16000000,260,住宅,50.0,80.0,2005年第３四半期
岐阜県,21,29000000,230,住宅,60.0,200.0,2005年第３四半期
岐阜県,19,56000000,670,共同住宅,60.0,200.0,2005年第３四半期
岐阜県,1H?1H30,41000000,150,住宅,60.0,200.0,2005年第３四半期
岐阜県,1H?1H30,42000000,185,住宅,60.0,200.0,2005年第３四半期
岐阜県,1H?1H30,2800000,130,住宅,80.0,200.0,2005年第３四半期
岐阜県,24,45000000,990,共同住宅,50.0,80.0,2005年第３四半期
岐阜県,1H?1H30,30000000,270,住宅、事務所、倉庫、店舗,80.0,200.0,2005年第３四半期
岐阜県,30分?60分,35000000,160,住宅,60.0,200.0,2005年第３四半期
岐阜県,2,13000000,100,住宅,60.0,200.0,2005年第３四半期
岐阜県,30分?60分,20000000,200,住宅,60.0,200.0,2005年第３四半期
岐阜県,24,32000000,200,住宅,60.0,200.0,2005年第３四半期
岐阜県,30分?60分,35000000,1300,住宅,60.0,200.0,2005年第３四半期
岐阜県,16,11000000,70,住宅,60.0,200.0,2005年第３四半期
岐阜県,30分?60分,2800000,115,住宅,50.0,80.0,2005年第３四半期
岐阜県,11,27000000,260,住宅,50.0,80.0,2005年第３四半期
岐阜県,14,28000000,155,住宅,60.0,200.0,2005年第３四半期
岐阜県,20,52000000,890,住宅,80.0,200.0,2005年第３四半期
岐阜県,1H?1H30,12000000,145,住宅,60.0,200.0,2005年第３四半期
岐阜県,2H?,19000000,490,住宅,60.0,200.0,2005年第３四半期
岐阜県,1H30?2H,15000000,195,住宅,60.0,200.0,2005年第３四半期
岐阜県,26,9500000,200,住宅,50.0,80.0,2005年第３四半期
岐阜県,1H30?2H,32000000,290,住宅,50.0,80.0,2005年第３四半期
岐阜県,3,63000000,550,共同住宅、店舗,60.0,200.0,2005年第３四半期
岐阜県,1H30?2H,29000000,210,住宅,50.0,80.0,2005年第３四半期
岐阜県,18,52000000,1400,共同住宅,60.0,200.0,2005年第３四半期
岐阜県,14,5000000,105,住宅,60.0,200.0,2005年第３四半期
岐阜県,21,26000000,170,住宅,60.0,200.0,2005年第３四半期
岐阜県,30分?60分,30000000,155,住宅,60.0,200.0,2005年第３四半期
岐阜県,30分?60分,6000000,100,住宅,60.0,200.0,2005年第３四半期
岐阜県,1H?1H30,28000000,170,住宅,60.0,200.0,2005年第３四半期
岐阜県,2H?,14000000,170,住宅,50.0,80.0,2005年第３四半期
岐阜県,30分?60分,7500000,110,住宅,60.0,200.0,2005年第３四半期
岐阜県,4,13000000,350,住宅,60.0,200.0,2005年第３四半期
岐阜県,30分?60分,12000000,200,住宅,60.0,200.0,2005年第３四半期
岐阜県,29,13000000,210,住宅,50.0,80.0,2005年第３四半期
岐阜県,27,2900000,340,住宅、倉庫,60.0,200.0,2005年第３四半期
岐阜県,11,13000000,250,住宅,60.0,200.0,2005年第３四半期
岐阜県,14,29000000,180,住宅,60.0,200.0,2005年第３四半期
岐阜県,1H?1H30,13000000,200,住宅,50.0,80.0,2005年第３四半期
岐阜県,30分?60分,13000000,230,住宅,50.0,80.0,2005年第３四半期
岐阜県,2H?,6000000,80,住宅,50.0,80.0,2005年第３四半期
岐阜県,16,4000000,100,住宅,60.0,200.0,2005年第３四半期
