都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
静岡県,30分?60分,38000000,145,住宅,60.0,200.0,2005年第４四半期
静岡県,15,18000000,180,住宅、店舗,80.0,400.0,2006年第１四半期
静岡県,30分?60分,29000000,80,住宅,60.0,200.0,2006年第２四半期
静岡県,16,12000000,85,住宅,50.0,80.0,2006年第２四半期
静岡県,18,20000000,125,住宅,60.0,200.0,2006年第２四半期
静岡県,30分?60分,35000000,100,住宅,60.0,200.0,2006年第２四半期
静岡県,30分?60分,28000000,105,住宅,60.0,200.0,2006年第２四半期
静岡県,1H?1H30,15000000,140,住宅,60.0,150.0,2006年第２四半期
静岡県,24,23000000,100,住宅,60.0,200.0,2006年第２四半期
静岡県,18,8800000,100,住宅,60.0,200.0,2006年第２四半期
静岡県,13,27000000,220,住宅,60.0,200.0,2006年第２四半期
静岡県,30分?60分,29000000,165,住宅,60.0,200.0,2006年第２四半期
静岡県,30分?60分,39000000,790,共同住宅,60.0,200.0,2006年第２四半期
静岡県,1H?1H30,9800000,95,住宅,60.0,200.0,2006年第２四半期
静岡県,22,6500000,55,住宅,60.0,200.0,2006年第２四半期
静岡県,14,22000000,150,住宅,60.0,200.0,2006年第２四半期
静岡県,28,42000000,150,住宅,60.0,200.0,2006年第２四半期
静岡県,11,33000000,105,住宅,80.0,300.0,2006年第２四半期
静岡県,18,28000000,95,住宅,60.0,200.0,2006年第２四半期
静岡県,18,34000000,100,住宅,60.0,200.0,2006年第２四半期
静岡県,1H30?2H,16000000,100,住宅,60.0,150.0,2006年第２四半期
静岡県,23,36000000,110,住宅,60.0,200.0,2006年第２四半期
静岡県,15,28000000,80,住宅,80.0,400.0,2006年第２四半期
静岡県,19,29000000,85,住宅,80.0,400.0,2006年第２四半期
静岡県,16,8800000,30,住宅,80.0,200.0,2006年第２四半期
静岡県,26,26000000,70,住宅,60.0,200.0,2006年第２四半期
静岡県,30分?60分,14000000,85,住宅、店舗,60.0,200.0,2006年第２四半期
静岡県,19,2500000,60,住宅,60.0,200.0,2006年第２四半期
静岡県,30分?60分,26000000,240,共同住宅,60.0,200.0,2006年第２四半期
静岡県,30分?60分,53000000,780,共同住宅,60.0,150.0,2006年第２四半期
静岡県,30分?60分,59000000,390,住宅,60.0,150.0,2006年第２四半期
静岡県,9,14000000,65,住宅,80.0,400.0,2006年第２四半期
静岡県,17,9500000,60,住宅,60.0,200.0,2006年第２四半期
静岡県,1H?1H30,27000000,210,住宅,60.0,200.0,2006年第２四半期
静岡県,1H?1H30,15000000,105,住宅,60.0,200.0,2006年第２四半期
静岡県,11,24000000,65,住宅,80.0,300.0,2006年第２四半期
静岡県,24,18000000,75,住宅,60.0,200.0,2006年第２四半期
静岡県,30分?60分,15000000,45,住宅,60.0,200.0,2006年第２四半期
静岡県,30分?60分,21000000,120,住宅,60.0,200.0,2006年第２四半期
静岡県,30分?60分,23000000,70,住宅,60.0,200.0,2006年第２四半期
静岡県,6,8200000,100,住宅、店舗,80.0,200.0,2006年第２四半期
静岡県,16,33000000,185,住宅,80.0,400.0,2006年第２四半期
静岡県,29,36000000,220,住宅,60.0,200.0,2006年第２四半期
静岡県,30分?60分,16000000,290,住宅,60.0,200.0,2006年第２四半期
静岡県,1H?1H30,21000000,160,住宅,60.0,200.0,2006年第２四半期
静岡県,1H?1H30,74000000,540,共同住宅,60.0,200.0,2006年第２四半期
静岡県,23,13000000,115,住宅,60.0,200.0,2006年第２四半期
静岡県,30分?60分,21000000,75,住宅,60.0,200.0,2006年第２四半期
静岡県,1H?1H30,11000000,95,住宅,60.0,150.0,2006年第２四半期
静岡県,7,67000000,340,住宅,60.0,200.0,2006年第２四半期
静岡県,22,15000000,135,住宅,50.0,80.0,2006年第２四半期
静岡県,30分?60分,28000000,100,住宅,60.0,200.0,2006年第２四半期
静岡県,24,21000000,250,住宅,40.0,80.0,2006年第２四半期
静岡県,1H?1H30,26000000,240,住宅,40.0,80.0,2006年第２四半期
静岡県,14,25000000,95,住宅,80.0,200.0,2006年第２四半期
静岡県,30分?60分,57000000,380,共同住宅,60.0,200.0,2006年第２四半期
静岡県,1H?1H30,12000000,125,住宅、事務所、店舗,60.0,200.0,2006年第２四半期
静岡県,30分?60分,11000000,85,住宅,60.0,200.0,2006年第２四半期
静岡県,30分?60分,34000000,160,住宅,60.0,200.0,2006年第２四半期
静岡県,1H?1H30,31000000,120,住宅,60.0,150.0,2006年第２四半期
静岡県,2H?,30000000,200,住宅,60.0,200.0,2006年第２四半期
静岡県,24,26000000,100,共同住宅,80.0,300.0,2006年第２四半期
静岡県,2H?,27000000,210,住宅,60.0,200.0,2006年第２四半期
静岡県,2H?,10000000,400,住宅,60.0,200.0,2006年第２四半期
静岡県,2H?,28000000,220,住宅,60.0,200.0,2006年第２四半期
静岡県,1H?1H30,21000000,200,住宅,50.0,80.0,2006年第２四半期
静岡県,25,27000000,100,住宅,60.0,150.0,2006年第２四半期
静岡県,11,25000000,75,住宅,80.0,300.0,2006年第２四半期
静岡県,30分?60分,8600000,85,住宅,60.0,150.0,2006年第２四半期
静岡県,20,29000000,90,住宅,60.0,200.0,2006年第２四半期
静岡県,30分?60分,31000000,105,住宅,60.0,200.0,2006年第２四半期
静岡県,11,33000000,180,住宅、店舗,60.0,200.0,2006年第２四半期
静岡県,24,52000000,280,住宅,60.0,200.0,2006年第２四半期
静岡県,30分?60分,20000000,65,住宅,60.0,200.0,2006年第２四半期
静岡県,25,8000000,240,住宅,60.0,200.0,2006年第２四半期
静岡県,24,4300000,50,住宅,80.0,200.0,2006年第２四半期
静岡県,30分?60分,11000000,70,住宅,60.0,200.0,2006年第２四半期
静岡県,30分?60分,23000000,165,住宅,60.0,150.0,2006年第２四半期
