都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
三重県,18,42000000,180,住宅,60.0,200.0,2006年第４四半期
三重県,4,38000000,185,住宅,60.0,200.0,2007年第１四半期
三重県,14,42000000,250,住宅,60.0,200.0,2007年第１四半期
三重県,29,12000000,240,住宅,50.0,80.0,2007年第１四半期
三重県,14,35000000,175,住宅,60.0,200.0,2007年第１四半期
三重県,15,35000000,185,住宅,60.0,200.0,2007年第１四半期
三重県,15,35000000,200,住宅,60.0,200.0,2007年第１四半期
三重県,6,46000000,220,住宅,60.0,200.0,2007年第１四半期
三重県,4,49000000,220,住宅,60.0,200.0,2007年第１四半期
三重県,28,36000000,185,住宅,50.0,80.0,2007年第１四半期
三重県,16,34000000,185,住宅,60.0,200.0,2007年第１四半期
三重県,8,43000000,410,住宅,60.0,200.0,2007年第１四半期
三重県,8,20000000,65,住宅、店舗,80.0,400.0,2007年第１四半期
三重県,30分?60分,31000000,185,住宅,50.0,100.0,2007年第１四半期
三重県,8,38000000,260,住宅,60.0,200.0,2007年第１四半期
三重県,29,35000000,200,住宅,60.0,200.0,2007年第１四半期
三重県,9,10000000,220,共同住宅,60.0,200.0,2007年第１四半期
三重県,2H?,6500000,550,住宅,70.0,200.0,2007年第１四半期
三重県,23,13000000,75,住宅,60.0,200.0,2007年第２四半期
三重県,1H?1H30,17000000,260,住宅,60.0,200.0,2007年第２四半期
三重県,21,30000000,230,住宅,50.0,100.0,2007年第２四半期
三重県,1H?1H30,6800000,155,住宅,60.0,200.0,2007年第２四半期
三重県,9,2400000,130,住宅,60.0,200.0,2007年第２四半期
三重県,30分?60分,17000000,210,住宅,60.0,100.0,2007年第２四半期
三重県,13,9200000,290,住宅,60.0,200.0,2007年第２四半期
三重県,6,10000000,260,住宅,80.0,200.0,2007年第２四半期
三重県,16,40000000,230,住宅,60.0,100.0,2007年第２四半期
三重県,20,23000000,85,住宅,60.0,200.0,2007年第２四半期
三重県,19,82000000,1400,共同住宅,60.0,200.0,2007年第２四半期
三重県,23,19000000,70,住宅,60.0,200.0,2007年第２四半期
三重県,25,22000000,370,住宅,60.0,200.0,2007年第２四半期
三重県,1H?1H30,10000000,200,住宅,70.0,200.0,2007年第２四半期
三重県,2,3500000,60,住宅,80.0,300.0,2007年第２四半期
三重県,30分?60分,5700000,1100,住宅,60.0,200.0,2007年第２四半期
三重県,6,7500000,160,住宅,60.0,200.0,2007年第２四半期
三重県,28,20000000,165,住宅,60.0,200.0,2007年第２四半期
三重県,19,160000000,1800,共同住宅,60.0,200.0,2007年第２四半期
三重県,14,16000000,220,住宅,60.0,100.0,2007年第２四半期
三重県,30分?60分,5000000,145,住宅,60.0,200.0,2007年第２四半期
三重県,3,5000000,70,住宅,80.0,300.0,2007年第２四半期
三重県,10,730000,75,住宅,80.0,300.0,2007年第２四半期
三重県,29,13000000,75,住宅,50.0,100.0,2007年第２四半期
三重県,1H?1H30,16000000,185,住宅,50.0,100.0,2007年第２四半期
三重県,1H?1H30,16000000,210,住宅,50.0,100.0,2007年第２四半期
三重県,18,1100000,610,住宅、事務所,60.0,200.0,2007年第２四半期
三重県,1H?1H30,16000000,210,住宅,50.0,100.0,2007年第２四半期
三重県,1H?1H30,16000000,200,住宅,50.0,100.0,2007年第２四半期
三重県,30分?60分,21000000,420,住宅,50.0,100.0,2007年第２四半期
三重県,8,6500000,145,住宅,60.0,200.0,2007年第２四半期
三重県,30分?60分,15000000,180,住宅,60.0,200.0,2007年第２四半期
三重県,30分?60分,37000000,210,住宅,60.0,100.0,2007年第２四半期
三重県,2H?,19000000,670,住宅,70.0,200.0,2007年第２四半期
三重県,1H?1H30,16000000,220,住宅,70.0,200.0,2007年第２四半期
三重県,8,5000000,150,住宅,60.0,200.0,2007年第２四半期
三重県,1H30?2H,10000000,210,住宅,60.0,100.0,2007年第２四半期
三重県,1H30?2H,15000000,200,住宅,60.0,100.0,2007年第２四半期
三重県,1H?1H30,18000000,240,住宅,50.0,100.0,2007年第２四半期
三重県,30分?60分,55000000,1900,共同住宅,60.0,200.0,2007年第２四半期
三重県,30分?60分,26000000,280,住宅,70.0,100.0,2007年第２四半期
三重県,21,25000000,180,住宅,60.0,200.0,2007年第２四半期
三重県,13,30000000,185,住宅,60.0,200.0,2007年第２四半期
三重県,30分?60分,21000000,230,住宅,50.0,80.0,2007年第２四半期
三重県,30分?60分,31000000,270,住宅,50.0,80.0,2007年第２四半期
三重県,21,11000000,190,住宅,50.0,80.0,2007年第２四半期
三重県,1H?1H30,17000000,170,住宅,60.0,200.0,2007年第２四半期
三重県,8,12000000,145,住宅,80.0,300.0,2007年第２四半期
三重県,1H?1H30,8000000,240,住宅,60.0,200.0,2007年第２四半期
三重県,3,12000000,60,住宅,80.0,300.0,2007年第２四半期
三重県,3,16000000,65,住宅,80.0,300.0,2007年第２四半期
三重県,23,13000000,210,住宅,60.0,100.0,2007年第２四半期
三重県,29,4000000,400,住宅,60.0,200.0,2007年第２四半期
三重県,20,28000000,155,住宅,80.0,400.0,2007年第２四半期
三重県,18,19000000,90,住宅,80.0,400.0,2007年第２四半期
三重県,4,12000000,490,住宅,60.0,200.0,2007年第２四半期
三重県,23,4000000,155,住宅,60.0,200.0,2007年第２四半期
三重県,11,9000000,195,住宅,50.0,80.0,2007年第２四半期
三重県,13,12000000,180,住宅,60.0,200.0,2007年第２四半期
三重県,30分?60分,30000000,270,住宅,50.0,80.0,2007年第２四半期
三重県,18,32000000,210,住宅,60.0,200.0,2007年第２四半期
三重県,1H?1H30,18000000,350,住宅,60.0,200.0,2007年第２四半期
三重県,19,16000000,270,住宅,60.0,200.0,2007年第２四半期
三重県,28,12000000,210,住宅,60.0,200.0,2007年第２四半期
三重県,19,6800000,100,住宅、作業場,80.0,400.0,2007年第２四半期
三重県,29,11000000,185,住宅,60.0,200.0,2007年第２四半期
三重県,24,11000000,230,住宅,60.0,100.0,2007年第２四半期
三重県,15,15000000,300,住宅,60.0,200.0,2007年第２四半期
三重県,6,45000000,190,住宅,60.0,200.0,2007年第２四半期
三重県,26,6500000,190,住宅,60.0,100.0,2007年第２四半期
三重県,9,14000000,210,住宅,60.0,200.0,2007年第２四半期
三重県,25,7200000,200,住宅,60.0,100.0,2007年第２四半期
三重県,30分?60分,14000000,350,住宅,60.0,200.0,2007年第２四半期
三重県,30分?60分,4000000,165,住宅,60.0,200.0,2007年第２四半期
三重県,30分?60分,13000000,240,住宅,60.0,200.0,2007年第２四半期
三重県,4,2600000,150,住宅,60.0,200.0,2007年第２四半期
三重県,1H?1H30,2000000,310,住宅,60.0,200.0,2007年第２四半期
三重県,19,49000000,550,住宅、店舗,60.0,200.0,2007年第２四半期
三重県,7,12000000,610,住宅,60.0,200.0,2007年第２四半期
三重県,14,320000000,1700,共同住宅,60.0,200.0,2007年第２四半期
三重県,24,7000000,130,住宅,60.0,200.0,2007年第２四半期
三重県,10,8700000,105,住宅,60.0,200.0,2007年第２四半期
三重県,10,8700000,105,住宅,60.0,200.0,2007年第２四半期
三重県,9,25000000,260,住宅,80.0,200.0,2007年第２四半期
三重県,30分?60分,26000000,175,住宅,60.0,100.0,2007年第２四半期
三重県,16,11000000,145,住宅,60.0,200.0,2007年第２四半期
三重県,15,5000000,105,住宅,60.0,200.0,2007年第２四半期
三重県,15,9000000,135,住宅,60.0,200.0,2007年第２四半期
三重県,25,11000000,180,住宅,60.0,200.0,2007年第２四半期
三重県,25,12000000,175,住宅,60.0,200.0,2007年第２四半期
三重県,1H?1H30,12000000,680,住宅,60.0,200.0,2007年第２四半期
三重県,12,28000000,140,住宅,60.0,100.0,2007年第２四半期
三重県,30分?60分,13000000,210,住宅,60.0,200.0,2007年第２四半期
三重県,19,12000000,260,住宅,50.0,100.0,2007年第２四半期
三重県,5,6000000,125,住宅,70.0,200.0,2007年第２四半期
三重県,26,5300000,55,住宅,60.0,200.0,2007年第２四半期
三重県,30分?60分,23000000,175,住宅,60.0,200.0,2007年第２四半期
三重県,24,7600000,480,共同住宅,60.0,200.0,2007年第２四半期
三重県,1H?1H30,18000000,610,住宅,70.0,200.0,2007年第２四半期
三重県,5,6300000,150,住宅,60.0,100.0,2007年第２四半期
三重県,6,7000000,240,住宅,60.0,100.0,2007年第２四半期
三重県,14,64000000,320,住宅,60.0,200.0,2007年第２四半期
三重県,30分?60分,47000000,1000,住宅,60.0,200.0,2007年第２四半期
三重県,18,22000000,90,住宅,60.0,200.0,2007年第２四半期
三重県,16,42000000,190,住宅,60.0,200.0,2007年第２四半期
三重県,16,33000000,180,住宅,60.0,200.0,2007年第２四半期
三重県,16,38000000,200,住宅,60.0,200.0,2007年第２四半期
三重県,16,41000000,200,住宅,60.0,200.0,2007年第２四半期
三重県,14,40000000,200,住宅,60.0,200.0,2007年第２四半期
三重県,30分?60分,26000000,260,共同住宅,60.0,200.0,2007年第２四半期
三重県,19,6100000,125,住宅,60.0,200.0,2007年第２四半期
三重県,20,46000000,430,共同住宅,60.0,200.0,2007年第２四半期
三重県,18,5100000,270,住宅,60.0,200.0,2007年第２四半期
三重県,5,6600000,185,住宅,60.0,200.0,2007年第２四半期
三重県,18,35000000,500,住宅、店舗,80.0,200.0,2007年第２四半期
三重県,14,32000000,210,住宅,60.0,100.0,2007年第２四半期
三重県,30分?60分,20000000,280,住宅,70.0,200.0,2007年第２四半期
三重県,14,14000000,340,住宅,60.0,200.0,2007年第２四半期
三重県,23,5600000,180,住宅,60.0,100.0,2007年第２四半期
三重県,30分?60分,13000000,195,住宅,60.0,100.0,2007年第２四半期
三重県,1H?1H30,13000000,200,住宅,60.0,100.0,2007年第２四半期
三重県,1H?1H30,8300000,220,住宅,60.0,100.0,2007年第２四半期
三重県,1H?1H30,9800000,220,住宅,60.0,100.0,2007年第２四半期
三重県,1H?1H30,13000000,220,住宅,60.0,100.0,2007年第２四半期
三重県,1H?1H30,5800000,220,住宅,60.0,100.0,2007年第２四半期
三重県,1H?1H30,12000000,230,住宅,60.0,100.0,2007年第２四半期
三重県,1H?1H30,11000000,210,住宅,60.0,100.0,2007年第２四半期
三重県,30分?60分,31000000,500,住宅,60.0,100.0,2007年第２四半期
三重県,16,28000000,1600,住宅、倉庫,60.0,200.0,2007年第２四半期
三重県,18,24000000,210,住宅,50.0,100.0,2007年第２四半期
三重県,10,30000000,200,住宅,50.0,100.0,2007年第２四半期
三重県,30分?60分,4600000,110,住宅,60.0,100.0,2007年第２四半期
三重県,4,42000000,250,住宅,50.0,100.0,2007年第２四半期
三重県,16,7000000,165,住宅,70.0,200.0,2007年第２四半期
三重県,13,20000000,300,住宅,60.0,200.0,2007年第２四半期
三重県,30分?60分,7200000,195,住宅,60.0,100.0,2007年第２四半期
三重県,30分?60分,6500000,190,住宅,60.0,100.0,2007年第２四半期
三重県,12,19000000,120,住宅,70.0,200.0,2007年第２四半期
三重県,13,4000000,100,住宅,70.0,200.0,2007年第２四半期
三重県,30分?60分,9500000,195,住宅,60.0,100.0,2007年第２四半期
三重県,12,8800000,230,住宅,60.0,200.0,2007年第２四半期
三重県,30分?60分,26000000,270,住宅,60.0,200.0,2007年第２四半期
三重県,30分?60分,18000000,155,住宅,60.0,200.0,2007年第２四半期
三重県,17,11000000,70,住宅,70.0,200.0,2007年第２四半期
三重県,4,19000000,70,住宅,60.0,200.0,2007年第２四半期
三重県,4,18000000,70,住宅,60.0,200.0,2007年第２四半期
三重県,4,20000000,75,住宅,60.0,200.0,2007年第２四半期
三重県,4,26000000,90,住宅,60.0,200.0,2007年第２四半期
三重県,4,17000000,70,住宅,60.0,200.0,2007年第２四半期
三重県,4,24000000,80,住宅,60.0,200.0,2007年第２四半期
三重県,4,25000000,90,住宅,60.0,200.0,2007年第２四半期
三重県,4,19000000,75,住宅,60.0,200.0,2007年第２四半期
三重県,4,19000000,75,住宅,60.0,200.0,2007年第２四半期
三重県,4,22000000,75,住宅,60.0,200.0,2007年第２四半期
三重県,8,13000000,1100,住宅,60.0,200.0,2007年第２四半期
