都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
滋賀県,19,30000000,165,住宅,60.0,200.0,2006年第４四半期
滋賀県,30分?60分,34000000,190,住宅,60.0,200.0,2006年第４四半期
滋賀県,6,52000000,280,住宅,60.0,200.0,2007年第１四半期
滋賀県,29,2000000,60,住宅,60.0,200.0,2007年第１四半期
滋賀県,21,7000000,70,住宅,60.0,200.0,2007年第１四半期
滋賀県,21,43000000,150,住宅,60.0,200.0,2007年第１四半期
滋賀県,9,31000000,270,住宅,60.0,200.0,2007年第１四半期
滋賀県,30分?60分,31000000,170,住宅,60.0,100.0,2007年第１四半期
滋賀県,30分?60分,28000000,170,住宅,60.0,100.0,2007年第１四半期
滋賀県,30分?60分,30000000,170,住宅,60.0,100.0,2007年第１四半期
滋賀県,19,39000000,140,住宅,60.0,200.0,2007年第１四半期
滋賀県,30分?60分,2700000,260,住宅,70.0,200.0,2007年第１四半期
滋賀県,24,40000000,165,住宅,60.0,200.0,2007年第１四半期
滋賀県,13,38000000,145,住宅,60.0,200.0,2007年第１四半期
滋賀県,13,18000000,130,住宅,60.0,200.0,2007年第１四半期
滋賀県,10,17000000,95,住宅,80.0,400.0,2007年第１四半期
滋賀県,11,11000000,145,住宅,60.0,200.0,2007年第１四半期
滋賀県,7,12000000,75,住宅,60.0,200.0,2007年第２四半期
滋賀県,28,26000000,210,住宅,60.0,100.0,2007年第２四半期
滋賀県,16,34000000,80,住宅,80.0,400.0,2007年第２四半期
滋賀県,20,25000000,145,住宅,60.0,200.0,2007年第２四半期
滋賀県,30分?60分,19000000,165,住宅,60.0,100.0,2007年第２四半期
滋賀県,9,11000000,135,住宅,60.0,200.0,2007年第２四半期
滋賀県,14,11000000,500,住宅,70.0,200.0,2007年第２四半期
滋賀県,10,25000000,200,住宅,60.0,100.0,2007年第２四半期
滋賀県,9,35000000,185,住宅,60.0,200.0,2007年第２四半期
滋賀県,13,16000000,145,住宅,60.0,200.0,2007年第２四半期
滋賀県,15,22000000,75,住宅,60.0,200.0,2007年第２四半期
滋賀県,11,24000000,70,住宅,80.0,300.0,2007年第２四半期
滋賀県,9,10000000,85,住宅,80.0,400.0,2007年第２四半期
滋賀県,4,6200000,85,住宅,60.0,200.0,2007年第２四半期
滋賀県,6,28000000,135,住宅,60.0,200.0,2007年第２四半期
滋賀県,1H?1H30,41000000,190,住宅,50.0,80.0,2007年第２四半期
滋賀県,1H?1H30,8900000,105,住宅,40.0,200.0,2007年第２四半期
滋賀県,6,34000000,1100,共同住宅、事務所,80.0,400.0,2007年第２四半期
滋賀県,18,7000000,160,住宅,70.0,200.0,2007年第２四半期
滋賀県,30分?60分,2000000,150,住宅,70.0,200.0,2007年第２四半期
滋賀県,1H?1H30,37000000,200,住宅,50.0,80.0,2007年第２四半期
滋賀県,23,4300000,240,住宅,70.0,200.0,2007年第２四半期
滋賀県,26,8300000,155,住宅,70.0,200.0,2007年第２四半期
滋賀県,21,15000000,200,住宅,60.0,200.0,2007年第２四半期
滋賀県,8,6500000,200,住宅,60.0,200.0,2007年第２四半期
滋賀県,30分?60分,62000000,320,住宅,40.0,60.0,2007年第２四半期
滋賀県,30分?60分,47000000,210,住宅,50.0,80.0,2007年第２四半期
滋賀県,1H?1H30,39000000,185,住宅,50.0,80.0,2007年第２四半期
滋賀県,30分?60分,31000000,260,住宅,60.0,200.0,2007年第２四半期
滋賀県,26,27000000,210,住宅,60.0,200.0,2007年第２四半期
滋賀県,7,25000000,310,住宅,60.0,200.0,2007年第２四半期
滋賀県,15,17000000,175,住宅,70.0,200.0,2007年第２四半期
滋賀県,25,7500000,65,住宅,60.0,200.0,2007年第２四半期
滋賀県,28,14000000,400,住宅,60.0,200.0,2007年第２四半期
滋賀県,5,23000000,75,住宅,60.0,200.0,2007年第２四半期
滋賀県,17,13000000,55,住宅,80.0,500.0,2007年第２四半期
滋賀県,1H30?2H,17000000,230,住宅,50.0,80.0,2007年第２四半期
滋賀県,21,8800000,210,住宅,60.0,150.0,2007年第２四半期
滋賀県,30分?60分,32000000,155,住宅,60.0,200.0,2007年第２四半期
滋賀県,19,20000000,150,住宅,60.0,150.0,2007年第２四半期
滋賀県,30分?60分,14000000,125,住宅,60.0,200.0,2007年第２四半期
滋賀県,1H?1H30,13000000,150,住宅,60.0,200.0,2007年第２四半期
滋賀県,13,19000000,240,住宅,60.0,200.0,2007年第２四半期
滋賀県,19,34000000,280,住宅,50.0,80.0,2007年第２四半期
滋賀県,6,27000000,90,住宅,80.0,500.0,2007年第２四半期
滋賀県,5,90000000,200,住宅、店舗,80.0,500.0,2007年第２四半期
滋賀県,23,6100000,250,住宅,60.0,200.0,2007年第２四半期
滋賀県,23,3300000,55,住宅,60.0,200.0,2007年第２四半期
滋賀県,21,24000000,105,住宅,60.0,200.0,2007年第２四半期
滋賀県,11,3200000,110,住宅,60.0,200.0,2007年第２四半期
滋賀県,10,6700000,195,住宅,50.0,80.0,2007年第２四半期
滋賀県,19,6700000,95,住宅,60.0,200.0,2007年第２四半期
滋賀県,30分?60分,38000000,310,住宅,60.0,100.0,2007年第２四半期
滋賀県,15,1000000,240,住宅,60.0,200.0,2007年第２四半期
滋賀県,8,33000000,165,住宅,60.0,200.0,2007年第２四半期
滋賀県,18,26000000,290,住宅,50.0,80.0,2007年第２四半期
滋賀県,7,15000000,135,住宅,60.0,200.0,2007年第２四半期
滋賀県,10,17000000,70,住宅,80.0,400.0,2007年第２四半期
滋賀県,19,6000000,65,住宅,60.0,200.0,2007年第２四半期
滋賀県,13,17000000,110,住宅,60.0,200.0,2007年第２四半期
滋賀県,20,17000000,330,住宅,70.0,200.0,2007年第２四半期
滋賀県,30分?60分,20000000,120,住宅,60.0,200.0,2007年第２四半期
滋賀県,30分?60分,22000000,260,住宅,70.0,200.0,2007年第２四半期
滋賀県,1H?1H30,20000000,170,住宅,60.0,200.0,2007年第２四半期
滋賀県,28,16000000,155,住宅,60.0,200.0,2007年第２四半期
滋賀県,30分?60分,19000000,175,住宅,50.0,80.0,2007年第２四半期
滋賀県,1H?1H30,24000000,195,住宅,60.0,150.0,2007年第２四半期
滋賀県,15,15000000,200,住宅,50.0,80.0,2007年第２四半期
滋賀県,21,10000000,70,住宅,60.0,200.0,2007年第２四半期
滋賀県,26,24000000,115,住宅,60.0,200.0,2007年第２四半期
滋賀県,30分?60分,37000000,170,住宅,50.0,80.0,2007年第２四半期
滋賀県,30分?60分,17000000,170,住宅,60.0,200.0,2007年第２四半期
