都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
京都府,18,13000000,65,住宅,60.0,200.0,2005年第３四半期
京都府,6,6300000,50,住宅,60.0,200.0,2005年第３四半期
京都府,30分?60分,26000000,80,住宅,60.0,200.0,2005年第３四半期
京都府,23,13000000,70,住宅,60.0,200.0,2005年第３四半期
京都府,26,12000000,60,住宅,60.0,200.0,2005年第３四半期
京都府,10,31000000,280,住宅,40.0,60.0,2005年第３四半期
京都府,28,21000000,60,住宅,60.0,200.0,2005年第３四半期
京都府,16,23000000,75,住宅,60.0,200.0,2005年第３四半期
京都府,9,50000000,130,住宅,50.0,80.0,2005年第３四半期
京都府,24,11000000,65,住宅,60.0,200.0,2005年第３四半期
京都府,10,43000000,180,住宅,60.0,200.0,2005年第３四半期
京都府,8,16000000,65,住宅,60.0,200.0,2005年第３四半期
京都府,14,40000000,220,住宅,40.0,60.0,2005年第３四半期
京都府,2,9300000,65,住宅,60.0,200.0,2005年第３四半期
京都府,15,20000000,135,住宅,60.0,300.0,2005年第３四半期
京都府,30分?60分,33000000,220,住宅,60.0,200.0,2005年第３四半期
京都府,8,3500000,60,住宅,60.0,200.0,2005年第３四半期
京都府,13,28000000,125,住宅,60.0,200.0,2005年第３四半期
京都府,7,28000000,85,住宅,60.0,200.0,2005年第３四半期
京都府,30分?60分,21000000,165,住宅,60.0,200.0,2005年第３四半期
京都府,9,54000000,260,住宅,60.0,100.0,2005年第３四半期
京都府,3,12000000,50,住宅、店舗,60.0,200.0,2005年第３四半期
京都府,3,16000000,45,住宅,60.0,200.0,2005年第３四半期
京都府,12,60000000,240,住宅,50.0,80.0,2005年第３四半期
京都府,16,31000000,85,住宅,60.0,200.0,2005年第３四半期
京都府,8,41000000,90,住宅,60.0,200.0,2005年第３四半期
京都府,10,42000000,95,住宅,80.0,400.0,2005年第３四半期
京都府,8,5500000,95,住宅,60.0,200.0,2005年第３四半期
京都府,9,46000000,95,住宅,60.0,200.0,2005年第３四半期
京都府,8,40000000,90,住宅,60.0,200.0,2005年第３四半期
京都府,3,21000000,60,住宅,60.0,200.0,2005年第３四半期
京都府,8,43000000,90,住宅,60.0,200.0,2005年第３四半期
京都府,3,15000000,45,住宅,60.0,200.0,2005年第３四半期
京都府,18,6000000,65,住宅、店舗,60.0,200.0,2005年第３四半期
京都府,9,42000000,90,住宅,60.0,200.0,2005年第３四半期
京都府,4,15000000,60,住宅,60.0,200.0,2005年第３四半期
京都府,14,43000000,105,住宅,60.0,200.0,2005年第３四半期
京都府,13,43000000,65,住宅、事務所、店舗,80.0,400.0,2005年第３四半期
京都府,19,15000000,55,住宅,60.0,200.0,2005年第３四半期
京都府,15,4300000,15,住宅,60.0,200.0,2005年第３四半期
京都府,19,24000000,70,住宅,60.0,200.0,2005年第３四半期
京都府,28,28000000,120,住宅,50.0,80.0,2005年第３四半期
京都府,15,5400000,15,住宅,60.0,200.0,2005年第３四半期
京都府,7,9000000,80,住宅,50.0,80.0,2005年第３四半期
京都府,5,12000000,55,住宅,60.0,200.0,2005年第３四半期
京都府,14,30000000,90,住宅、事務所,60.0,200.0,2005年第３四半期
京都府,6,18000000,95,住宅,60.0,200.0,2005年第３四半期
京都府,8,12000000,50,住宅,80.0,500.0,2005年第３四半期
京都府,9,21000000,120,住宅,60.0,200.0,2005年第３四半期
京都府,5,32000000,200,住宅,60.0,200.0,2005年第３四半期
京都府,1,11000000,50,住宅,60.0,200.0,2005年第３四半期
京都府,11,23000000,75,住宅,60.0,200.0,2005年第３四半期
京都府,10,6200000,20,住宅,80.0,300.0,2005年第３四半期
京都府,6,58000000,310,住宅,50.0,80.0,2005年第３四半期
京都府,28,46000000,230,住宅,40.0,60.0,2005年第３四半期
京都府,14,26000000,60,住宅,60.0,200.0,2005年第３四半期
京都府,20,15000000,50,住宅、店舗,60.0,200.0,2005年第３四半期
京都府,20,12000000,45,住宅,60.0,100.0,2005年第３四半期
京都府,10,55000000,120,住宅,60.0,200.0,2005年第３四半期
京都府,11,8000000,60,住宅,60.0,200.0,2005年第３四半期
京都府,30分?60分,14000000,75,住宅,60.0,300.0,2005年第３四半期
京都府,8,30000000,65,住宅,80.0,300.0,2005年第３四半期
京都府,30分?60分,14000000,80,住宅,60.0,300.0,2005年第３四半期
京都府,3,18000000,45,住宅,80.0,700.0,2005年第３四半期
京都府,16,7000000,50,住宅,50.0,80.0,2005年第３四半期
京都府,8,26000000,60,住宅,80.0,700.0,2005年第３四半期
京都府,16,41000000,115,住宅,50.0,80.0,2005年第３四半期
京都府,9,19000000,50,住宅,60.0,200.0,2005年第３四半期
京都府,4,8000000,55,住宅,60.0,200.0,2005年第３四半期
京都府,19,25000000,145,住宅,50.0,80.0,2005年第３四半期
京都府,30分?60分,140000000,610,共同住宅、店舗,60.0,200.0,2005年第３四半期
京都府,8,14000000,50,住宅,80.0,500.0,2005年第３四半期
京都府,8,12000000,50,住宅,80.0,500.0,2005年第３四半期
京都府,4,20000000,45,住宅,80.0,400.0,2005年第３四半期
京都府,5,18000000,65,住宅,60.0,200.0,2005年第３四半期
京都府,8,16000000,60,住宅,60.0,200.0,2005年第３四半期
京都府,8,19000000,105,住宅,60.0,300.0,2005年第３四半期
京都府,18,27000000,100,住宅,60.0,200.0,2005年第３四半期
京都府,4,16000000,70,住宅,60.0,200.0,2005年第３四半期
京都府,13,60000000,270,住宅,50.0,80.0,2005年第３四半期
京都府,11,35000000,190,住宅、作業場,60.0,200.0,2005年第３四半期
京都府,10,22000000,70,住宅,60.0,200.0,2005年第３四半期
京都府,4,22000000,60,住宅,60.0,200.0,2005年第３四半期
京都府,5,270000000,440,共同住宅、事務所、店舗,80.0,400.0,2005年第３四半期
京都府,5,24000000,40,住宅,80.0,400.0,2005年第３四半期
京都府,6,5000000,45,住宅,80.0,400.0,2005年第３四半期
京都府,21,15000000,60,住宅,60.0,200.0,2005年第３四半期
京都府,25,32000000,170,住宅,50.0,80.0,2005年第３四半期
京都府,21,11000000,60,住宅,60.0,200.0,2005年第３四半期
京都府,8,12000000,50,住宅,60.0,200.0,2005年第３四半期
京都府,22,33000000,120,住宅,60.0,200.0,2005年第３四半期
京都府,8,26000000,60,住宅,80.0,400.0,2005年第３四半期
京都府,10,43000000,115,住宅,60.0,200.0,2005年第３四半期
京都府,9,22000000,60,住宅,60.0,200.0,2005年第３四半期
京都府,1H?1H30,13000000,80,住宅,80.0,200.0,2005年第３四半期
京都府,11,32000000,160,住宅、事務所,60.0,200.0,2005年第３四半期
京都府,18,24000000,200,住宅、作業場,60.0,200.0,2005年第３四半期
京都府,18,6500000,30,住宅,60.0,200.0,2005年第３四半期
京都府,4,47000000,135,住宅,50.0,80.0,2005年第３四半期
京都府,9,12000000,40,住宅,60.0,200.0,2005年第３四半期
京都府,1,28000000,55,共同住宅,80.0,200.0,2005年第３四半期
