都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
和歌山県,1H?1H30,27000000,240,住宅,60.0,200.0,2006年第４四半期
和歌山県,15,24000000,115,住宅,60.0,200.0,2007年第１四半期
和歌山県,1H?1H30,9500000,390,住宅、工場,70.0,200.0,2007年第１四半期
和歌山県,26,17000000,55,住宅,80.0,300.0,2007年第１四半期
和歌山県,20,1900000,100,住宅,70.0,200.0,2007年第２四半期
和歌山県,30分?60分,5700000,185,住宅,50.0,100.0,2007年第２四半期
和歌山県,27,110000000,990,共同住宅,60.0,200.0,2007年第２四半期
和歌山県,28,19000000,120,住宅,60.0,200.0,2007年第２四半期
和歌山県,28,27000000,150,住宅,60.0,200.0,2007年第２四半期
和歌山県,15,7200000,55,住宅,80.0,600.0,2007年第２四半期
和歌山県,24,19000000,100,住宅,60.0,200.0,2007年第２四半期
和歌山県,19,37000000,150,住宅,60.0,200.0,2007年第２四半期
和歌山県,28,150000000,2000㎡以上,住宅、事務所,60.0,200.0,2007年第２四半期
和歌山県,22,53000000,260,住宅,60.0,200.0,2007年第２四半期
和歌山県,9,35000000,150,住宅,60.0,200.0,2007年第２四半期
和歌山県,30分?60分,4600000,100,住宅,70.0,200.0,2007年第２四半期
和歌山県,26,6800000,80,住宅,70.0,200.0,2007年第２四半期
和歌山県,30分?60分,7300000,135,住宅,70.0,200.0,2007年第２四半期
和歌山県,30分?60分,9000000,100,住宅,70.0,200.0,2007年第２四半期
和歌山県,23,21000000,115,住宅,60.0,200.0,2007年第２四半期
和歌山県,8,3600000,75,住宅,60.0,200.0,2007年第２四半期
和歌山県,29,14000000,190,住宅,50.0,100.0,2007年第２四半期
和歌山県,30分?60分,5600000,100,住宅,70.0,200.0,2007年第２四半期
和歌山県,16,20000000,105,住宅,60.0,200.0,2007年第２四半期
和歌山県,10,42000000,100,住宅、店舗,80.0,600.0,2007年第２四半期
和歌山県,20,5000000,105,住宅,60.0,200.0,2007年第２四半期
和歌山県,13,800000,75,住宅,70.0,200.0,2007年第２四半期
和歌山県,19,6800000,180,住宅,60.0,200.0,2007年第２四半期
和歌山県,30分?60分,48000000,350,住宅,70.0,200.0,2007年第２四半期
和歌山県,18,37000000,160,住宅,60.0,200.0,2007年第２四半期
和歌山県,29,2600000,450,住宅,70.0,200.0,2007年第２四半期
和歌山県,8,7300000,135,住宅,70.0,200.0,2007年第２四半期
和歌山県,24,26000000,115,住宅,50.0,100.0,2007年第２四半期
和歌山県,11,55000000,260,住宅、事務所、倉庫、店舗,80.0,400.0,2007年第２四半期
和歌山県,4,4500000,135,住宅,70.0,200.0,2007年第２四半期
和歌山県,30分?60分,140000000,800,住宅,60.0,200.0,2007年第２四半期
和歌山県,19,200000000,1600,共同住宅,80.0,300.0,2007年第２四半期
和歌山県,1H?1H30,68000000,980,住宅,60.0,200.0,2007年第２四半期
和歌山県,30分?60分,19000000,100,住宅,50.0,100.0,2007年第２四半期
和歌山県,27,12000000,180,住宅、店舗,80.0,200.0,2007年第２四半期
和歌山県,8,22000000,110,住宅,60.0,200.0,2007年第２四半期
和歌山県,6,20000000,120,住宅,60.0,200.0,2007年第２四半期
和歌山県,30分?60分,19000000,230,住宅,70.0,200.0,2007年第２四半期
和歌山県,30分?60分,24000000,130,住宅,60.0,200.0,2007年第２四半期
和歌山県,20,7700000,55,住宅,80.0,400.0,2007年第２四半期
和歌山県,30分?60分,43000000,155,住宅,50.0,100.0,2007年第２四半期
和歌山県,29,9900000,130,住宅,70.0,200.0,2007年第２四半期
和歌山県,9,13000000,135,住宅,60.0,200.0,2007年第２四半期
和歌山県,6,21000000,135,住宅,60.0,200.0,2007年第２四半期
和歌山県,13,9800000,100,住宅,60.0,200.0,2007年第２四半期
和歌山県,15,23000000,185,住宅,60.0,200.0,2007年第２四半期
和歌山県,9,8500000,95,住宅,60.0,200.0,2007年第２四半期
和歌山県,6,32000000,180,住宅,60.0,200.0,2007年第２四半期
和歌山県,19,28000000,190,住宅,50.0,100.0,2007年第２四半期
和歌山県,23,34000000,175,住宅,60.0,200.0,2007年第２四半期
和歌山県,23,19000000,145,住宅,50.0,100.0,2007年第２四半期
和歌山県,12,20000000,430,住宅,70.0,200.0,2007年第２四半期
和歌山県,30分?60分,19000000,210,住宅,70.0,200.0,2007年第２四半期
和歌山県,9,17000000,330,住宅,70.0,200.0,2007年第２四半期
和歌山県,8,14000000,870,住宅,60.0,200.0,2007年第２四半期
和歌山県,30分?60分,12000000,440,住宅,30.0,50.0,2007年第２四半期
和歌山県,16,22000000,120,住宅,60.0,200.0,2007年第２四半期
和歌山県,30分?60分,11000000,125,住宅,60.0,200.0,2007年第２四半期
和歌山県,9,7500000,55,住宅,60.0,200.0,2007年第２四半期
和歌山県,3,20000000,100,住宅,80.0,300.0,2007年第２四半期
和歌山県,4,28000000,130,住宅,50.0,100.0,2007年第２四半期
和歌山県,30分?60分,39000000,170,住宅,60.0,200.0,2007年第２四半期
和歌山県,30分?60分,12000000,195,住宅,60.0,200.0,2007年第２四半期
和歌山県,30分?60分,23000000,100,住宅,60.0,200.0,2007年第２四半期
