都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
鳥取県,9,10000000,75,住宅、工場,80.0,400.0,2007年第１四半期
鳥取県,1H?1H30,26000000,140,住宅,60.0,200.0,2007年第１四半期
鳥取県,30分?60分,31000000,155,住宅,60.0,200.0,2007年第１四半期
鳥取県,30分?60分,12000000,210,住宅,70.0,400.0,2007年第２四半期
鳥取県,25,1200000,190,住宅,60.0,200.0,2007年第２四半期
鳥取県,30分?60分,9500000,195,住宅,60.0,200.0,2007年第２四半期
鳥取県,30分?60分,11000000,200,住宅,50.0,80.0,2007年第２四半期
鳥取県,30分?60分,3900000,430,住宅,60.0,200.0,2007年第２四半期
鳥取県,1H?1H30,11000000,200,住宅,70.0,400.0,2007年第２四半期
鳥取県,1H30?2H,3800000,260,住宅,70.0,400.0,2007年第２四半期
鳥取県,1H?1H30,3000000,110,住宅,70.0,400.0,2007年第２四半期
鳥取県,26,4700000,90,住宅,60.0,200.0,2007年第２四半期
鳥取県,9,2600000,135,住宅,60.0,200.0,2007年第２四半期
鳥取県,30分?60分,5500000,410,住宅、店舗,70.0,400.0,2007年第２四半期
鳥取県,25,13000000,170,住宅,60.0,200.0,2007年第２四半期
鳥取県,30分?60分,9800000,380,住宅,70.0,400.0,2007年第２四半期
鳥取県,1H?1H30,4000000,720,住宅,70.0,400.0,2007年第２四半期
鳥取県,25,20000000,190,住宅,60.0,200.0,2007年第２四半期
鳥取県,30分?60分,11000000,320,住宅,70.0,400.0,2007年第２四半期
鳥取県,30分?60分,12000000,125,住宅,50.0,80.0,2007年第２四半期
鳥取県,14,6800000,200,住宅,60.0,200.0,2007年第２四半期
鳥取県,1H?1H30,14000000,290,住宅,50.0,80.0,2007年第２四半期
鳥取県,9,10000000,280,住宅,60.0,200.0,2007年第２四半期
鳥取県,30分?60分,48000000,250,住宅,60.0,200.0,2007年第２四半期
鳥取県,30分?60分,5000000,90,住宅,60.0,200.0,2007年第２四半期
鳥取県,30分?60分,3500000,190,住宅,70.0,400.0,2007年第２四半期
鳥取県,25,15000000,190,住宅,60.0,200.0,2007年第２四半期
鳥取県,1H?1H30,12000000,360,住宅,70.0,400.0,2007年第２四半期
鳥取県,30分?60分,12000000,150,住宅,60.0,200.0,2007年第２四半期
鳥取県,4,4000000,85,住宅,70.0,400.0,2007年第２四半期
鳥取県,13,6300000,210,住宅,60.0,200.0,2007年第２四半期
鳥取県,30分?60分,40000000,165,住宅,60.0,200.0,2007年第２四半期
鳥取県,30分?60分,44000000,165,住宅,60.0,200.0,2007年第２四半期
鳥取県,1H?1H30,1400000,25,住宅,80.0,400.0,2007年第２四半期
