都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
広島県,20,29000000,220,共同住宅,50.0,100.0,2006年第１四半期
広島県,16,17000000,220,住宅,50.0,100.0,2006年第１四半期
広島県,26,14000000,230,住宅,50.0,100.0,2006年第１四半期
広島県,30分?60分,180000000,280,共同住宅、事務所,60.0,200.0,2006年第１四半期
広島県,30分?60分,37000000,460,住宅,50.0,100.0,2006年第１四半期
広島県,4,29000000,130,住宅,60.0,200.0,2006年第２四半期
広島県,30分?60分,34000000,140,住宅,60.0,200.0,2006年第２四半期
広島県,30分?60分,8000000,115,住宅,50.0,100.0,2006年第２四半期
広島県,30分?60分,62000000,220,共同住宅、店舗,60.0,200.0,2006年第２四半期
広島県,22,3200000,85,住宅,60.0,200.0,2006年第２四半期
広島県,30分?60分,39000000,145,住宅,60.0,200.0,2006年第２四半期
広島県,30分?60分,1200000,65,住宅,50.0,100.0,2006年第２四半期
広島県,8,20000000,120,住宅,50.0,100.0,2006年第２四半期
広島県,21,5000000,80,住宅,50.0,100.0,2006年第２四半期
広島県,8,8000000,155,共同住宅,50.0,100.0,2006年第２四半期
広島県,1H?1H30,11000000,50,住宅,80.0,400.0,2006年第２四半期
広島県,30分?60分,7300000,55,住宅,60.0,200.0,2006年第２四半期
広島県,30分?60分,27000000,80,住宅,60.0,200.0,2006年第２四半期
広島県,6,31000000,165,住宅,60.0,200.0,2006年第２四半期
広島県,30分?60分,32000000,105,住宅,60.0,200.0,2006年第２四半期
広島県,10,32000000,160,住宅,60.0,200.0,2006年第２四半期
広島県,18,10000000,90,住宅,60.0,200.0,2006年第２四半期
広島県,8,33000000,145,住宅,60.0,200.0,2006年第２四半期
広島県,1H?1H30,5000000,130,住宅,60.0,200.0,2006年第２四半期
広島県,1H30?2H,5000000,180,住宅,50.0,100.0,2006年第２四半期
広島県,21,19000000,100,住宅,60.0,200.0,2006年第２四半期
広島県,1H30?2H,10000000,115,住宅,50.0,100.0,2006年第２四半期
広島県,30分?60分,16000000,65,住宅,60.0,200.0,2006年第２四半期
広島県,8,61000000,350,共同住宅,60.0,200.0,2006年第２四半期
広島県,3,31000000,150,住宅,60.0,200.0,2006年第２四半期
広島県,1H?1H30,16000000,180,住宅、店舗,80.0,200.0,2006年第２四半期
広島県,1H?1H30,26000000,125,住宅,50.0,100.0,2006年第２四半期
広島県,15,47000000,230,住宅,60.0,200.0,2006年第２四半期
広島県,30分?60分,30000000,145,住宅、倉庫,60.0,300.0,2006年第２四半期
広島県,30分?60分,22000000,75,住宅,60.0,200.0,2006年第２四半期
広島県,30分?60分,19000000,100,住宅,80.0,300.0,2006年第２四半期
広島県,1H?1H30,20000000,210,住宅,50.0,100.0,2006年第２四半期
広島県,6,30000000,165,住宅,60.0,200.0,2006年第２四半期
広島県,30分?60分,36000000,160,住宅,60.0,200.0,2006年第２四半期
広島県,30分?60分,17000000,50,住宅,60.0,200.0,2006年第２四半期
広島県,30分?60分,14000000,320,住宅,50.0,100.0,2006年第２四半期
広島県,30分?60分,12000000,520,住宅,50.0,100.0,2006年第２四半期
広島県,30分?60分,13000000,220,住宅,50.0,100.0,2006年第２四半期
広島県,3,190000000,1300,共同住宅,60.0,200.0,2006年第２四半期
広島県,8,35000000,110,住宅、倉庫,60.0,200.0,2006年第２四半期
広島県,13,33000000,330,住宅,60.0,200.0,2006年第２四半期
広島県,18,86000000,210,共同住宅,60.0,200.0,2006年第２四半期
広島県,18,23000000,240,住宅,50.0,100.0,2006年第２四半期
広島県,5,79000000,210,共同住宅、事務所,80.0,400.0,2006年第２四半期
広島県,11,43000000,120,住宅,60.0,200.0,2006年第２四半期
広島県,5,45000000,170,住宅、店舗,80.0,500.0,2006年第２四半期
広島県,30分?60分,140000000,350,共同住宅,60.0,200.0,2006年第２四半期
広島県,25,20000000,410,住宅,50.0,100.0,2006年第２四半期
広島県,25,2500000,55,共同住宅,60.0,200.0,2006年第２四半期
広島県,1H?1H30,30000000,110,住宅,60.0,200.0,2006年第２四半期
広島県,30分?60分,37000000,130,住宅,50.0,100.0,2006年第２四半期
広島県,10,7300000,50,住宅,80.0,600.0,2006年第２四半期
広島県,30分?60分,18000000,185,住宅,50.0,100.0,2006年第２四半期
広島県,30分?60分,15000000,250,住宅,50.0,100.0,2006年第２四半期
広島県,1H?1H30,25000000,170,住宅,50.0,100.0,2006年第２四半期
広島県,8,39000000,105,住宅,60.0,200.0,2006年第２四半期
広島県,30分?60分,33000000,175,住宅,50.0,100.0,2006年第２四半期
広島県,30分?60分,33000000,175,住宅,50.0,100.0,2006年第２四半期
広島県,30分?60分,35000000,210,住宅,50.0,100.0,2006年第２四半期
広島県,1H?1H30,9500000,210,住宅,50.0,100.0,2006年第２四半期
広島県,1H?1H30,12000000,170,住宅,50.0,100.0,2006年第２四半期
広島県,15,35000000,105,住宅,60.0,200.0,2006年第２四半期
広島県,30分?60分,35000000,185,住宅,50.0,100.0,2006年第２四半期
広島県,30分?60分,35000000,185,住宅,50.0,100.0,2006年第２四半期
広島県,30分?60分,35000000,180,住宅,50.0,100.0,2006年第２四半期
広島県,30分?60分,30000000,170,住宅,50.0,100.0,2006年第２四半期
広島県,30分?60分,32000000,185,住宅,50.0,100.0,2006年第２四半期
広島県,15,35000000,105,住宅,60.0,200.0,2006年第２四半期
広島県,28,16000000,175,住宅,50.0,100.0,2006年第２四半期
広島県,21,32000000,510,住宅,60.0,200.0,2006年第２四半期
広島県,18,34000000,290,共同住宅、倉庫,50.0,100.0,2006年第２四半期
広島県,29,34000000,140,住宅,60.0,200.0,2006年第２四半期
広島県,2H?,13000000,135,住宅,50.0,100.0,2006年第２四半期
広島県,2H?,11000000,200,住宅,50.0,100.0,2006年第２四半期
広島県,4,11000000,50,住宅,80.0,400.0,2006年第２四半期
広島県,30分?60分,9500000,70,住宅,60.0,300.0,2006年第２四半期
広島県,8,30000000,220,住宅,60.0,200.0,2006年第２四半期
広島県,29,31000000,135,住宅,60.0,200.0,2006年第２四半期
広島県,3,12000000,55,住宅,60.0,200.0,2006年第２四半期
広島県,9,19000000,220,住宅,50.0,100.0,2006年第２四半期
広島県,1H?1H30,33000000,90,住宅,60.0,200.0,2006年第２四半期
広島県,30分?60分,20000000,45,共同住宅,60.0,200.0,2006年第２四半期
広島県,9,21000000,250,住宅,50.0,100.0,2006年第２四半期
広島県,30分?60分,59000000,380,住宅,50.0,100.0,2006年第２四半期
広島県,30分?60分,42000000,120,共同住宅、倉庫,80.0,300.0,2006年第２四半期
広島県,1H?1H30,64000000,240,住宅、工場、倉庫,80.0,400.0,2006年第２四半期
広島県,1H?1H30,8500000,65,住宅、店舗,60.0,200.0,2006年第２四半期
広島県,1H?1H30,15000000,110,住宅,60.0,200.0,2006年第２四半期
広島県,17,34000000,135,住宅,60.0,200.0,2006年第２四半期
広島県,10,35000000,520,住宅,50.0,100.0,2006年第２四半期
広島県,20,8900000,85,住宅,50.0,100.0,2006年第２四半期
広島県,1H?1H30,6900000,65,住宅,60.0,200.0,2006年第２四半期
広島県,1H?1H30,30000000,120,住宅,60.0,200.0,2006年第２四半期
広島県,3,36000000,170,共同住宅、店舗,80.0,500.0,2006年第２四半期
広島県,1H?1H30,13000000,185,住宅,50.0,100.0,2006年第２四半期
広島県,1H?1H30,12000000,95,住宅,60.0,200.0,2006年第２四半期
広島県,30分?60分,32000000,195,住宅,50.0,100.0,2006年第２四半期
