都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
山口県,9,34000000,200,住宅,60.0,200.0,2006年第４四半期
山口県,13,67000000,240,住宅、店舗,60.0,200.0,2007年第１四半期
山口県,26,25000000,280,住宅,60.0,200.0,2007年第１四半期
山口県,26,59000000,230,住宅,60.0,200.0,2007年第１四半期
山口県,8,65000000,590,共同住宅,60.0,100.0,2007年第１四半期
山口県,12,7500000,145,住宅,60.0,200.0,2007年第１四半期
山口県,18,40000000,370,住宅、店舗,80.0,400.0,2007年第１四半期
山口県,24,61000000,610,住宅,60.0,200.0,2007年第１四半期
山口県,24,18000000,180,住宅,60.0,200.0,2007年第２四半期
山口県,28,15000000,140,住宅,60.0,200.0,2007年第２四半期
山口県,16,19000000,220,住宅,60.0,200.0,2007年第２四半期
山口県,23,13000000,260,住宅,60.0,200.0,2007年第２四半期
山口県,10,8400000,75,住宅,80.0,400.0,2007年第２四半期
山口県,9,16000000,65,住宅,80.0,600.0,2007年第２四半期
山口県,15,2500000,250,住宅,60.0,200.0,2007年第２四半期
山口県,8,13000000,65,住宅,80.0,400.0,2007年第２四半期
山口県,9,11000000,200,住宅,60.0,200.0,2007年第２四半期
山口県,18,28000000,180,住宅,60.0,200.0,2007年第２四半期
山口県,9,8100000,55,住宅,80.0,400.0,2007年第２四半期
山口県,20,500000,190,住宅,80.0,200.0,2007年第２四半期
山口県,30分?60分,23000000,590,住宅,60.0,200.0,2007年第２四半期
山口県,30分?60分,13000000,430,住宅,70.0,200.0,2007年第２四半期
山口県,30分?60分,35000000,850,住宅,60.0,200.0,2007年第２四半期
山口県,9,18000000,80,住宅,80.0,600.0,2007年第２四半期
山口県,6,15000000,75,住宅,80.0,600.0,2007年第２四半期
山口県,7,51000000,185,住宅,60.0,200.0,2007年第２四半期
山口県,24,4500000,70,住宅,60.0,200.0,2007年第２四半期
