都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
徳島県,11,63000000,540,住宅,60.0,200.0,2006年第３四半期
徳島県,30分?60分,3500000,210,住宅,60.0,200.0,2007年第１四半期
徳島県,30分?60分,4000000,280,住宅,60.0,100.0,2007年第２四半期
徳島県,30分?60分,14000000,65,住宅,60.0,200.0,2007年第２四半期
徳島県,30分?60分,8500000,220,住宅,70.0,200.0,2007年第２四半期
徳島県,30分?60分,17000000,220,住宅,70.0,200.0,2007年第２四半期
徳島県,22,17000000,115,住宅、店舗,60.0,200.0,2007年第２四半期
徳島県,16,7500000,120,住宅,60.0,200.0,2007年第２四半期
徳島県,30分?60分,17000000,115,住宅,60.0,200.0,2007年第２四半期
徳島県,28,100000000,280,共同住宅,60.0,200.0,2007年第２四半期
徳島県,14,11000000,65,住宅,60.0,200.0,2007年第２四半期
徳島県,30分?60分,30000000,190,住宅,70.0,200.0,2007年第２四半期
徳島県,30分?60分,15000000,190,住宅,60.0,100.0,2007年第２四半期
徳島県,15,7400000,65,住宅,60.0,200.0,2007年第２四半期
徳島県,30分?60分,22000000,195,住宅,60.0,200.0,2007年第２四半期
徳島県,30分?60分,20000000,165,住宅,60.0,200.0,2007年第２四半期
徳島県,5,10000000,130,住宅,60.0,200.0,2007年第２四半期
徳島県,30分?60分,22000000,200,住宅,60.0,200.0,2007年第２四半期
徳島県,19,15000000,130,住宅,60.0,100.0,2007年第２四半期
徳島県,9,3500000,160,住宅,60.0,200.0,2007年第２四半期
徳島県,2H?,23000000,450,住宅,70.0,200.0,2007年第２四半期
徳島県,30分?60分,24000000,170,住宅,70.0,200.0,2007年第２四半期
徳島県,16,7700000,50,住宅,60.0,200.0,2007年第２四半期
徳島県,18,17000000,100,住宅,60.0,200.0,2007年第２四半期
徳島県,11,30000000,260,住宅,60.0,200.0,2007年第２四半期
徳島県,10,13000000,60,住宅,60.0,200.0,2007年第２四半期
徳島県,30分?60分,13000000,145,住宅,60.0,200.0,2007年第２四半期
徳島県,12,29000000,270,住宅,80.0,400.0,2007年第２四半期
徳島県,30分?60分,43000000,330,住宅,70.0,200.0,2007年第２四半期
徳島県,30分?60分,4000000,85,住宅,60.0,200.0,2007年第２四半期
徳島県,9,7600000,75,住宅,60.0,200.0,2007年第２四半期
徳島県,12,7200000,105,住宅,60.0,200.0,2007年第２四半期
徳島県,4,1200000,90,住宅,80.0,400.0,2007年第２四半期
徳島県,2,31000000,590,共同住宅,80.0,400.0,2007年第２四半期
徳島県,18,4000000,140,住宅,70.0,200.0,2007年第２四半期
徳島県,23,3400000,195,住宅,70.0,200.0,2007年第２四半期
徳島県,28,8000000,550,住宅,70.0,200.0,2007年第２四半期
徳島県,30分?60分,11000000,810,住宅,70.0,200.0,2007年第２四半期
徳島県,21,18000000,290,住宅,70.0,200.0,2007年第２四半期
徳島県,30分?60分,16000000,160,住宅,60.0,200.0,2007年第２四半期
徳島県,6,24000000,340,住宅,80.0,400.0,2007年第２四半期
徳島県,15,3800000,125,住宅,70.0,200.0,2007年第２四半期
徳島県,8,17000000,460,住宅,80.0,400.0,2007年第２四半期
徳島県,26,10000000,400,住宅、店舗,70.0,200.0,2007年第２四半期
徳島県,6,4200000,80,住宅、店舗,80.0,400.0,2007年第２四半期
徳島県,13,4300000,60,住宅、店舗,60.0,200.0,2007年第２四半期
徳島県,11,800000,60,住宅,60.0,200.0,2007年第２四半期
徳島県,20,11000000,100,住宅,60.0,200.0,2007年第２四半期
徳島県,19,19000000,230,住宅,60.0,200.0,2007年第２四半期
徳島県,10,35000000,530,住宅,60.0,200.0,2007年第２四半期
徳島県,9,11000000,165,住宅,50.0,80.0,2007年第２四半期
徳島県,18,5300000,130,住宅,60.0,200.0,2007年第２四半期
徳島県,13,12000000,165,住宅,60.0,200.0,2007年第２四半期
徳島県,7,15000000,80,住宅、倉庫,60.0,200.0,2007年第２四半期
徳島県,24,22000000,210,住宅,70.0,200.0,2007年第２四半期
徳島県,15,18000000,350,住宅,70.0,200.0,2007年第２四半期
徳島県,30分?60分,11000000,100,住宅,60.0,200.0,2007年第２四半期
徳島県,30分?60分,12000000,185,住宅,70.0,200.0,2007年第２四半期
徳島県,30分?60分,20000000,200,住宅,70.0,200.0,2007年第２四半期
徳島県,6,20000000,170,住宅,80.0,200.0,2007年第２四半期
徳島県,30分?60分,5500000,330,住宅,60.0,200.0,2007年第２四半期
徳島県,30分?60分,11000000,150,住宅,60.0,200.0,2007年第２四半期
徳島県,30分?60分,150000000,630,共同住宅,60.0,200.0,2007年第２四半期
徳島県,30分?60分,10000000,240,住宅,70.0,200.0,2007年第２四半期
徳島県,13,6400000,85,住宅,60.0,200.0,2007年第２四半期
徳島県,16,17000000,370,住宅,70.0,200.0,2007年第２四半期
徳島県,23,14000000,145,住宅,60.0,200.0,2007年第２四半期
徳島県,1H?1H30,7500000,70,住宅,70.0,200.0,2007年第２四半期
徳島県,1H?1H30,12000000,75,住宅,70.0,200.0,2007年第２四半期
徳島県,1H?1H30,38000000,175,住宅,70.0,200.0,2007年第２四半期
徳島県,1H30?2H,9700000,170,住宅、倉庫,70.0,200.0,2007年第２四半期
徳島県,1H?1H30,13000000,105,住宅,70.0,200.0,2007年第２四半期
徳島県,28,27000000,135,共同住宅,60.0,200.0,2007年第２四半期
徳島県,1H?1H30,23000000,250,住宅,60.0,200.0,2007年第２四半期
徳島県,30分?60分,8800000,130,住宅,60.0,200.0,2007年第２四半期
徳島県,1,15000000,145,共同住宅、事務所,80.0,400.0,2007年第２四半期
徳島県,2,21000000,250,住宅,80.0,400.0,2007年第２四半期
徳島県,28,17000000,165,住宅,60.0,100.0,2007年第２四半期
