都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
愛媛県,15,43000000,200,住宅,60.0,200.0,2006年第３四半期
愛媛県,7,3500000,85,住宅,60.0,200.0,2007年第１四半期
愛媛県,2,85000000,185,共同住宅,80.0,200.0,2007年第１四半期
愛媛県,7,30000000,165,住宅,50.0,80.0,2007年第１四半期
愛媛県,10,120000000,370,住宅、倉庫,80.0,200.0,2007年第１四半期
愛媛県,30分?60分,44000000,170,住宅,50.0,80.0,2007年第１四半期
愛媛県,1H?1H30,30000000,190,住宅,70.0,200.0,2007年第１四半期
愛媛県,30分?60分,23000000,440,住宅、店舗,60.0,200.0,2007年第２四半期
愛媛県,19,15000000,175,住宅,60.0,200.0,2007年第２四半期
愛媛県,30分?60分,4000000,130,住宅,70.0,200.0,2007年第２四半期
愛媛県,1H?1H30,4500000,155,住宅,50.0,80.0,2007年第２四半期
愛媛県,25,8000000,135,住宅,60.0,200.0,2007年第２四半期
愛媛県,1H?1H30,17000000,240,住宅,60.0,200.0,2007年第２四半期
愛媛県,2,22000000,150,住宅,60.0,200.0,2007年第２四半期
愛媛県,11,18000000,110,住宅,80.0,200.0,2007年第２四半期
愛媛県,30分?60分,9300000,155,住宅,60.0,200.0,2007年第２四半期
愛媛県,30分?60分,3000000,55,住宅,60.0,200.0,2007年第２四半期
愛媛県,7,25000000,105,住宅,60.0,200.0,2007年第２四半期
愛媛県,29,11000000,300,住宅,50.0,80.0,2007年第２四半期
愛媛県,30分?60分,10000000,130,住宅,60.0,200.0,2007年第２四半期
愛媛県,9,28000000,145,住宅,60.0,200.0,2007年第２四半期
愛媛県,23,32000000,130,住宅,50.0,80.0,2007年第２四半期
愛媛県,9,14000000,105,住宅,80.0,500.0,2007年第２四半期
愛媛県,30分?60分,6600000,135,住宅,70.0,200.0,2007年第２四半期
愛媛県,1H?1H30,23000000,195,住宅,70.0,200.0,2007年第２四半期
愛媛県,30分?60分,11000000,120,住宅,50.0,80.0,2007年第２四半期
愛媛県,11,25000000,165,住宅、店舗,60.0,200.0,2007年第２四半期
愛媛県,19,5800000,100,住宅,60.0,200.0,2007年第２四半期
愛媛県,30分?60分,12000000,210,住宅,70.0,200.0,2007年第２四半期
愛媛県,4,20000000,90,住宅,80.0,200.0,2007年第２四半期
愛媛県,13,12000000,60,住宅,60.0,200.0,2007年第２四半期
愛媛県,28,7000000,125,住宅,60.0,200.0,2007年第２四半期
愛媛県,30分?60分,14000000,310,住宅,50.0,80.0,2007年第２四半期
愛媛県,30分?60分,16000000,270,住宅,50.0,80.0,2007年第２四半期
愛媛県,15,5500000,570,住宅,70.0,200.0,2007年第２四半期
愛媛県,2,7200000,220,住宅、事務所,80.0,400.0,2007年第２四半期
愛媛県,30分?60分,13000000,230,住宅,60.0,200.0,2007年第２四半期
愛媛県,16,3300000,25,住宅,80.0,400.0,2007年第２四半期
愛媛県,16,16000000,145,住宅,60.0,200.0,2007年第２四半期
愛媛県,9,21000000,85,住宅,60.0,200.0,2007年第２四半期
愛媛県,30分?60分,33000000,340,住宅,60.0,200.0,2007年第２四半期
愛媛県,13,25000000,390,共同住宅,60.0,200.0,2007年第２四半期
愛媛県,9,42000000,185,住宅,60.0,200.0,2007年第２四半期
愛媛県,17,4300000,115,住宅,60.0,200.0,2007年第２四半期
愛媛県,13,25000000,220,住宅,60.0,200.0,2007年第２四半期
愛媛県,16,10000000,155,住宅,60.0,200.0,2007年第２四半期
愛媛県,15,17000000,75,住宅,60.0,200.0,2007年第２四半期
愛媛県,10,14000000,85,住宅,60.0,200.0,2007年第２四半期
愛媛県,30分?60分,35000000,180,住宅,50.0,80.0,2007年第２四半期
愛媛県,27,6500000,220,住宅,60.0,200.0,2007年第２四半期
愛媛県,21,33000000,270,住宅、倉庫、店舗,60.0,200.0,2007年第２四半期
愛媛県,4,2400000,70,住宅,60.0,200.0,2007年第２四半期
愛媛県,30分?60分,20000000,620,住宅,60.0,200.0,2007年第２四半期
愛媛県,30分?60分,14000000,155,住宅,50.0,80.0,2007年第２四半期
愛媛県,30分?60分,27000000,290,住宅,50.0,80.0,2007年第２四半期
愛媛県,30分?60分,21000000,165,住宅,50.0,80.0,2007年第２四半期
