都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
高知県,1H?1H30,9000000,135,住宅,60.0,200.0,2007年第１四半期
高知県,30分?60分,16000000,105,住宅,60.0,100.0,2007年第２四半期
高知県,20,24000000,120,住宅,80.0,400.0,2007年第２四半期
高知県,1H30?2H,31000000,210,住宅,60.0,100.0,2007年第２四半期
高知県,30分?60分,21000000,175,住宅,60.0,200.0,2007年第２四半期
高知県,28,26000000,125,住宅,60.0,200.0,2007年第２四半期
高知県,30分?60分,20000000,80,住宅,60.0,200.0,2007年第２四半期
高知県,8,1000000,125,住宅,70.0,200.0,2007年第２四半期
高知県,30分?60分,19000000,80,住宅,60.0,200.0,2007年第２四半期
高知県,16,37000000,230,住宅,60.0,200.0,2007年第２四半期
高知県,16,29000000,230,住宅,60.0,200.0,2007年第２四半期
高知県,30分?60分,37000000,190,住宅,60.0,200.0,2007年第２四半期
高知県,9,23000000,75,共同住宅、店舗,80.0,500.0,2007年第２四半期
高知県,21,29000000,100,住宅,60.0,200.0,2007年第２四半期
高知県,15,31000000,430,住宅,60.0,200.0,2007年第２四半期
高知県,30分?60分,9000000,170,住宅,60.0,200.0,2007年第２四半期
高知県,7,23000000,130,住宅,60.0,200.0,2007年第２四半期
高知県,10,17000000,55,住宅、店舗,60.0,200.0,2007年第２四半期
高知県,1H30?2H,13000000,130,住宅,60.0,200.0,2007年第２四半期
高知県,30分?60分,27000000,195,住宅,60.0,200.0,2007年第２四半期
高知県,1H?1H30,26000000,165,住宅,60.0,100.0,2007年第２四半期
高知県,30分?60分,15000000,230,住宅,50.0,100.0,2007年第２四半期
高知県,1H?1H30,30000000,175,住宅,60.0,100.0,2007年第２四半期
高知県,30分?60分,16000000,220,住宅,50.0,100.0,2007年第２四半期
高知県,30分?60分,12000000,320,住宅,60.0,200.0,2007年第２四半期
高知県,1H30?2H,7900000,135,住宅,60.0,100.0,2007年第２四半期
高知県,10,20000000,120,住宅,40.0,60.0,2007年第２四半期
