都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
佐賀県,23,22000000,980,住宅、店舗,60.0,200.0,2007年第１四半期
佐賀県,1,33000000,250,住宅,60.0,200.0,2007年第１四半期
佐賀県,8,12000000,480,住宅,60.0,200.0,2007年第２四半期
佐賀県,24,7000000,470,住宅,60.0,200.0,2007年第２四半期
佐賀県,30分?60分,19000000,260,住宅,60.0,200.0,2007年第２四半期
佐賀県,13,20000000,170,住宅,60.0,200.0,2007年第２四半期
佐賀県,21,8700000,320,住宅,60.0,200.0,2007年第２四半期
佐賀県,8,8300000,270,住宅,60.0,200.0,2007年第２四半期
佐賀県,25,25000000,200,住宅,60.0,200.0,2007年第２四半期
佐賀県,2,33000000,240,住宅,60.0,200.0,2007年第２四半期
佐賀県,3,33000000,230,住宅,60.0,200.0,2007年第２四半期
佐賀県,15,3200000,200,住宅,60.0,200.0,2007年第２四半期
佐賀県,23,6000000,55,住宅、店舗,80.0,400.0,2007年第２四半期
佐賀県,9,15000000,210,住宅,50.0,80.0,2007年第２四半期
佐賀県,9,11000000,260,住宅,60.0,200.0,2007年第２四半期
佐賀県,30分?60分,13000000,350,住宅,50.0,80.0,2007年第２四半期
佐賀県,23,33000000,500,住宅,60.0,200.0,2007年第２四半期
佐賀県,1H30?2H,9400000,480,住宅、事務所,60.0,100.0,2007年第２四半期
佐賀県,30分?60分,58000000,330,共同住宅,60.0,200.0,2007年第２四半期
佐賀県,30分?60分,32000000,220,住宅,50.0,80.0,2007年第２四半期
佐賀県,7,30000000,220,住宅,60.0,200.0,2007年第２四半期
佐賀県,21,19000000,190,住宅,80.0,400.0,2007年第２四半期
佐賀県,19,19000000,85,住宅,80.0,400.0,2007年第２四半期
佐賀県,14,11000000,280,住宅,70.0,200.0,2007年第２四半期
佐賀県,2H?,3500000,115,住宅、倉庫,80.0,400.0,2007年第２四半期
佐賀県,23,21000000,260,住宅,60.0,200.0,2007年第２四半期
佐賀県,9,7600000,280,住宅,60.0,200.0,2007年第２四半期
佐賀県,6,30000000,710,住宅、店舗,70.0,200.0,2007年第２四半期
佐賀県,4,6500000,165,住宅,60.0,200.0,2007年第２四半期
佐賀県,1H?1H30,15000000,250,住宅,60.0,200.0,2007年第２四半期
佐賀県,3,22000000,260,住宅,60.0,200.0,2007年第２四半期
佐賀県,1H30?2H,18000000,1200,住宅,60.0,100.0,2007年第２四半期
佐賀県,30分?60分,14000000,80,住宅,60.0,200.0,2007年第２四半期
佐賀県,1H30?2H,11000000,250,住宅,50.0,80.0,2007年第２四半期
佐賀県,2H?,10000000,210,住宅,60.0,200.0,2007年第２四半期
佐賀県,30分?60分,12000000,140,住宅,60.0,200.0,2007年第２四半期
佐賀県,1H30?2H,8300000,310,住宅,60.0,200.0,2007年第２四半期
佐賀県,30分?60分,6500000,80,住宅,80.0,200.0,2007年第２四半期
佐賀県,30分?60分,6500000,115,住宅,60.0,200.0,2007年第２四半期
佐賀県,30分?60分,9600000,160,住宅、店舗,80.0,200.0,2007年第２四半期
佐賀県,13,9600000,200,住宅,60.0,200.0,2007年第２四半期
佐賀県,9,20000000,150,住宅,60.0,200.0,2007年第２四半期
佐賀県,1H?1H30,14000000,230,住宅,60.0,200.0,2007年第２四半期
佐賀県,30分?60分,16000000,80,住宅,60.0,200.0,2007年第２四半期
佐賀県,30分?60分,25000000,180,住宅,50.0,80.0,2007年第２四半期
佐賀県,16,15000000,90,住宅,80.0,400.0,2007年第２四半期
佐賀県,7,7300000,165,住宅,60.0,200.0,2007年第２四半期
佐賀県,2H?,2000000,195,住宅,60.0,200.0,2007年第２四半期
佐賀県,9,31000000,350,住宅,60.0,200.0,2007年第２四半期
佐賀県,15,4100000,250,住宅,60.0,200.0,2007年第２四半期
佐賀県,6,12000000,550,住宅,60.0,200.0,2007年第２四半期
佐賀県,30分?60分,11000000,250,住宅,50.0,80.0,2007年第２四半期
佐賀県,1H?1H30,7000000,260,住宅,60.0,100.0,2007年第２四半期
佐賀県,8,5800000,190,住宅、店舗,60.0,200.0,2007年第２四半期
佐賀県,6,15000000,120,住宅、倉庫,80.0,400.0,2007年第２四半期
佐賀県,19,7500000,240,住宅,60.0,200.0,2007年第２四半期
佐賀県,24,4500000,150,住宅,60.0,100.0,2007年第２四半期
佐賀県,16,13000000,650,共同住宅,60.0,200.0,2007年第２四半期
佐賀県,30分?60分,23000000,250,住宅,50.0,80.0,2007年第２四半期
佐賀県,30分?60分,13000000,185,住宅,60.0,200.0,2007年第２四半期
佐賀県,18,45000000,290,住宅,50.0,80.0,2007年第２四半期
佐賀県,20,10000000,250,住宅、店舗,60.0,200.0,2007年第２四半期
佐賀県,19,2900000,380,住宅,60.0,200.0,2007年第２四半期
佐賀県,29,15000000,210,住宅,60.0,200.0,2007年第２四半期
佐賀県,16,20000000,610,住宅,60.0,200.0,2007年第２四半期
佐賀県,6,2700000,170,住宅,60.0,200.0,2007年第２四半期
佐賀県,17,7000000,65,住宅,80.0,400.0,2007年第２四半期
佐賀県,10,5700000,115,住宅、店舗,60.0,200.0,2007年第２四半期
佐賀県,30分?60分,16000000,960,住宅,60.0,100.0,2007年第２四半期
佐賀県,11,3700000,210,住宅,60.0,200.0,2007年第２四半期
佐賀県,30分?60分,16000000,340,住宅,60.0,200.0,2007年第２四半期
佐賀県,5,43000000,370,住宅、事務所,80.0,400.0,2007年第２四半期
佐賀県,13,5000000,400,住宅,60.0,200.0,2007年第２四半期
佐賀県,6,4800000,180,住宅,60.0,200.0,2007年第３四半期
佐賀県,9,17000000,390,住宅,60.0,200.0,2007年第３四半期
佐賀県,1H30?2H,2200000,100,住宅,70.0,200.0,2007年第３四半期
佐賀県,4,19000000,165,住宅,60.0,200.0,2007年第３四半期
佐賀県,30分?60分,6500000,300,住宅,60.0,200.0,2007年第３四半期
佐賀県,4,6200000,105,住宅,80.0,400.0,2007年第３四半期
佐賀県,14,4500000,220,住宅,50.0,80.0,2007年第３四半期
佐賀県,18,6000000,260,住宅,60.0,200.0,2007年第３四半期
佐賀県,21,29000000,690,住宅,60.0,200.0,2007年第３四半期
佐賀県,12,14000000,720,住宅,60.0,200.0,2007年第３四半期
佐賀県,22,13000000,340,住宅,50.0,80.0,2007年第３四半期
佐賀県,1H30?2H,1100000,70,住宅,70.0,200.0,2007年第３四半期
佐賀県,8,28000000,220,住宅,60.0,200.0,2007年第３四半期
佐賀県,16,5600000,140,住宅,60.0,200.0,2007年第３四半期
佐賀県,30分?60分,22000000,185,住宅,50.0,80.0,2007年第３四半期
佐賀県,29,20000000,210,住宅,60.0,200.0,2007年第３四半期
佐賀県,29,25000000,440,住宅,60.0,200.0,2007年第３四半期
佐賀県,30分?60分,1900000,130,住宅,60.0,200.0,2007年第３四半期
佐賀県,7,19000000,290,住宅,60.0,200.0,2007年第３四半期
佐賀県,23,3800000,390,住宅,60.0,200.0,2007年第３四半期
佐賀県,13,27000000,200,住宅,50.0,80.0,2007年第３四半期
佐賀県,5,35000000,250,住宅,60.0,200.0,2007年第３四半期
佐賀県,28,1000000,65,住宅,60.0,200.0,2007年第３四半期
佐賀県,30分?60分,15000000,620,住宅,60.0,200.0,2007年第３四半期
佐賀県,8,7000000,210,住宅,60.0,200.0,2007年第３四半期
佐賀県,12,10000000,240,住宅,60.0,200.0,2007年第３四半期
佐賀県,15,11000000,240,住宅,60.0,200.0,2007年第３四半期
佐賀県,23,9300000,360,住宅,60.0,200.0,2007年第３四半期
佐賀県,5,32000000,230,住宅,60.0,200.0,2007年第３四半期
佐賀県,24,10000000,340,住宅,60.0,200.0,2007年第３四半期
佐賀県,2H?,4800000,230,住宅,60.0,200.0,2007年第３四半期
佐賀県,16,17000000,70,住宅,60.0,200.0,2007年第３四半期
佐賀県,30分?60分,82000000,450,共同住宅,60.0,200.0,2007年第３四半期
佐賀県,30分?60分,19000000,280,住宅,60.0,200.0,2007年第３四半期
