都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
長崎県,1H?1H30,22000000,200,住宅,60.0,200.0,2007年第１四半期
長崎県,4,12000000,240,住宅、店舗,80.0,400.0,2007年第１四半期
長崎県,2H?,6400000,270,住宅,70.0,200.0,2007年第２四半期
長崎県,2H?,900000,180,住宅,70.0,200.0,2007年第２四半期
長崎県,15,12000000,180,住宅、作業場,60.0,200.0,2007年第２四半期
長崎県,14,5400000,195,共同住宅,60.0,200.0,2007年第２四半期
長崎県,16,6300000,75,住宅,60.0,200.0,2007年第２四半期
長崎県,1H?1H30,9000000,70,住宅,60.0,200.0,2007年第２四半期
長崎県,12,41000000,370,住宅,60.0,200.0,2007年第２四半期
長崎県,30分?60分,28000000,180,住宅,50.0,80.0,2007年第２四半期
長崎県,30分?60分,28000000,210,住宅,50.0,80.0,2007年第２四半期
長崎県,30分?60分,33000000,190,住宅,50.0,80.0,2007年第２四半期
長崎県,30分?60分,7000000,165,住宅,50.0,100.0,2007年第２四半期
長崎県,6,24000000,85,住宅,60.0,200.0,2007年第２四半期
長崎県,14,50000000,195,住宅、事務所,80.0,500.0,2007年第２四半期
長崎県,14,120000000,250,住宅、事務所,80.0,600.0,2007年第２四半期
長崎県,30分?60分,5500000,85,共同住宅,60.0,200.0,2007年第２四半期
長崎県,30分?60分,5000000,70,住宅,60.0,200.0,2007年第２四半期
長崎県,28,3000000,95,共同住宅,60.0,200.0,2007年第２四半期
長崎県,30分?60分,6800000,240,住宅,60.0,200.0,2007年第２四半期
長崎県,11,8000000,300,住宅,60.0,200.0,2007年第２四半期
長崎県,4,10000000,280,住宅、店舗,80.0,200.0,2007年第２四半期
長崎県,6,16000000,330,住宅,60.0,200.0,2007年第２四半期
長崎県,4,17000000,50,住宅,80.0,400.0,2007年第２四半期
長崎県,23,36000000,320,住宅,70.0,200.0,2007年第２四半期
長崎県,1H30?2H,19000000,380,住宅,60.0,200.0,2007年第２四半期
長崎県,9,65000000,620,住宅,60.0,200.0,2007年第２四半期
長崎県,1H?1H30,7700000,60,住宅,60.0,200.0,2007年第２四半期
長崎県,20,26000000,240,住宅,60.0,200.0,2007年第２四半期
長崎県,7,30000000,270,住宅,60.0,200.0,2007年第２四半期
長崎県,30分?60分,10000000,175,住宅,60.0,100.0,2007年第２四半期
長崎県,20,23000000,240,共同住宅,60.0,200.0,2007年第２四半期
長崎県,1H?1H30,4200000,260,住宅,60.0,200.0,2007年第２四半期
長崎県,4,37000000,670,住宅,60.0,200.0,2007年第２四半期
長崎県,4,14000000,80,住宅,60.0,200.0,2007年第２四半期
長崎県,30分?60分,12000000,65,住宅,60.0,200.0,2007年第２四半期
長崎県,13,43000000,185,住宅、事務所,80.0,400.0,2007年第２四半期
長崎県,30分?60分,24000000,1100,住宅、事務所、店舗,70.0,200.0,2007年第２四半期
長崎県,20,6500000,330,住宅、倉庫,60.0,200.0,2007年第２四半期
長崎県,30分?60分,5000000,240,住宅,60.0,100.0,2007年第２四半期
長崎県,10,21000000,150,住宅,60.0,200.0,2007年第２四半期
長崎県,30分?60分,3900000,45,住宅,60.0,200.0,2007年第２四半期
長崎県,1H?1H30,13000000,65,住宅,60.0,200.0,2007年第２四半期
長崎県,19,16000000,300,住宅,60.0,200.0,2007年第２四半期
長崎県,19,63000000,130,共同住宅,60.0,200.0,2007年第２四半期
長崎県,2H?,12000000,170,住宅,70.0,200.0,2007年第２四半期
長崎県,1H?1H30,26000000,190,住宅、事務所,60.0,100.0,2007年第２四半期
長崎県,1H?1H30,5000000,180,住宅,60.0,200.0,2007年第２四半期
長崎県,30分?60分,21000000,320,住宅,50.0,100.0,2007年第２四半期
長崎県,17,12000000,170,住宅,50.0,80.0,2007年第２四半期
長崎県,30分?60分,10000000,145,住宅,60.0,100.0,2007年第２四半期
長崎県,10,7900000,240,住宅,60.0,200.0,2007年第２四半期
長崎県,11,30000000,200,住宅,60.0,100.0,2007年第２四半期
長崎県,1H?1H30,9000000,220,住宅,50.0,80.0,2007年第２四半期
長崎県,15,9000000,175,住宅,50.0,60.0,2007年第２四半期
長崎県,6,18000000,310,共同住宅,80.0,400.0,2007年第２四半期
長崎県,1H?1H30,28000000,200,住宅,50.0,80.0,2007年第２四半期
長崎県,30分?60分,13000000,240,住宅,50.0,100.0,2007年第２四半期
長崎県,30分?60分,25000000,280,住宅,50.0,100.0,2007年第２四半期
長崎県,1H30?2H,25000000,240,住宅,50.0,100.0,2007年第２四半期
長崎県,1H?1H30,12000000,280,住宅,60.0,200.0,2007年第２四半期
長崎県,2H?,6500000,240,住宅,70.0,200.0,2007年第２四半期
長崎県,30分?60分,25000000,610,住宅,60.0,200.0,2007年第２四半期
長崎県,29,16000000,420,住宅,60.0,200.0,2007年第２四半期
長崎県,23,17000000,70,住宅,80.0,400.0,2007年第２四半期
長崎県,8,3700000,350,住宅,70.0,200.0,2007年第２四半期
長崎県,30分?60分,18000000,200,住宅,50.0,100.0,2007年第２四半期
長崎県,30分?60分,13000000,210,住宅,50.0,100.0,2007年第２四半期
長崎県,23,17000000,70,住宅,80.0,400.0,2007年第２四半期
長崎県,18,5800000,185,住宅,60.0,200.0,2007年第２四半期
長崎県,30分?60分,8800000,330,住宅,70.0,200.0,2007年第２四半期
長崎県,20,22000000,195,住宅,50.0,80.0,2007年第２四半期
長崎県,14,9500000,70,住宅,60.0,200.0,2007年第２四半期
長崎県,26,5400000,220,住宅,70.0,200.0,2007年第２四半期
長崎県,25,7200000,185,住宅,50.0,80.0,2007年第２四半期
長崎県,2H?,26000000,230,住宅,50.0,80.0,2007年第２四半期
長崎県,28,4000000,185,住宅,60.0,100.0,2007年第２四半期
長崎県,23,17000000,70,住宅,80.0,400.0,2007年第２四半期
長崎県,19,4100000,570,住宅,70.0,200.0,2007年第２四半期
長崎県,19,5000000,165,住宅、店舗,60.0,200.0,2007年第２四半期
長崎県,30分?60分,8400000,100,住宅,60.0,200.0,2007年第２四半期
長崎県,30分?60分,8000000,180,住宅,60.0,200.0,2007年第２四半期
長崎県,9,34000000,195,住宅,70.0,200.0,2007年第３四半期
長崎県,25,22000000,85,住宅,60.0,200.0,2007年第３四半期
長崎県,30分?60分,33000000,145,住宅,50.0,100.0,2007年第３四半期
長崎県,13,8600000,160,住宅,60.0,200.0,2007年第３四半期
長崎県,29,3500000,85,住宅,50.0,100.0,2007年第３四半期
長崎県,23,31000000,175,住宅,60.0,200.0,2007年第３四半期
長崎県,16,25000000,200,住宅,60.0,200.0,2007年第３四半期
長崎県,21,11000000,65,住宅,60.0,200.0,2007年第３四半期
長崎県,25,3400000,85,共同住宅,60.0,200.0,2007年第３四半期
長崎県,1H?1H30,8000000,65,住宅,60.0,100.0,2007年第３四半期
長崎県,23,14000000,95,共同住宅、店舗,60.0,200.0,2007年第３四半期
長崎県,18,8500000,55,住宅,80.0,400.0,2007年第３四半期
長崎県,30分?60分,16000000,200,住宅,70.0,200.0,2007年第３四半期
長崎県,1H?1H30,9000000,290,住宅,50.0,100.0,2007年第３四半期
長崎県,30分?60分,11000000,195,住宅,60.0,100.0,2007年第３四半期
長崎県,1H?1H30,3200000,145,住宅、店舗,70.0,200.0,2007年第３四半期
長崎県,5,12000000,260,住宅,60.0,200.0,2007年第３四半期
長崎県,1,5000000,160,住宅,70.0,200.0,2007年第３四半期
長崎県,1H?1H30,39000000,310,住宅,50.0,100.0,2007年第３四半期
長崎県,6,54000000,165,住宅、事務所,80.0,500.0,2007年第３四半期
長崎県,6,22000000,300,住宅,60.0,200.0,2007年第３四半期
長崎県,24,13000000,350,住宅,70.0,200.0,2007年第３四半期
長崎県,2H?,14000000,210,住宅,60.0,100.0,2007年第３四半期
長崎県,1H?1H30,13000000,90,住宅,60.0,200.0,2007年第３四半期
長崎県,16,37000000,130,住宅,60.0,200.0,2007年第３四半期
長崎県,26,14000000,200,住宅,60.0,200.0,2007年第３四半期
長崎県,1H?1H30,5500000,85,住宅,60.0,200.0,2007年第３四半期
長崎県,20,32000000,80,住宅,60.0,300.0,2007年第３四半期
長崎県,14,23000000,80,住宅,60.0,200.0,2007年第３四半期
長崎県,1H?1H30,18000000,95,住宅,60.0,200.0,2007年第３四半期
長崎県,1H?1H30,12000000,190,住宅,50.0,80.0,2007年第３四半期
長崎県,23,17000000,70,住宅,80.0,400.0,2007年第３四半期
長崎県,29,70000000,145,共同住宅,80.0,400.0,2007年第３四半期
長崎県,30分?60分,17000000,70,住宅,60.0,80.0,2007年第３四半期
長崎県,28,12000000,50,住宅,60.0,200.0,2007年第３四半期
長崎県,1H?1H30,34000000,210,住宅,60.0,200.0,2007年第３四半期
長崎県,30分?60分,18000000,210,住宅,60.0,200.0,2007年第３四半期
長崎県,29,5200000,105,住宅,60.0,200.0,2007年第３四半期
長崎県,4,12000000,330,住宅,60.0,200.0,2007年第３四半期
長崎県,18,8300000,165,住宅,60.0,200.0,2007年第３四半期
長崎県,27,33000000,195,住宅,60.0,200.0,2007年第３四半期
長崎県,8,14000000,160,共同住宅,60.0,200.0,2007年第３四半期
長崎県,30分?60分,12000000,185,住宅,50.0,100.0,2007年第３四半期
長崎県,27,33000000,195,住宅,60.0,200.0,2007年第３四半期
長崎県,2H?,13000000,220,住宅,70.0,200.0,2007年第３四半期
長崎県,27,36000000,200,住宅,60.0,200.0,2007年第３四半期
長崎県,18,7900000,80,住宅,60.0,200.0,2007年第３四半期
長崎県,30分?60分,9800000,75,住宅,60.0,200.0,2007年第３四半期
長崎県,30分?60分,11000000,80,住宅,60.0,200.0,2007年第３四半期
長崎県,7,6000000,220,住宅,60.0,100.0,2007年第３四半期
長崎県,23,28000000,240,住宅,60.0,200.0,2007年第３四半期
長崎県,15,8000000,200,共同住宅,60.0,200.0,2007年第３四半期
長崎県,1H?1H30,19000000,70,住宅,60.0,200.0,2007年第３四半期
長崎県,10,19000000,75,住宅,60.0,200.0,2007年第３四半期
長崎県,19,32000000,220,住宅,60.0,100.0,2007年第３四半期
長崎県,30分?60分,8500000,110,住宅,60.0,200.0,2007年第３四半期
