都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
熊本県,4,39000000,180,住宅,60.0,200.0,2007年第１四半期
熊本県,30分?60分,41000000,210,住宅,40.0,80.0,2007年第１四半期
熊本県,10,39000000,160,住宅,60.0,200.0,2007年第１四半期
熊本県,2H?,9000000,590,住宅,70.0,200.0,2007年第１四半期
熊本県,30分?60分,35000000,210,住宅,70.0,200.0,2007年第１四半期
熊本県,1H30?2H,10000000,510,住宅,70.0,200.0,2007年第１四半期
熊本県,9,2500000,145,住宅,70.0,200.0,2007年第２四半期
熊本県,23,37000000,360,共同住宅,60.0,200.0,2007年第２四半期
熊本県,2H?,3500000,490,住宅,70.0,200.0,2007年第２四半期
熊本県,2H?,4600000,500,住宅,70.0,200.0,2007年第２四半期
熊本県,30分?60分,15000000,200,住宅,60.0,150.0,2007年第２四半期
熊本県,30分?60分,7500000,55,住宅,60.0,150.0,2007年第２四半期
熊本県,30分?60分,9000000,65,住宅,60.0,150.0,2007年第２四半期
熊本県,30分?60分,33000000,280,住宅,60.0,150.0,2007年第２四半期
熊本県,4,12000000,70,住宅,60.0,200.0,2007年第２四半期
熊本県,2H?,17000000,560,住宅,60.0,200.0,2007年第２四半期
熊本県,1H?1H30,32000000,95,住宅,80.0,300.0,2007年第２四半期
熊本県,6,3400000,20,住宅,80.0,300.0,2007年第２四半期
熊本県,2,15000000,90,住宅,80.0,300.0,2007年第２四半期
熊本県,9,2200000,20,住宅,60.0,200.0,2007年第２四半期
熊本県,2,16000000,90,住宅,80.0,400.0,2007年第２四半期
熊本県,2,5400000,55,住宅,80.0,400.0,2007年第２四半期
熊本県,24,31000000,160,住宅,60.0,150.0,2007年第２四半期
熊本県,1H?1H30,9000000,470,住宅,70.0,200.0,2007年第２四半期
熊本県,30分?60分,28000000,160,住宅,60.0,200.0,2007年第２四半期
熊本県,30分?60分,14000000,80,住宅,60.0,150.0,2007年第２四半期
熊本県,24,9900000,70,住宅,60.0,200.0,2007年第２四半期
熊本県,30分?60分,14000000,150,住宅,60.0,200.0,2007年第２四半期
熊本県,12,2800000,140,住宅,60.0,200.0,2007年第２四半期
熊本県,18,29000000,165,住宅,60.0,200.0,2007年第２四半期
熊本県,14,6400000,50,住宅,80.0,400.0,2007年第２四半期
熊本県,13,120000000,640,共同住宅,60.0,200.0,2007年第２四半期
熊本県,30分?60分,20000000,210,住宅,50.0,100.0,2007年第２四半期
熊本県,20,18000000,480,住宅,60.0,200.0,2007年第２四半期
熊本県,30分?60分,12000000,310,住宅,70.0,400.0,2007年第２四半期
熊本県,23,8000000,60,住宅,80.0,400.0,2007年第２四半期
熊本県,26,31000000,570,住宅,50.0,100.0,2007年第２四半期
熊本県,14,4500000,60,住宅,80.0,400.0,2007年第２四半期
熊本県,28,5300000,25,住宅,80.0,600.0,2007年第２四半期
熊本県,23,7300000,290,住宅,60.0,200.0,2007年第２四半期
熊本県,20,20000000,350,住宅,60.0,200.0,2007年第２四半期
熊本県,30分?60分,28000000,140,共同住宅,60.0,150.0,2007年第２四半期
熊本県,14,31000000,185,住宅,60.0,200.0,2007年第２四半期
熊本県,15,8300000,370,住宅,70.0,200.0,2007年第２四半期
熊本県,18,38000000,330,住宅,60.0,200.0,2007年第２四半期
熊本県,30分?60分,13000000,270,住宅,50.0,100.0,2007年第２四半期
熊本県,30分?60分,26000000,240,住宅,60.0,200.0,2007年第２四半期
熊本県,1H?1H30,8700000,70,住宅,60.0,200.0,2007年第２四半期
熊本県,1H?1H30,10000000,250,住宅,60.0,150.0,2007年第２四半期
熊本県,12,23000000,90,住宅,60.0,200.0,2007年第２四半期
熊本県,11,14000000,130,住宅,80.0,300.0,2007年第２四半期
熊本県,20,30000000,100,共同住宅、事務所,80.0,600.0,2007年第２四半期
熊本県,30分?60分,9400000,270,住宅、作業場,40.0,80.0,2007年第２四半期
熊本県,30分?60分,10000000,200,住宅,60.0,150.0,2007年第２四半期
熊本県,30分?60分,34000000,160,住宅,60.0,200.0,2007年第２四半期
熊本県,30分?60分,15000000,270,住宅、店舗,60.0,200.0,2007年第２四半期
熊本県,1H?1H30,19000000,185,住宅,60.0,150.0,2007年第２四半期
