都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
大分県,30分?60分,37000000,200,住宅,50.0,100.0,2006年第２四半期
大分県,1H?1H30,6000000,170,住宅,60.0,200.0,2007年第１四半期
大分県,30分?60分,25000000,260,住宅,50.0,100.0,2007年第１四半期
大分県,18,34000000,240,住宅,40.0,100.0,2007年第１四半期
大分県,21,40000000,165,住宅,60.0,150.0,2007年第１四半期
大分県,30分?60分,8200000,155,住宅、店舗,60.0,200.0,2007年第１四半期
大分県,5,20000000,70,住宅,80.0,500.0,2007年第２四半期
大分県,16,15000000,280,住宅,60.0,200.0,2007年第２四半期
大分県,21,27000000,620,住宅,60.0,200.0,2007年第２四半期
大分県,30分?60分,14000000,145,住宅,60.0,200.0,2007年第２四半期
大分県,23,18000000,80,住宅,60.0,200.0,2007年第２四半期
大分県,30分?60分,13000000,85,住宅,80.0,400.0,2007年第２四半期
大分県,30分?60分,13000000,165,住宅、店舗,60.0,200.0,2007年第２四半期
大分県,18,44000000,230,住宅,60.0,200.0,2007年第２四半期
大分県,30分?60分,23000000,90,住宅,60.0,200.0,2007年第２四半期
大分県,25,32000000,200,住宅,60.0,200.0,2007年第２四半期
大分県,14,53000000,1400,共同住宅,50.0,100.0,2007年第２四半期
大分県,30分?60分,1400000,280,住宅,60.0,200.0,2007年第２四半期
大分県,8,9500000,175,住宅、店舗,80.0,200.0,2007年第２四半期
大分県,12,10000000,160,住宅,80.0,400.0,2007年第２四半期
大分県,30分?60分,13000000,380,住宅,60.0,200.0,2007年第２四半期
大分県,23,5000000,120,住宅,60.0,150.0,2007年第２四半期
大分県,16,25000000,190,住宅,60.0,200.0,2007年第２四半期
大分県,30分?60分,8900000,220,住宅,60.0,150.0,2007年第２四半期
大分県,13,13000000,140,住宅,60.0,200.0,2007年第２四半期
大分県,30分?60分,10000000,410,住宅,60.0,200.0,2007年第２四半期
