都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
宮崎県,12,25000000,230,住宅,60.0,200.0,2006年第３四半期
宮崎県,29,9500000,65,住宅,60.0,200.0,2007年第１四半期
宮崎県,30分?60分,800000,250,住宅,70.0,200.0,2007年第１四半期
宮崎県,4,10000000,70,住宅,80.0,300.0,2007年第１四半期
宮崎県,26,31000000,300,住宅,60.0,200.0,2007年第１四半期
宮崎県,30分?60分,20000000,670,住宅,50.0,150.0,2007年第１四半期
宮崎県,14,40000000,260,住宅,60.0,100.0,2007年第２四半期
宮崎県,16,7200000,70,住宅,60.0,200.0,2007年第２四半期
宮崎県,25,13000000,380,住宅,60.0,200.0,2007年第２四半期
宮崎県,30分?60分,4400000,200,住宅,70.0,200.0,2007年第２四半期
宮崎県,30分?60分,7800000,970,住宅,70.0,200.0,2007年第２四半期
宮崎県,13,28000000,175,住宅,60.0,200.0,2007年第２四半期
宮崎県,2,6500000,145,住宅、事務所,60.0,200.0,2007年第２四半期
宮崎県,20,29000000,170,住宅,50.0,80.0,2007年第２四半期
宮崎県,30分?60分,13000000,130,住宅,50.0,80.0,2007年第２四半期
宮崎県,30分?60分,24000000,530,共同住宅、店舗,60.0,200.0,2007年第２四半期
宮崎県,30分?60分,22000000,330,共同住宅,60.0,200.0,2007年第２四半期
宮崎県,23,21000000,95,住宅,60.0,200.0,2007年第２四半期
宮崎県,15,13000000,150,住宅,60.0,200.0,2007年第２四半期
宮崎県,7,10000000,155,住宅,60.0,200.0,2007年第２四半期
宮崎県,14,27000000,220,住宅,60.0,200.0,2007年第２四半期
宮崎県,20,55000000,180,住宅、その他,60.0,200.0,2007年第２四半期
宮崎県,9,16000000,175,住宅,60.0,200.0,2007年第２四半期
宮崎県,21,14000000,300,共同住宅,60.0,200.0,2007年第２四半期
宮崎県,29,20000000,260,住宅,60.0,200.0,2007年第２四半期
宮崎県,25,11000000,320,住宅、店舗,60.0,200.0,2007年第２四半期
宮崎県,17,12000000,220,住宅,70.0,200.0,2007年第２四半期
宮崎県,8,7900000,70,住宅,60.0,200.0,2007年第２四半期
宮崎県,1H30?2H,18000000,720,住宅,70.0,200.0,2007年第２四半期
宮崎県,4,14000000,155,住宅、店舗,80.0,200.0,2007年第２四半期
宮崎県,15,6000000,170,住宅,50.0,100.0,2007年第２四半期
宮崎県,9,62000000,460,共同住宅、事務所,60.0,200.0,2007年第２四半期
宮崎県,25,12000000,190,住宅,60.0,100.0,2007年第２四半期
宮崎県,1H?1H30,16000000,240,住宅,40.0,60.0,2007年第２四半期
宮崎県,30分?60分,18000000,115,住宅,60.0,200.0,2007年第２四半期
宮崎県,30分?60分,5000000,220,住宅,70.0,200.0,2007年第２四半期
宮崎県,25,5600000,130,住宅,60.0,200.0,2007年第２四半期
宮崎県,11,3100000,270,住宅,60.0,200.0,2007年第２四半期
宮崎県,9,16000000,145,住宅,60.0,200.0,2007年第２四半期
宮崎県,2H?,5300000,330,住宅,70.0,200.0,2007年第２四半期
宮崎県,30分?60分,80000000,1100,共同住宅,60.0,200.0,2007年第２四半期
宮崎県,25,1800000,20,住宅,60.0,200.0,2007年第２四半期
宮崎県,18,12000000,210,住宅,60.0,200.0,2007年第２四半期
宮崎県,16,20000000,230,住宅,60.0,200.0,2007年第２四半期
宮崎県,26,33000000,290,住宅,60.0,200.0,2007年第２四半期
宮崎県,7,12000000,35,住宅、店舗,80.0,500.0,2007年第２四半期
宮崎県,14,22000000,180,住宅,50.0,80.0,2007年第２四半期
宮崎県,30分?60分,11000000,290,住宅,50.0,100.0,2007年第２四半期
