都道府県名,最寄駅：距離（分）,取引価格（総額）,面積（㎡）,用途,建ぺい率（％）,容積率（％）,取引時点
鹿児島県,12,28000000,180,住宅,50.0,80.0,2006年第３四半期
鹿児島県,2H?,6000000,300,住宅,70.0,400.0,2007年第１四半期
鹿児島県,23,32000000,360,住宅,50.0,80.0,2007年第１四半期
鹿児島県,19,33000000,160,住宅,60.0,200.0,2007年第１四半期
鹿児島県,1H?1H30,8000000,90,住宅,50.0,80.0,2007年第１四半期
鹿児島県,1H30?2H,36000000,170,住宅,50.0,80.0,2007年第１四半期
鹿児島県,2H?,6600000,165,住宅,70.0,400.0,2007年第２四半期
鹿児島県,21,15000000,45,住宅,80.0,300.0,2007年第２四半期
鹿児島県,29,15000000,560,住宅,50.0,80.0,2007年第２四半期
鹿児島県,25,4200000,170,住宅,60.0,200.0,2007年第２四半期
鹿児島県,14,18000000,75,住宅,80.0,400.0,2007年第２四半期
鹿児島県,24,20000000,220,住宅,60.0,200.0,2007年第２四半期
鹿児島県,1H?1H30,23000000,220,住宅,50.0,80.0,2007年第２四半期
鹿児島県,25,10000000,280,共同住宅,60.0,200.0,2007年第２四半期
鹿児島県,30分?60分,8500000,130,住宅,60.0,200.0,2007年第２四半期
鹿児島県,16,27000000,90,住宅,60.0,200.0,2007年第２四半期
鹿児島県,30分?60分,56000000,240,住宅,50.0,80.0,2007年第２四半期
鹿児島県,10,25000000,75,住宅,80.0,400.0,2007年第２四半期
鹿児島県,23,7000000,50,住宅,80.0,500.0,2007年第２四半期
鹿児島県,10,5000000,180,住宅,60.0,200.0,2007年第２四半期
鹿児島県,5,84000000,310,共同住宅,60.0,200.0,2007年第２四半期
鹿児島県,14,17000000,230,住宅,70.0,400.0,2007年第２四半期
鹿児島県,9,18000000,105,住宅,60.0,200.0,2007年第２四半期
鹿児島県,20,3000000,20,住宅,80.0,500.0,2007年第２四半期
鹿児島県,15,85000000,70,住宅、倉庫、店舗,80.0,700.0,2007年第２四半期
鹿児島県,1H?1H30,28000000,170,住宅,50.0,80.0,2007年第２四半期
