House price,GDP per capita (current US$),population
8208.207804,757817.4229,94464839
8823.943866,757817.4229,94464839
9439.54224,757817.4229,94464839
10372.92211,757817.4229,94464839
11306.16429,841511.3326,95355458
12194.93358,841511.3326,95355458
13093.47864,841511.3326,95355458
13695.85907,841511.3326,95355458
14298.2395,908005.155,96267883
14890.70646,908005.155,96267883
15489.7824,908005.155,96267883
16019.32643,908005.155,96267883
16548.87046,975014.6375,97246712
17075.52306,975014.6375,97246712
17608.0962,975014.6375,97246712
18203.86765,975014.6375,97246712
18799.63911,1077593.9,98319344
19461.5003,1077593.9,98319344
20123.49918,1077593.9,98319344
20851.58779,1077593.9,98319344
21579.8141,1128094.8,99468746
21843.07155,1128094.8,99468746
22109.35812,1128094.8,99468746
22506.58499,1128094.8,99468746
22903.67417,1236756.948,100466907
23364.5124,1236756.948,100466907
23830.44506,1236756.948,100466907
24492.44394,1236756.948,100466907
25154.30513,1359676.174,101527852
26141.79597,1359676.174,101527852
27140.16408,1359676.174,101527852
28265.61724,1359676.174,101527852
29390.93272,1517635.577,102819279
30648.56537,1517635.577,102819279
31906.3357,1517635.577,102819279
33494.96778,1517635.577,102819279
35083.73755,1686831.567,104102077
37058.58154,1686831.567,104102077
39055.45545,1686831.567,104102077
41041.3144,1686831.567,104102077
43027.17334,1708453.606,105416839
45002.15502,1708453.606,105416839
46998.89124,1708453.606,105416839
48852.43302,1708453.606,105416839
50705.83712,1749911.836,106789355
52549.19007,1749911.836,106789355
54412.783,1749911.836,106789355
56200.09736,1749911.836,106789355
57987.41172,1870751.993,108220404
60569.04212,1870751.993,108220404
63150.67252,1870751.993,108220404
68975.9322,1870751.993,108220404
74801.05419,1992781.587,109679470
80923.30463,1992781.587,109679470
87113.57243,1992781.587,109679470
90754.29089,1992781.587,109679470
94395.00934,1942367.417,111100023
95185.05709,1942367.417,111100023
95983.77911,1942367.417,111100023
93203.46644,1942367.417,111100023
90423.29145,1977093.754,112411640
90686.5489,1977093.754,112411640
90952.83547,1977093.754,112411640
91350.06234,1977093.754,112411640
91747.15152,2033772.645,113624865
92541.60525,2033772.645,113624865
93335.92129,2033772.645,113624865
94328.78192,2033772.645,113624865
95321.78023,2102609.355,114761516
96375.08544,2102609.355,114761516
97440.09403,2102609.355,114761516
98631.49925,2102609.355,114761516
99823.04216,2193405.917,115809525
101468.8143,2193405.917,115809525
103132.8989,2193405.917,115809525
105251.075,2193405.917,115809525
107369.3888,2294187.837,116765509
110397.538,2294187.837,116765509
113459.4205,2294187.837,116765509
117232.5938,2294187.837,116765509
121005.7671,2340310.553,117624196
124977.485,2340310.553,117624196
128949.2029,2340310.553,117624196
132391.3767,2340310.553,117624196
135833.5506,2422312.374,118385723
139059.1429,2422312.374,118385723
142320.6715,2422312.374,118385723
145233.3013,2422312.374,118385723
148145.9312,2484464.438,119098142
150515.799,2484464.438,119098142
152911.9651,2484464.438,119098142
154831.7343,2484464.438,119098142
156751.3658,2556808.699,119793752
158265.5093,2556808.699,119793752
159796.3128,2556808.699,119793752
161120.3106,2556808.699,119793752
162444.1707,2652335.073,120470727
163569.4861,2652335.073,120470727
164694.8016,2652335.073,120470727
165820.1171,2652335.073,120470727
166945.4326,2771786.447,121119031
167801.2947,2771786.447,121119031
168666.5195,2771786.447,121119031
169593.2904,2771786.447,121119031
170520.0613,2847889.038,121710305
171704.9952,2847889.038,121710305
172903.1471,2847889.038,121710305
175551.0049,2847889.038,121710305
178198.7251,2965951.998,122268885
183662.6942,2965951.998,122268885
189187.2455,2965951.998,122268885
191106.8771,2965951.998,122268885
193026.6463,3150396.501,122798302
195012.5052,3150396.501,122798302
196998.3642,3150396.501,122798302
200241.9935,3150396.501,122798302
203485.485,3292390.232,123270648
208291.0351,3292390.232,123270648
213150.1455,3292390.232,123270648
221358.3533,3292390.232,123270648
229566.5611,3440339.095,123686321
237532.0268,3440339.095,123686321
245586.0252,3440339.095,123686321
248630.9722,3440339.095,123686321
251675.9192,3547591.481,124073993
251346.8474,3547591.481,124073993
251014.058,3547591.481,124073993
248233.7453,3547591.481,124073993
245453.5703,3566278.244,124444693
242408.6233,3566278.244,124444693
239363.5386,3566278.244,124444693
236318.5916,3566278.244,124444693
233273.5069,3538412.193,124779576
231298.663,3538412.193,124779576
229301.7891,3538412.193,124779576
227845.4741,3538412.193,124779576
226389.1592,3566774.679,125119269
225467.6204,3566774.679,125119269
