Year,House price,
1/1/1960,8208.207804,1916
4/1/1960,8823.943866,
7/1/1960,9439.54224,
5/13/1905,10372.92211,
1/1/1961,11306.16429,
4/1/1961,12194.93358,
7/1/1961,13093.47864,
10/1/1961,13695.85907,
1/1/1962,14298.2395,
4/1/1962,14890.70646,
7/1/1962,15489.7824,
10/1/1962,16019.32643,
1/1/1963,16548.87046,
4/1/1963,17075.52306,
7/1/1963,17608.0962,
10/1/1963,18203.86765,
1/1/1964,18799.63911,
4/1/1964,19461.5003,
7/1/1964,20123.49918,
10/1/1964,20851.58779,
1/1/1965,21579.8141,
4/1/1965,21843.07155,
7/1/1965,22109.35812,
10/1/1965,22506.58499,
1/1/1966,22903.67417,
4/1/1966,23364.5124,
7/1/1966,23830.44506,
10/1/1966,24492.44394,
1/1/1967,25154.30513,
4/1/1967,26141.79597,
7/1/1967,27140.16408,
10/1/1967,28265.61724,
1/1/1968,29390.93272,
4/1/1968,30648.56537,
7/1/1968,31906.3357,
10/1/1968,33494.96778,
1/1/1969,35083.73755,
4/1/1969,37058.58154,
7/1/1969,39055.45545,
10/1/1969,41041.3144,
1/1/1970,43027.17334,
4/1/1970,45002.15502,
7/1/1970,46998.89124,
10/1/1970,48852.43302,
1/1/1971,50705.83712,
4/1/1971,52549.19007,
7/1/1971,54412.783,
10/1/1971,56200.09736,
1/1/1972,57987.41172,
4/1/1972,60569.04212,
7/1/1972,63150.67252,
10/1/1972,68975.9322,
1/1/1973,74801.05419,
4/1/1973,80923.30463,
7/1/1973,87113.57243,
10/1/1973,90754.29089,
1/1/1974,94395.00934,
4/1/1974,95185.05709,
7/1/1974,95983.77911,
10/1/1974,93203.46644,
1/1/1975,90423.29145,
4/1/1975,90686.5489,
7/1/1975,90952.83547,
10/1/1975,91350.06234,
1/1/1976,91747.15152,
4/1/1976,92541.60525,
7/1/1976,93335.92129,
10/1/1976,94328.78192,
1/1/1977,95321.78023,
4/1/1977,96375.08544,
7/1/1977,97440.09403,
10/1/1977,98631.49925,
1/1/1978,99823.04216,
4/1/1978,101468.8143,
7/1/1978,103132.8989,
10/1/1978,105251.075,
1/1/1979,107369.3888,
4/1/1979,110397.538,
7/1/1979,113459.4205,
10/1/1979,117232.5938,
1/1/1980,121005.7671,
4/1/1980,124977.485,
7/1/1980,128949.2029,
10/1/1980,132391.3767,
1/1/1981,135833.5506,
4/1/1981,139059.1429,
7/1/1981,142320.6715,
10/1/1981,145233.3013,
1/1/1982,148145.9312,
4/1/1982,150515.799,
7/1/1982,152911.9651,
10/1/1982,154831.7343,
1/1/1983,156751.3658,
4/1/1983,158265.5093,
7/1/1983,159796.3128,
10/1/1983,161120.3106,
1/1/1984,162444.1707,
4/1/1984,163569.4861,
7/1/1984,164694.8016,
10/1/1984,165820.1171,
1/1/1985,166945.4326,
4/1/1985,167801.2947,
7/1/1985,168666.5195,
10/1/1985,169593.2904,
1/1/1986,170520.0613,
4/1/1986,171704.9952,
7/1/1986,172903.1471,
10/1/1986,175551.0049,
1/1/1987,178198.7251,
4/1/1987,183662.6942,
7/1/1987,189187.2455,
10/1/1987,191106.8771,
1/1/1988,193026.6463,
4/1/1988,195012.5052,
7/1/1988,196998.3642,
10/1/1988,200241.9935,
1/1/1989,203485.485,
4/1/1989,208291.0351,
7/1/1989,213150.1455,
10/1/1989,221358.3533,
1/1/1990,229566.5611,
4/1/1990,237532.0268,
7/1/1990,245586.0252,
10/1/1990,248630.9722,
1/1/1991,251675.9192,
4/1/1991,251346.8474,
7/1/1991,251014.058,
10/1/1991,248233.7453,
1/1/1992,245453.5703,
4/1/1992,242408.6233,
7/1/1992,239363.5386,
10/1/1992,236318.5916,
1/1/1993,233273.5069,
4/1/1993,231298.663,
7/1/1993,229301.7891,
10/1/1993,227845.4741,
1/1/1994,226389.1592,
4/1/1994,225467.6204,
7/1/1994,224535.7551,
10/1/1994,223741.4391,
1/1/1995,222946.9853,
4/1/1995,222091.2609,
7/1/1995,221225.8984,
10/1/1995,220100.5829,
1/1/1996,218975.2675,
4/1/1996,217982.4068,
7/1/1996,216989.4085,
10/1/1996,216327.4096,
1/1/1997,215665.5484,
4/1/1997,215073.0815,
7/1/1997,214474.0055,
10/1/1997,213679.6895,
1/1/1998,212885.2358,
4/1/1998,211832.0682,
7/1/1998,210767.0596,
10/1/1998,208979.7453,
1/1/1999,207192.4309,
4/1/1999,205480.8444,
7/1/1999,203750.2571,
10/1/1999,201764.3981,
1/1/2000,199778.5392,
4/1/2000,197792.6802,
7/1/2000,195806.8213,
10/1/2000,193688.5075,
1/1/2001,191570.3314,
4/1/2001,189332.0922,
7/1/2001,187068.9318,
10/1/2001,184553.5288,
1/1/2002,182038.1258,
4/1/2002,179536.6292,
7/1/2002,177007.1822,
10/1/2002,174160.7797,
1/1/2003,171314.3773,
4/1/2003,168483.6712,
7/1/2003,165621.5725,
10/1/2003,162973.7147,
1/1/2004,160325.9945,
4/1/2004,157942.9087,
7/1/2004,155559.8229,
10/1/2004,153640.1914,
1/1/2005,151720.5599,
4/1/2005,150008.9733,
7/1/2005,148278.386,
10/1/2005,147086.8431,
1/1/2006,145895.3002,
4/1/2006,145105.2524,
7/1/2006,144306.5304,
10/1/2006,143975.6687,
1/1/2007,143644.6692,
4/1/2007,143447.0884,
7/1/2007,143247.4424,
10/1/2007,142916.4429,
1/1/2008,142585.4435,
4/1/2008,141658.8103,
7/1/2008,140732.0394,
10/1/2008,139275.7245,
1/1/2009,136596.8871,
4/1/2009,134531.3074,
7/1/2009,136505.0499,
10/1/2009,135311.717,
1/1/2010,137147.6349,
4/1/2010,137377.1591,
7/1/2010,138203.2808,
10/1/2010,138019.7441,
1/1/2011,138295.118,
4/1/2011,137652.533,
7/1/2011,138524.6421,
10/1/2011,136642.7368,
1/1/2012,137606.6832,
4/1/2012,136137.8388,
7/1/2012,136505.0499,
10/1/2012,136046.0016,
1/1/2013,136964.0982,
4/1/2013,138478.6547,
7/1/2013,139901.6494,
10/1/2013,139855.6619,
1/1/2014,141186.8194,
4/1/2014,140544.2344,
7/1/2014,141416.3436,
10/1/2014,140681.9213,
1/1/2015,144537.4314,
4/1/2015,144078.5208,
7/1/2015,145455.3904,
10/1/2015,143435.7981,
1/1/2016,146878.385,
4/1/2016,148347.0918,
7/1/2016,148025.8681,
10/1/2016,147061.9218,
1/1/2017,152615.8005,
4/1/2017,151330.6304,
7/1/2017,151651.8541,
10/1/2017,149724.099,
1/1/2018,154956.6164,
4/1/2018,154222.1942,
7/1/2018,154359.8811,
10/1/2018,153487.9096,
1/1/2019,158536.7526,
4/1/2019,157205.7328,
7/1/2019,156287.7738,
10/1/2019,154956.6164,
1/1/2020,157848.3178,
4/1/2020,156104.0994,
7/1/2020,156104.0994,
10/1/2020,157389.2695,
1/1/2021,163126.6849,
4/1/2021,164641.3791,
7/1/2021,168818.2505,
10/1/2021,168129.8158,
1/1/2022,177906.4157,
4/1/2022,179788.1833,
7/1/2022,182083.2871,
10/1/2022,180797.9794,
