House price,GDP per capita (current US$)
8208.207804,757817.4229
8823.943866,757817.4229
9439.54224,757817.4229
10372.92211,757817.4229
11306.16429,841511.3326
12194.93358,841511.3326
13093.47864,841511.3326
13695.85907,841511.3326
14298.2395,908005.155
14890.70646,908005.155
15489.7824,908005.155
16019.32643,908005.155
16548.87046,975014.6375
17075.52306,975014.6375
17608.0962,975014.6375
18203.86765,975014.6375
18799.63911,1077593.9
19461.5003,1077593.9
20123.49918,1077593.9
20851.58779,1077593.9
21579.8141,1128094.8
21843.07155,1128094.8
22109.35812,1128094.8
22506.58499,1128094.8
22903.67417,1236756.948
23364.5124,1236756.948
23830.44506,1236756.948
24492.44394,1236756.948
25154.30513,1359676.174
26141.79597,1359676.174
27140.16408,1359676.174
28265.61724,1359676.174
29390.93272,1517635.577
30648.56537,1517635.577
31906.3357,1517635.577
33494.96778,1517635.577
35083.73755,1686831.567
37058.58154,1686831.567
39055.45545,1686831.567
41041.3144,1686831.567
43027.17334,1708453.606
45002.15502,1708453.606
46998.89124,1708453.606
48852.43302,1708453.606
50705.83712,1749911.836
52549.19007,1749911.836
54412.783,1749911.836
56200.09736,1749911.836
57987.41172,1870751.993
60569.04212,1870751.993
63150.67252,1870751.993
68975.9322,1870751.993
74801.05419,1992781.587
80923.30463,1992781.587
87113.57243,1992781.587
90754.29089,1992781.587
94395.00934,1942367.417
95185.05709,1942367.417
95983.77911,1942367.417
93203.46644,1942367.417
90423.29145,1977093.754
90686.5489,1977093.754
90952.83547,1977093.754
91350.06234,1977093.754
91747.15152,2033772.645
92541.60525,2033772.645
93335.92129,2033772.645
94328.78192,2033772.645
95321.78023,2102609.355
96375.08544,2102609.355
97440.09403,2102609.355
98631.49925,2102609.355
99823.04216,2193405.917
101468.8143,2193405.917
103132.8989,2193405.917
105251.075,2193405.917
107369.3888,2294187.837
110397.538,2294187.837
113459.4205,2294187.837
117232.5938,2294187.837
121005.7671,2340310.553
124977.485,2340310.553
128949.2029,2340310.553
132391.3767,2340310.553
135833.5506,2422312.374
139059.1429,2422312.374
142320.6715,2422312.374
145233.3013,2422312.374
148145.9312,2484464.438
150515.799,2484464.438
152911.9651,2484464.438
154831.7343,2484464.438
156751.3658,2556808.699
158265.5093,2556808.699
159796.3128,2556808.699
161120.3106,2556808.699
162444.1707,2652335.073
163569.4861,2652335.073
164694.8016,2652335.073
165820.1171,2652335.073
166945.4326,2771786.447
167801.2947,2771786.447
168666.5195,2771786.447
169593.2904,2771786.447
170520.0613,2847889.038
171704.9952,2847889.038
172903.1471,2847889.038
175551.0049,2847889.038
178198.7251,2965951.998
183662.6942,2965951.998
189187.2455,2965951.998
191106.8771,2965951.998
193026.6463,3150396.501
195012.5052,3150396.501
196998.3642,3150396.501
200241.9935,3150396.501
203485.485,3292390.232
208291.0351,3292390.232
213150.1455,3292390.232
221358.3533,3292390.232
229566.5611,3440339.095
237532.0268,3440339.095
245586.0252,3440339.095
248630.9722,3440339.095
251675.9192,3547591.481
251346.8474,3547591.481
251014.058,3547591.481
248233.7453,3547591.481
245453.5703,3566278.244
242408.6233,3566278.244
239363.5386,3566278.244
236318.5916,3566278.244
233273.5069,3538412.193
231298.663,3538412.193
229301.7891,3538412.193
227845.4741,3538412.193
226389.1592,3566774.679
225467.6204,3566774.679
224535.7551,3566774.679
223741.4391,3566774.679
222946.9853,3652039.125
222091.2609,3652039.125
221225.8984,3652039.125
220100.5829,3652039.125
218975.2675,3757953.418
217982.4068,3757953.418
216989.4085,3757953.418
216327.4096,3757953.418
215665.5484,3785796.318
215073.0815,3785796.318
214474.0055,3785796.318
213679.6895,3785796.318
212885.2358,3727561.531
211832.0682,3727561.531
210767.0596,3727561.531
208979.7453,3727561.531
207192.4309,3708336.983
205480.8444,3708336.983
203750.2571,3708336.983
201764.3981,3708336.983
199778.5392,3804490.122
197792.6802,3804490.122
195806.8213,3804490.122
193688.5075,3804490.122
191570.3314,3809988.055
189332.0922,3809988.055
187068.9318,3809988.055
184553.5288,3809988.055
182038.1258,3802734.142
179536.6292,3802734.142
177007.1822,3802734.142
174160.7797,3802734.142
171314.3773,3852857.675
168483.6712,3852857.675
165621.5725,3852857.675
162973.7147,3852857.675
160325.9945,3935760.512
157942.9087,3935760.512
155559.8229,3935760.512
153640.1914,3935760.512
151720.5599,4006381.43
150008.9733,4006381.43
148278.386,4006381.43
147086.8431,4006381.43
145895.3002,4058789.994
145105.2524,4058789.994
144306.5304,4058789.994
143975.6687,4058789.994
143644.6692,4114290.795
143447.0884,4114290.795
143247.4424,4114290.795
142916.4429,4114290.795
142585.4435,4061952.492
141658.8103,4061952.492
140732.0394,4061952.492
139275.7245,4061952.492
136596.8871,3831174.597
134531.3074,3831174.597
136505.0499,3831174.597
135311.717,3831174.597
137147.6349,3987456.754
137377.1591,3987456.754
138203.2808,3987456.754
138019.7441,3987456.754
138295.118,3995800.58
137652.533,3995800.58
138524.6421,3995800.58
136642.7368,3995800.58
137606.6832,4057207.51
136137.8388,4057207.51
136505.0499,4057207.51
136046.0016,4057207.51
136964.0982,4144533.67
138478.6547,4144533.67
139901.6494,4144533.67
139855.6619,4144533.67
141186.8194,4162329.516
140544.2344,4162329.516
141416.3436,4162329.516
140681.9213,4162329.516
144537.4314,4231776.532
144078.5208,4231776.532
145455.3904,4231776.532
143435.7981,4231776.532
146878.385,4265857.687
148347.0918,4265857.687
148025.8681,4265857.687
147061.9218,4265857.687
152615.8005,4340877.563
151330.6304,4340877.563
151651.8541,4340877.563
149724.099,4340877.563
154956.6164,4374353.042
154222.1942,4374353.042
154359.8811,4374353.042
153487.9096,4374353.042
158536.7526,4362884.765
157205.7328,4362884.765
156287.7738,4362884.765
154956.6164,4362884.765
157848.3178,4188518.504
156104.0994,4188518.504
156104.0994,4188518.504
157389.2695,4188518.504
163126.6849,4297980.255
164641.3791,4297980.255
168818.2505,4297980.255
168129.8158,4297980.255
177906.4157,4361506.078
179788.1833,4361506.078
182083.2871,4361506.078
180797.9794,4361506.078
