YEAR,houcse price,ratio_pc,Total population
2006,155555.5556,5.982958419,"8,846,000"
2007,133412.9454,5.860776439,"8,912,000"
2008,121094.0206,5.750164799,"8,965,000"
2009,115496.5435,5.673656619,"9,006,000"
2010,133353.3928,5.99052303,"9,048,331"
2011,121284.8444,6.030851777,"9,060,000"
2012,119102.1155,5.973226238,"9,070,000"
2013,116420.7276,5.910179641,"9,084,000"
2014,119150.8017,5.841793013,"9,103,000"
2015,130688.6438,5.753232595,"9,126,214"
2016,127053.5036,5.842996743,"9,152,000"
2017,122059.7867,5.850194553,"9,173,000"
2018,125570.4929,5.860645161,"9,197,000"
2019,116566.1294,5.896973599,"9,224,000"
2020,128596.7505,5.708427791,"9,237,337"
2021,124585.3278,5.959433355,"9,236,000"
