"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.27, 2023"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","/ITEMS Code","A1101",""
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A1101_Total population (Both sexes)[person]","Annotation"
"2021100000","2021","01000","Hokkaido","","5,183,000",""
"2021100000","2021","02000","Aomori-ken","","1,221,000",""
"2021100000","2021","03000","Iwate-ken","","1,196,000",""
"2021100000","2021","04000","Miyagi-ken","","2,290,000",""
"2021100000","2021","05000","Akita-ken","","945,000",""
"2021100000","2021","06000","Yamagata-ken","","1,055,000",""
"2021100000","2021","07000","Fukushima-ken","","1,812,000",""
"2021100000","2021","08000","Ibaraki-ken","","2,852,000",""
"2021100000","2021","09000","Tochigi-ken","","1,921,000",""
"2021100000","2021","10000","Gumma-ken","","1,927,000",""
"2021100000","2021","11000","Saitama-ken","","7,340,000",""
"2021100000","2021","12000","Chiba-ken","","6,275,000",""
"2021100000","2021","13000","Tokyo-to","","14,010,000",""
"2021100000","2021","14000","Kanagawa-ken","","9,236,000",""
"2021100000","2021","15000","Niigata-ken","","2,177,000",""
"2021100000","2021","16000","Toyama-ken","","1,025,000",""
"2021100000","2021","17000","Ishikawa-ken","","1,125,000",""
"2021100000","2021","18000","Fukui-ken","","760,000",""
"2021100000","2021","19000","Yamanashi-ken","","805,000",""
"2021100000","2021","20000","Nagano-ken","","2,033,000",""
"2021100000","2021","21000","Gifu-ken","","1,961,000",""
"2021100000","2021","22000","Shizuoka-ken","","3,608,000",""
"2021100000","2021","23000","Aichi-ken","","7,517,000",""
"2021100000","2021","24000","Mie-ken","","1,756,000",""
"2021100000","2021","25000","Shiga-ken","","1,411,000",""
"2021100000","2021","26000","Kyoto-fu","","2,561,000",""
"2021100000","2021","27000","Osaka-fu","","8,806,000",""
"2021100000","2021","28000","Hyogo-ken","","5,432,000",""
"2021100000","2021","29000","Nara-ken","","1,315,000",""
"2021100000","2021","30000","Wakayama-ken","","914,000",""
"2021100000","2021","31000","Tottori-ken","","549,000",""
"2021100000","2021","32000","Shimane-ken","","665,000",""
"2021100000","2021","33000","Okayama-ken","","1,876,000",""
"2021100000","2021","34000","Hiroshima-ken","","2,780,000",""
"2021100000","2021","35000","Yamaguchi-ken","","1,328,000",""
"2021100000","2021","36000","Tokushima-ken","","712,000",""
"2021100000","2021","37000","Kagawa-ken","","942,000",""
"2021100000","2021","38000","Ehime-ken","","1,321,000",""
"2021100000","2021","39000","Kochi-ken","","684,000",""
"2021100000","2021","40000","Fukuoka-ken","","5,124,000",""
"2021100000","2021","41000","Saga-ken","","806,000",""
"2021100000","2021","42000","Nagasaki-ken","","1,297,000",""
"2021100000","2021","43000","Kumamoto-ken","","1,728,000",""
"2021100000","2021","44000","Oita-ken","","1,114,000",""
"2021100000","2021","45000","Miyazaki-ken","","1,061,000",""
"2021100000","2021","46000","Kagoshima-ken","","1,576,000",""
"2021100000","2021","47000","Okinawa-ken","","1,468,000",""
"2020100000","2020","01000","Hokkaido","","5,224,614",""
"2020100000","2020","02000","Aomori-ken","","1,237,984",""
"2020100000","2020","03000","Iwate-ken","","1,210,534",""
"2020100000","2020","04000","Miyagi-ken","","2,301,996",""
"2020100000","2020","05000","Akita-ken","","959,502",""
"2020100000","2020","06000","Yamagata-ken","","1,068,027",""
"2020100000","2020","07000","Fukushima-ken","","1,833,152",""
