取引時点,average
2006,138381.17385474726
2007,141337.46277509394
2008,111602.79852974092
2009,101377.2207554866
2010,98443.73894697434
2011,99148.51185287464
2012,101179.3699153065
2013,105530.11073081716
2014,108525.85780520336
2015,113013.38896356832
2016,117458.33397631162
2017,118697.15185602408
2018,117110.61271257454
2019,113410.68524738388
2020,121325.28782761875
2021,127794.77856715432
2022,142129.49059486872
2006,13333.333333333334
2007,68116.6085988965
2008,62648.87621406553
2009,63146.438070531
2010,65799.17758353396
2011,63133.91421773965
2012,60981.11448314545
2013,63965.29093580911
2014,62609.37514282784
2015,65639.38190847148
2016,69353.22241476217
2017,67969.72496367733
2018,66949.82958986596
2019,63917.48644895133
2020,70217.20740374565
2021,66971.99115290228
2022,62154.02364288945
2006,-1.0
2007,77401.98141416784
2008,72225.02475190719
2009,78857.61303270946
2010,73424.0647421478
2011,69998.55100437473
2012,79730.26278647475
2013,89681.4239783714
2014,88702.5757014018
2015,85098.95870161288
2016,99504.61298497111
2017,91952.56495727022
2018,92581.76007584056
2019,82560.51939109254
2020,94938.22078389228
2021,95298.08704430978
2022,91953.07741438822
2006,122946.6978936094
2007,130291.06864717609
2008,124451.12529735228
2009,119964.91102995547
2010,117558.7485252755
2011,118406.55832135174
2012,135567.90442433715
2013,153683.88868970948
2014,164375.4648704755
2015,176846.73407813368
2016,179119.85633065357
2017,180850.78513377125
2018,178732.5801865199
2019,176487.65531028868
2020,189686.3627424897
2021,192728.7306350109
2022,198417.3444566472
2006,22580.64516129032
2007,71331.82462123885
2008,74008.37256828627
2009,65438.01368358748
2010,70178.74620068369
2011,66194.32411307964
2012,70825.08214606068
2013,70511.2842261991
2014,69329.49880322193
2015,75814.07834189959
2016,72514.83519374437
2017,78141.19677940123
2018,73191.15863286324
2019,79125.67297436752
2020,82818.05901292841
2021,73218.00822971319
2022,74501.7658172198
2006,225000.0
2007,75824.08213191883
2008,62094.331739235095
2009,68866.84264031232
2010,69321.6543720223
2011,66378.33535991758
2012,67281.57694900634
2013,71115.55842572682
2014,70657.47379971728
2015,75440.14420545254
2016,78022.9109649311
2017,76959.10948111644
2018,70063.17437631749
2019,74725.41126810554
2020,72799.13704303792
2021,72876.01819900298
2022,76833.70136920072
2006,261538.4615384616
2007,87386.22956893912
2008,81595.83524140828
2009,79226.45545265549
2010,78322.47389550037
2011,75467.33844373007
2012,78791.97686512826
2013,88448.65900944809
2014,95119.87437925547
2015,101492.56313837176
2016,105474.11644241455
2017,104130.71425489588
2018,104500.67367619516
2019,100115.92194550217
2020,102723.90357495529
2021,97671.77829108787
2022,92505.0594351364
2006,150000.0
2007,107788.57572693862
2008,93894.7383814242
2009,94822.12065092994
2010,87740.67558301728
2011,85186.82322040864
2012,84211.29976798358
2013,85961.93078121665
2014,90704.75672873188
2015,94675.82578653886
2016,99052.0859956154
2017,91841.09042784294
2018,92437.99902199591
2019,89225.62771171467
2020,95122.80844793622
2021,94843.2396281311
2022,93503.9560346456
2006,81666.66666666667
2007,100583.93163850928
2008,101382.58506006256
2009,96783.50016373135
2010,109668.814134674
2011,94372.2387288456
2012,96418.55581936896
2013,93087.44760960112
2014,91624.5390007311
2015,92899.30319347473
2016,91888.36497364265
2017,96132.93262616338
2018,89650.37741208631
2019,89167.27347394757
2020,84894.31224823889
2021,89413.44088933025
2022,88185.18387392117
2006,-1.0
2007,99208.32286864956
2008,94534.7046872861
2009,83269.81126526756
2010,84409.40836441182
2011,85990.8745733964
2012,83975.09146223537
2013,87183.7659905134
2014,85207.68496961355
2015,88144.24724463648
2016,88216.04528827807
2017,88412.97774916055
2018,88245.53433797973
2019,87017.11806522254
2020,89137.26376659541
2021,87583.3165169727
2022,89024.24488495504
2006,263211.9255184433
2007,251009.1426739019
2008,250539.0371247707
2009,234458.550616518
2010,232529.58059827337
2011,231811.21795328127
2012,230822.38928524285
2013,234403.33761308924
2014,235033.15037216808
2015,242852.65372447445
2016,257117.44775588973
2017,253554.3331359473
2018,248882.48369788195
2019,254083.3720054244
2020,271663.2738489889
2021,283370.8115094182
2022,296113.10920568154
2006,209788.18948658972
2007,212229.33282591624
2008,208046.35709051948
2009,203695.69529706787
2010,200875.6444729645
2011,195597.8825816034
2012,194920.94435373505
2013,194668.7653766541
2014,198909.99165797923
2015,202777.2975178138
2016,205368.56840626893
2017,209707.238865076
2018,195752.6538125628
2019,211048.24189584824
2020,218631.96045157404
2021,230065.33155191492
2022,238881.0691802957
2006,691478.5073683127
2007,656576.5791842926
2008,605807.5664502685
2009,560896.7197805567
2010,580334.481769204
2011,557455.345303661
2012,538092.3579597615
2013,552844.002001539
2014,587651.2186926644
2015,626691.2056974738
2016,676742.4556753142
2017,684248.7354263386
2018,710067.6064942791
2019,739445.4483432525
2020,739461.659217297
2021,786475.0473840896
2022,856715.9621151746
2006,364161.9585919968
2007,354080.53933219926
2008,363304.7701060679
2009,334564.7135648405
2010,352334.9978230915
2011,342697.65288838453
2012,334087.0916727578
2013,334776.6752322567
2014,341230.291278991
2015,354085.86889088445
2016,367345.4481845536
2017,366288.06296783785
2018,362376.3250511202
2019,367160.1336799268
2020,380436.089274053
